d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
-19.22,-7.1,0.9,17.65,-6.94,0.82,0.68,0.19,0.04,-7.75,2.89,-4.46,6
-20.08,-7.13,2.27,17.88,-6.86,2.54,0.71,0.26,0.0,-21.67,-9.74,-2.32,6
-13.72,-5.09,-2.11,16.78,-6.74,3.37,1.18,0.34,0.13,-18.24,-10.65,3.63,6
0.35,-6.15,-5.84,11.06,-5.49,1.01,1.43,0.4,0.13,0.68,0.07,-2.52,6
8.51,-8.04,-2.31,4.9,-5.72,2.43,1.26,0.33,0.02,16.94,-3.82,6.47,6
16.59,-10.63,3.76,-3.02,-7.76,3.25,0.97,0.25,0.01,17.33,0.32,5.8,6
15.49,-9.64,2.66,-12.7,-9.33,4.62,0.76,0.18,0.0,6.26,4.39,-2.85,6
5.88,-6.7,-3.68,-16.9,-7.41,4.0,0.73,0.18,0.01,0.08,3.5,-10.2,6
-4.66,-5.41,-8.62,-11.57,-5.37,0.86,0.84,0.21,0.0,0.51,0.16,-5.29,6
-18.63,-5.64,-4.62,0.35,-3.88,-4.74,1.05,0.24,0.03,-1.72,0.95,-8.44,6
-20.08,-6.98,2.23,12.04,-6.11,-5.96,1.15,0.24,0.07,-4.77,3.47,-11.31,6
-11.45,-4.39,-4.43,20.04,-7.49,-1.17,1.21,0.32,0.04,-7.73,-2.03,-3.49,6
3.76,-6.78,-7.96,18.59,-7.49,3.88,1.06,0.31,0.0,-3.21,-5.14,-1.04,6
11.72,-8.0,-1.8,11.25,-7.49,3.45,0.88,0.25,0.04,0.12,-3.77,-4.27,6
17.49,-8.39,2.27,6.04,-7.68,1.72,0.71,0.22,0.07,0.13,3.14,-7.93,6
15.8,-7.8,2.62,1.64,-7.49,1.88,0.79,0.28,0.01,-4.06,5.2,-6.55,6
4.58,-5.68,-4.58,-8.86,-5.8,4.19,1.07,0.32,0.0,-9.95,1.88,-4.4,6
-9.84,-6.31,-7.57,-14.9,-6.15,6.9,1.23,0.4,0.06,-4.5,-4.65,-2.78,6
-20.08,-8.39,0.54,-8.35,-6.0,5.09,1.24,0.39,0.08,8.79,-2.9,0.12,6
-12.19,-7.13,0.43,0.03,-7.41,0.35,1.07,0.31,0.01,19.62,8.62,-1.23,6
5.49,-8.66,-1.01,11.76,-8.47,0.39,0.88,0.28,0.03,7.73,10.72,-2.18,6
11.41,-8.78,1.56,19.33,-8.62,2.9,0.77,0.22,0.02,0.47,6.66,-1.34,6
11.25,-7.76,2.78,14.94,-6.7,5.53,0.8,0.25,0.01,0.13,1.32,0.3,6
1.72,-6.15,0.23,10.12,-5.57,4.66,0.96,0.25,0.06,2.72,-2.72,2.44,6
-6.59,-6.43,-1.33,5.76,-6.19,3.49,1.07,0.28,0.08,-1.14,-1.76,-1.31,6
-20.08,-7.57,3.29,1.37,-5.96,4.55,1.22,0.37,0.03,-11.21,-5.96,-1.07,6
-11.57,-7.06,2.62,-3.96,-6.59,7.06,1.14,0.38,0.0,-3.88,-5.76,0.2,6
3.49,-8.66,2.27,-6.66,-8.51,8.0,0.93,0.28,0.03,4.2,-5.62,3.38,6
6.19,-9.72,2.62,-4.58,-8.35,7.06,0.8,0.26,0.03,8.0,3.52,0.82,6
7.49,-9.29,3.92,0.0,-7.57,2.86,0.73,0.25,0.03,-3.53,6.78,-1.77,6
5.06,-8.27,3.37,6.43,-6.47,1.8,0.76,0.29,0.02,-14.18,-4.85,5.86,6
2.86,-6.98,0.94,10.9,-6.19,2.58,1.14,0.33,0.07,-15.37,-4.95,1.29,6
-1.72,-6.82,0.9,14.67,-6.82,4.74,1.36,0.46,0.1,1.76,0.34,-2.62,6
-7.57,-8.7,0.9,12.63,-7.25,3.41,1.16,0.38,0.02,22.97,2.26,0.07,6
-9.88,-9.96,1.09,3.76,-8.51,4.58,0.9,0.28,0.01,25.39,10.85,-5.69,6
