d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
-3.72,-2.31,1.25,-2.7,-6.39,0.9,0.95,0.29,0.11,22.0,3.51,5.28,9
-4.23,-1.92,1.09,-2.82,-6.15,0.07,0.85,0.36,0.04,15.0,-2.03,15.4,9
-5.37,-1.49,2.27,-4.9,-5.45,2.19,0.76,0.43,0.03,4.75,-14.53,27.36,9
-4.15,-1.17,2.51,-7.37,-5.8,3.13,0.82,0.45,0.13,-3.24,-25.3,26.94,9
-3.21,0.15,5.13,-8.86,-4.7,4.35,1.12,0.38,0.27,-4.53,-19.29,16.27,9
-3.49,0.7,7.41,-9.8,-3.8,5.37,1.13,0.31,0.27,17.77,-2.26,3.64,9
-1.45,2.54,11.68,-10.43,-1.56,7.84,0.99,0.28,0.21,38.7,7.89,7.82,9
-2.66,3.33,14.12,-10.74,0.74,8.0,0.97,0.28,0.15,39.9,11.71,7.95,9
0.27,3.88,16.16,-10.39,1.09,12.9,0.88,0.43,0.04,16.85,1.23,6.72,9
4.23,2.31,17.14,-8.9,0.07,13.8,0.73,0.46,0.04,3.07,-15.75,12.84,9
6.9,0.35,15.18,-9.61,2.9,17.8,0.85,0.34,0.22,-11.0,-28.72,10.25,9
6.9,-1.64,11.92,-5.84,2.54,14.59,1.19,0.08,0.22,20.06,-6.65,-5.58,9
5.96,-1.76,9.57,-4.39,3.21,11.96,1.2,0.17,0.1,41.58,23.78,-1.99,9
5.25,-2.03,8.23,-4.39,4.11,9.37,1.07,0.48,0.04,17.64,16.46,-10.54,9
4.98,-1.45,7.72,-2.66,3.64,7.57,0.84,0.4,0.11,-31.67,-15.28,-5.61,9
5.41,-1.21,6.31,-3.6,3.33,7.37,0.77,0.37,0.07,-49.73,-44.69,5.49,9
4.98,-1.41,7.68,-3.92,2.78,8.23,1.0,0.29,0.38,-49.45,-45.55,1.7,9
5.21,-1.05,10.7,-6.82,3.45,10.78,1.09,0.19,0.37,-16.92,-13.69,-5.26,9
4.27,0.98,13.37,-9.88,3.25,14.35,0.97,0.36,0.3,1.67,10.64,1.0,9
3.53,0.7,18.16,-13.49,2.58,15.33,0.96,0.39,0.17,-3.73,12.82,4.05,9
0.7,1.49,17.88,-16.94,2.86,14.2,0.89,0.42,0.17,-33.34,-5.05,-6.48,9
-2.15,3.41,18.2,-18.43,2.98,11.1,0.93,0.23,0.2,-38.37,-1.41,-22.61,9
-2.62,5.09,17.1,-19.45,4.19,8.27,0.95,0.31,0.27,-45.02,11.58,-22.61,9
-2.39,5.49,13.53,-19.02,4.23,5.57,0.96,0.48,0.26,-32.93,16.11,-24.03,9
-1.41,4.04,9.49,-16.47,4.23,3.76,1.04,0.41,0.2,-21.05,10.98,-15.1,9
0.39,2.78,6.47,-11.92,3.09,2.35,1.03,0.39,0.12,-6.77,1.02,-12.34,9
0.5,1.05,2.78,-6.51,1.49,0.94,1.04,0.35,0.11,4.54,0.2,-10.3,9
0.39,-1.09,1.41,-3.21,0.23,0.82,1.25,0.36,0.09,16.19,11.54,-4.1,9
1.8,-2.51,0.11,-2.54,-1.05,0.7,0.97,0.52,0.21,-12.93,10.86,-4.33,9
2.23,-3.72,0.98,1.01,-1.09,2.35,0.91,0.29,0.15,-20.87,-13.54,-4.09,9
2.9,-4.94,-1.25,1.64,-1.17,3.33,0.94,0.16,0.05,-8.13,-2.9,5.85,9
4.31,-4.98,-1.21,3.09,0.62,5.49,0.86,0.29,0.13,-7.01,2.77,5.01,9
6.0,-6.47,-1.33,1.88,0.19,5.96,1.04,0.32,0.19,-7.17,-1.0,5.93,9
8.15,-5.96,1.33,3.88,1.49,6.15,1.09,0.32,0.14,-12.61,1.31,5.86,9
9.02,-5.37,3.02,5.72,3.29,11.06,0.95,0.28,0.2,-11.52,-5.95,10.36,9
10.23,-4.82,3.88,5.13,0.35,11.1,0.84,0.26,0.09,-6.05,-20.13,22.54,9
10.59,-3.45,9.96,5.45,1.45,15.25,0.81,0.28,0.08,0.17,-23.65,34.18,9
7.21,-4.62,12.16,0.47,-3.8,17.02,0.97,0.23,0.05,5.68,-20.55,44.86,9
3.49,-4.04,15.88,-2.11,0.07,19.22,1.04,0.16,0.05,11.79,-12.18,20.68,9
0.62,-2.15,16.63,-3.49,-1.41,16.78,0.97,0.16,0.01,-1.47,-2.02,0.65,9
-2.51,0.74,14.04,0.7,-1.64,13.61,0.97,0.33,0.02,1.29,-21.7,3.23,9
0.47,0.78,10.78,0.9,0.78,10.98,1.09,0.23,0.17,14.88,-33.89,2.95,9
2.7,1.45,6.23,0.15,1.29,7.68,1.04,0.16,0.13,44.66,-17.41,2.3,9
6.04,1.45,4.58,0.03,3.76,6.74,0.9,0.27,0.01,54.69,0.17,-4.23,9
6.43,0.31,4.27,0.54,5.45,10.23,0.78,0.4,0.03,36.14,-10.01,-2.84,9
6.23,0.47,7.29,0.07,4.58,12.19,1.0,0.33,0.18,6.85,-20.7,-3.72,9
5.17,0.74,10.82,0.94,5.02,16.98,1.11,0.36,0.26,8.93,-8.02,1.82,9
3.8,0.35,15.33,-1.76,3.64,19.77,1.04,0.35,0.28,20.32,2.06,4.52,9
2.23,0.74,18.75,-3.72,4.04,20.04,1.04,0.27,0.23,23.48,17.98,1.97,9
0.19,1.88,17.92,-6.47,2.82,19.49,0.99,0.33,0.18,9.46,36.5,-10.49,9
-1.05,3.09,17.06,-9.06,2.98,17.76,0.87,0.34,0.11,-23.11,27.93,-15.72,9
-1.6,4.58,15.06,-10.31,3.53,15.21,0.89,0.28,0.17,-33.5,24.0,-20.39,9
0.5,5.13,12.23,-10.08,3.45,12.7,0.91,0.34,0.26,-27.21,23.8,-26.28,9
-1.25,4.86,10.98,-11.21,4.55,12.43,0.93,0.4,0.3,-19.01,24.81,-26.79,9
0.94,3.64,7.57,-9.1,3.49,8.04,0.91,0.4,0.22,-7.91,24.81,-25.4,9
0.82,1.84,5.49,-6.62,1.49,5.09,0.95,0.36,0.19,-6.21,20.52,-25.94,9
-1.25,0.94,3.8,-5.02,0.9,2.66,1.02,0.37,0.16,-4.82,10.67,-25.49,9
0.47,-2.98,2.47,-1.41,-3.09,2.54,1.04,0.46,0.18,-13.38,-5.78,-18.03,9
0.43,-4.39,1.96,1.21,-5.13,2.15,1.09,0.39,0.08,6.59,-8.8,-3.07,9
0.23,-4.98,1.37,1.92,-5.8,1.96,1.09,0.35,0.06,17.55,0.26,4.79,9
0.58,-5.88,1.29,2.7,-6.04,2.7,1.06,0.29,0.22,4.19,-1.2,4.28,9
1.17,-6.9,2.27,2.27,-5.72,2.82,1.08,0.27,0.38,-11.04,-2.14,16.45,9
2.31,-6.9,1.96,2.43,-4.39,4.74,0.97,0.36,0.34,-34.4,-15.17,22.82,9
2.98,-6.82,1.96,3.41,-2.54,6.47,1.02,0.24,0.17,-47.89,-23.38,17.86,9
3.92,-6.62,2.27,2.7,-1.17,6.82,1.03,0.16,0.0,-38.72,-17.85,15.08,9
5.06,-5.76,2.86,5.21,0.94,9.1,0.87,0.24,0.04,-21.21,-7.32,17.88,9
6.04,-5.06,3.53,5.64,1.01,9.68,0.82,0.21,0.1,0.2,-4.56,23.86,9
6.08,-5.13,3.72,4.7,1.09,11.57,0.94,0.19,0.11,11.71,3.09,24.18,9
7.13,-4.78,5.49,4.9,0.86,12.35,1.01,0.18,0.13,12.09,8.6,8.37,9
7.37,-3.8,6.74,1.88,2.27,12.86,0.95,0.14,0.16,-3.93,3.09,-10.21,9
8.27,-2.27,9.84,0.19,3.25,15.18,0.88,0.32,0.21,-28.8,2.16,-9.39,9
8.62,-1.25,11.84,0.03,2.39,15.37,0.87,0.29,0.18,-40.0,-5.95,1.39,9
7.53,0.58,13.8,0.39,2.51,17.18,1.05,0.32,0.03,-48.05,-18.28,5.62,9
4.55,0.31,14.16,-1.8,1.25,17.22,1.25,0.26,0.09,-48.18,-19.1,-1.29,9
1.6,0.19,13.76,0.62,1.41,15.57,1.09,0.15,0.09,-1.12,-10.51,1.83,9
0.5,1.33,11.06,0.98,0.74,12.39,1.01,0.17,0.07,20.16,12.33,7.93,9
1.56,0.94,7.57,0.58,0.5,10.94,0.93,0.28,0.07,36.33,26.82,1.49,9
3.6,0.47,5.09,0.5,0.78,10.27,0.98,0.25,0.19,18.32,24.78,2.08,9
4.74,0.35,4.27,-1.45,1.17,9.8,1.03,0.28,0.12,-1.0,15.98,9.36,9
5.45,0.82,4.04,-2.27,1.17,9.02,1.01,0.2,0.09,-8.82,9.37,19.19,9
2.66,1.25,4.74,-2.03,0.54,8.7,0.98,0.17,0.1,9.28,15.68,20.95,9
0.31,1.76,6.82,-1.92,0.31,9.72,1.0,0.24,0.18,6.83,16.95,13.29,9
-2.11,2.62,9.1,0.94,1.33,12.9,0.97,0.22,0.17,-7.17,8.09,7.98,9
-1.6,3.25,11.92,0.35,2.39,14.82,0.95,0.14,0.11,-16.06,1.6,5.73,9
1.21,3.92,14.16,0.07,4.78,19.02,1.0,0.08,0.08,9.1,-6.13,-7.78,9
5.02,4.19,15.57,3.17,6.43,18.98,1.02,0.12,0.08,23.04,7.8,-21.33,9
8.62,3.45,15.65,4.66,7.57,17.88,0.91,0.18,0.17,39.42,23.15,-22.16,9
10.66,2.82,14.78,5.76,8.35,18.0,0.82,0.23,0.17,36.72,22.68,-15.8,9
11.68,2.62,13.49,5.09,8.27,15.57,0.93,0.13,0.25,26.71,16.12,-16.54,9
12.59,2.74,12.27,3.37,7.96,13.65,0.94,0.16,0.23,20.08,17.21,-27.17,9
13.1,2.94,10.86,2.66,6.39,11.96,0.98,0.21,0.25,13.81,14.33,-29.54,9
12.67,2.66,8.35,1.68,4.31,8.98,1.05,0.27,0.25,8.81,10.02,-27.81,9
10.47,1.8,7.17,2.86,1.92,5.06,1.02,0.28,0.25,6.67,12.71,-23.98,9
7.84,0.54,5.09,1.13,0.74,5.06,1.01,0.33,0.19,0.85,10.43,-20.72,9
5.68,0.39,4.74,-1.25,-1.96,3.96,1.12,0.34,0.1,0.16,2.94,-16.42,9
0.62,0.19,2.51,0.54,-3.49,3.25,1.03,0.41,0.02,14.43,-3.73,-5.96,9
-2.62,-1.72,0.66,-1.72,-4.94,2.66,1.05,0.43,0.02,25.36,-11.79,1.85,9
-2.94,-2.43,1.68,-1.56,-6.27,2.23,1.03,0.32,0.0,43.98,-5.52,0.21,9
-3.45,-2.47,1.52,-2.7,-6.31,1.45,0.86,0.41,0.01,35.69,0.38,0.46,9
-4.58,-1.64,1.92,-4.11,-6.23,1.21,0.73,0.53,0.02,17.3,-12.42,5.12,9
-4.07,-1.72,2.15,-3.72,-6.31,1.84,0.76,0.59,0.08,7.04,-23.83,17.12,9
-4.39,0.82,1.64,-6.98,-5.57,5.6,0.99,0.51,0.09,7.05,-32.83,29.17,9
-4.78,0.27,5.09,-8.55,-5.68,5.68,1.16,0.43,0.23,3.84,-29.98,19.43,9
-4.62,0.74,5.09,-8.04,-3.37,9.45,1.06,0.41,0.18,9.5,-12.56,10.52,9
-5.49,3.8,8.74,-10.9,-2.39,10.82,0.86,0.41,0.1,8.63,-11.83,11.51,9
-3.53,4.19,12.04,-9.92,0.66,13.21,0.8,0.36,0.08,2.95,-20.94,14.33,9
