d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
0.0,0.0,0.0,0.07,-4.86,-4.15,0.71,0.33,0.11,17.98,9.76,-9.59,1
-3.21,-6.27,-5.53,0.35,-6.11,-3.49,1.12,0.48,0.15,-13.27,0.52,-7.14,1
-3.92,-7.1,-5.64,0.66,-7.41,-6.15,1.07,0.54,0.04,-6.97,2.98,-8.37,1
-2.66,-6.39,-5.88,0.7,-7.25,-6.66,0.97,0.41,0.03,-5.05,1.78,0.87,1
-1.56,-5.41,-5.72,0.86,-4.9,-4.19,0.91,0.38,0.07,-1.06,-1.67,5.76,1
1.96,-3.29,-4.58,0.82,-2.86,-2.62,0.78,0.32,0.12,3.61,5.1,-2.89,1
9.96,-1.72,-3.33,0.19,0.9,-1.76,0.69,0.36,0.08,1.65,5.02,-11.34,1
13.8,-2.27,-1.6,-10.43,2.58,3.64,0.76,0.39,0.09,3.43,4.32,-14.96,1
12.82,-2.94,0.58,-17.73,0.23,11.17,0.88,0.38,0.08,4.49,1.6,-25.53,1
20.04,0.86,7.84,-20.08,0.43,14.98,1.49,0.4,0.13,19.94,1.0,-11.59,1
20.04,-1.76,3.92,-20.08,0.11,16.27,1.35,0.46,0.22,36.88,12.16,3.18,1
11.72,-2.82,1.52,-18.24,-2.66,10.7,0.94,0.42,0.12,-6.34,-6.77,18.45,1
12.39,-1.84,0.47,-14.27,-2.51,6.15,0.75,0.37,0.04,-37.53,-24.38,20.84,1
8.78,-3.02,-2.03,-8.31,-3.33,1.88,0.82,0.36,0.13,-27.58,-23.88,22.27,1
5.33,-4.78,-3.72,-3.09,-5.96,-2.98,0.95,0.4,0.14,-17.28,-8.19,11.4,1
2.03,-5.84,-4.86,-2.82,-6.15,-2.94,1.01,0.5,0.12,-13.5,-5.24,0.24,1
0.74,-6.47,-6.08,-3.09,-5.96,-3.72,0.96,0.4,0.06,-4.28,-4.64,4.21,1
-5.06,-7.53,-7.1,0.74,-7.13,-7.13,0.89,0.35,0.07,0.08,0.97,3.54,1
-4.51,-6.39,-6.74,1.92,-6.98,-5.8,0.84,0.34,0.12,0.12,-1.14,0.29,1
0.98,-4.74,-6.08,0.78,-4.94,-4.04,0.77,0.37,0.14,1.87,0.81,-4.78,1
3.53,-2.66,-5.64,-1.09,-3.05,-1.72,0.81,0.38,0.14,9.14,5.78,-10.57,1
13.14,0.03,0.31,-8.47,1.17,2.82,0.85,0.42,0.13,13.25,10.08,-17.92,1
20.04,0.27,3.88,-17.73,1.17,8.15,1.09,0.4,0.07,11.85,4.2,-15.67,1
20.04,0.86,8.51,-20.08,1.76,12.67,1.48,0.37,0.2,38.09,11.38,-3.1,1
20.04,-2.9,5.64,-20.08,-1.84,10.43,1.06,0.46,0.16,27.76,-5.58,16.75,1
16.67,-3.96,0.23,-18.82,-3.72,5.88,0.89,0.32,0.01,-19.4,-23.86,19.73,1
10.15,-2.31,0.7,-10.74,-2.9,2.31,0.76,0.28,0.11,-29.76,-14.93,15.37,1
3.64,-3.25,-3.88,-3.92,-5.88,-3.05,0.85,0.31,0.14,-18.0,-8.67,13.56,1
1.45,-4.62,-5.06,-1.52,-7.57,-4.66,1.04,0.43,0.15,-11.9,-3.25,4.86,1
0.82,-6.23,-5.37,-2.27,-6.39,-3.33,1.0,0.48,0.13,-10.58,-7.77,0.39,1
-2.11,-7.41,-6.74,1.05,-7.72,-8.11,0.97,0.37,0.12,-1.8,-7.21,5.8,1
-4.55,-7.49,-6.9,1.13,-6.66,-6.55,0.91,0.35,0.14,7.38,1.94,2.86,1
-1.64,-6.08,-7.49,0.43,-5.45,-6.39,0.79,0.35,0.14,12.05,4.32,-3.78,1
1.96,-4.74,-5.96,0.94,-4.27,-3.8,0.79,0.35,0.15,14.22,7.47,-9.64,1
7.8,-2.47,-4.82,0.66,-2.39,0.54,0.83,0.37,0.11,21.86,15.0,-17.94,1
16.04,-1.33,1.21,-16.63,2.51,4.78,0.98,0.42,0.08,16.68,12.67,-22.08,1
20.04,0.62,1.33,-20.08,0.7,11.68,1.49,0.39,0.12,25.97,14.35,-14.16,1
20.04,-4.27,7.37,-20.08,0.74,12.78,1.14,0.44,0.12,11.88,-3.78,15.0,1
16.47,-1.6,3.56,-20.08,-2.86,9.84,0.86,0.33,0.01,-14.84,-22.3,33.28,1
13.88,-2.27,0.94,-16.78,-4.0,4.86,0.78,0.35,0.12,-20.48,-16.85,22.39,1
9.49,-3.29,-1.92,-8.82,-4.94,0.74,0.93,0.35,0.14,-18.08,-3.19,8.06,1
4.19,-4.74,-5.41,-4.98,-5.53,-2.39,0.99,0.41,0.16,-19.8,2.97,-4.75,1
2.31,-5.68,-5.29,-4.43,-5.29,-2.82,1.01,0.43,0.12,-11.79,-3.95,0.31,1
0.78,-6.04,-5.17,-3.02,-5.13,-3.56,0.94,0.34,0.11,-4.11,-3.81,4.16,1
-2.47,-7.06,-5.72,0.07,-6.11,-4.43,0.88,0.32,0.1,-1.44,2.76,2.23,1
-3.84,-6.9,-4.58,2.51,-6.98,-4.94,0.81,0.33,0.13,0.39,3.98,-4.4,1
0.35,-5.88,-4.35,2.82,-7.45,-7.6,0.79,0.36,0.18,3.81,6.28,-16.8,1
4.43,-5.09,-4.19,-1.49,-4.35,-5.13,0.86,0.39,0.17,14.92,16.05,-24.82,1
7.96,-2.94,-2.39,-3.29,-2.9,-3.56,0.94,0.41,0.11,25.68,25.08,-34.49,1
15.1,-2.11,0.5,-9.64,0.07,-2.19,1.33,0.41,0.06,30.88,23.48,-28.12,1
18.59,-3.05,1.64,-20.08,0.74,5.96,1.25,0.42,0.14,26.88,16.23,-8.91,1
20.04,0.27,4.98,-20.08,1.41,13.33,0.96,0.34,0.15,-7.69,-11.8,16.76,1
13.72,-1.37,5.13,-19.26,-2.58,13.96,0.76,0.31,0.01,-25.49,-30.97,23.83,1
14.12,-1.6,1.6,-16.59,-4.74,7.41,0.73,0.37,0.16,-32.01,-28.12,18.61,1
10.31,-3.72,-1.33,-11.53,-4.23,3.09,1.07,0.43,0.17,-24.16,-13.94,8.3,1
6.86,-4.19,-3.09,-6.11,-4.86,-1.13,1.14,0.51,0.19,-12.74,5.63,-5.92,1
3.49,-5.21,-4.11,-3.13,-5.57,-3.17,0.97,0.47,0.08,-5.81,0.44,0.53,1
1.05,-6.15,-5.64,-2.54,-4.9,-2.7,0.91,0.42,0.09,-2.4,-9.88,10.78,1
-4.47,-8.11,-8.19,2.31,-6.86,-6.23,0.84,0.31,0.11,-4.89,-7.88,8.91,1
-4.47,-7.02,-6.31,2.54,-6.59,-5.33,0.76,0.31,0.14,-3.73,-4.93,1.01,1
-1.45,-6.04,-5.76,2.51,-5.17,-3.88,0.8,0.36,0.2,7.8,4.21,-9.68,1
4.7,-3.72,-2.94,-2.03,-3.29,-3.84,0.85,0.4,0.18,21.0,15.94,-18.74,1
13.84,-2.51,0.03,-7.17,0.94,0.15,0.87,0.46,0.1,28.68,17.75,-24.6,1
14.67,-2.15,0.19,-17.18,1.29,5.8,1.33,0.44,0.07,37.16,17.16,-21.34,1
20.04,-1.56,3.68,-20.08,2.43,8.82,1.45,0.38,0.23,46.18,19.18,-1.94,1
18.35,-2.0,2.7,-16.82,-1.56,14.31,0.93,0.41,0.13,7.64,-17.61,21.1,1
13.57,-1.88,0.19,-17.76,-4.23,9.92,0.74,0.3,0.05,-21.76,-34.87,26.76,1
10.74,-3.02,0.39,-16.08,-3.96,4.39,0.73,0.34,0.18,-25.17,-22.52,17.84,1
9.53,-4.39,-3.21,-10.23,-4.78,0.15,0.95,0.37,0.19,-15.53,-7.57,9.38,1
6.39,-5.64,-4.31,-6.04,-5.09,-2.43,1.07,0.47,0.18,-4.54,3.09,-3.2,1
3.21,-6.08,-5.02,-4.66,-5.17,-3.6,1.05,0.49,0.11,-2.64,-1.22,-1.15,1
0.86,-6.82,-5.06,-1.72,-5.96,-6.43,0.97,0.38,0.11,0.27,-3.97,7.07,1
-1.96,-7.41,-6.19,1.29,-7.8,-6.55,0.87,0.33,0.14,-1.02,-2.3,5.14,1
-4.94,-7.57,-6.55,2.19,-7.76,-6.35,0.77,0.34,0.18,0.67,0.82,-2.27,1
-1.96,-5.57,-5.64,2.78,-7.33,-6.04,0.78,0.36,0.2,3.37,5.47,-10.33,1
5.21,-3.68,-4.35,-1.13,-4.94,-3.56,0.8,0.39,0.16,15.28,17.85,-18.56,1
11.02,-2.9,-1.56,0.35,-2.11,-1.68,0.83,0.43,0.09,25.63,25.61,-33.31,1
13.49,-3.41,-1.25,-12.98,2.54,5.96,1.42,0.39,0.02,23.23,27.18,-34.52,1
16.47,-1.01,-1.05,-20.08,0.23,6.9,1.36,0.41,0.16,23.49,27.63,-16.85,1
20.04,0.43,3.02,-15.84,-3.21,12.51,0.87,0.41,0.14,-14.63,-9.88,9.63,1
13.21,0.9,3.45,-18.0,-6.43,9.37,0.79,0.36,0.02,-39.7,-34.5,20.87,1
