d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
3.53,-2.86,12.94,-5.68,0.23,9.1,1.05,0.29,0.14,-49.69,-43.48,51.05,3
2.43,-2.43,11.96,-5.06,0.94,8.08,0.84,0.21,0.25,-8.33,-42.1,53.95,3
1.37,-2.39,13.33,-8.08,0.03,5.41,0.77,0.22,0.2,23.27,-5.7,24.18,3
4.55,-2.7,13.45,-15.41,1.92,0.86,0.66,0.3,0.09,28.19,15.85,-17.23,3
17.18,-7.17,7.88,-5.6,-5.13,0.74,0.87,0.37,0.02,35.81,13.84,-35.23,3
20.04,-12.43,0.27,20.04,-2.94,19.33,1.18,0.41,0.09,30.35,31.56,-27.27,3
8.74,-5.64,2.66,-3.96,-1.56,11.29,0.94,0.42,0.03,3.55,22.76,-11.5,3
-2.15,-5.57,1.45,-1.76,-5.49,14.63,0.78,0.39,0.06,8.59,2.48,-5.31,3
-1.56,-6.11,6.11,5.57,-4.19,14.63,0.77,0.32,0.16,14.23,-1.54,-20.59,3
2.39,-3.76,4.47,2.23,-3.17,13.41,0.96,0.29,0.18,38.01,6.25,-20.33,3
1.56,-1.17,3.17,1.41,-1.92,17.33,1.58,0.28,0.06,76.88,23.6,-9.31,3
0.15,-2.43,4.98,4.82,0.07,18.12,1.38,0.51,0.34,67.99,10.83,17.95,3
0.39,-2.47,2.82,3.49,1.64,16.2,0.86,0.43,0.24,24.26,-27.37,36.92,3
2.23,-4.86,-1.64,1.6,-2.19,15.84,0.7,0.3,0.23,-12.38,-32.43,28.48,3
5.29,-5.8,-4.58,-1.76,-3.84,13.33,0.72,0.21,0.13,-32.11,-21.54,14.81,3
5.8,-7.6,-3.05,-1.49,-4.55,8.31,0.91,0.23,0.03,-24.61,1.33,-3.56,3
0.98,-7.37,0.7,-3.33,-4.98,7.02,1.04,0.31,0.1,-23.54,18.08,-19.99,3
-3.53,-7.06,4.58,-4.47,-6.0,7.96,1.1,0.4,0.12,-14.86,10.92,-7.27,3
0.78,-7.02,7.6,-1.21,-6.98,5.84,0.95,0.36,0.12,-17.28,-4.7,5.13,3
5.57,-6.78,5.64,-2.03,-6.94,3.25,0.86,0.22,0.13,-28.74,0.77,3.55,3
3.49,-7.76,5.25,1.01,-8.43,-6.43,0.76,0.16,0.13,-30.7,7.37,-6.64,3
2.58,-5.88,6.7,-4.39,2.94,-3.41,0.76,0.21,0.23,-31.58,11.08,-14.81,3
7.17,-2.43,14.0,-10.98,2.58,9.49,1.22,0.37,0.03,-58.36,0.33,-13.12,3
10.0,-3.21,11.41,-5.76,0.74,7.1,1.66,0.53,0.09,-64.19,-11.14,9.5,3
6.15,-3.25,11.61,-11.45,0.58,7.6,1.07,0.39,0.21,-47.89,-48.3,46.37,3
4.74,-3.45,13.14,-7.02,-3.45,6.27,0.81,0.14,0.27,15.88,-57.02,62.98,3
8.74,-4.82,12.04,-8.11,-2.23,7.25,0.85,0.2,0.23,55.29,-11.53,34.61,3
12.82,-7.33,9.61,2.47,-3.09,10.9,0.82,0.31,0.04,61.94,17.47,-17.36,3
