d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
-9.68,3.45,-11.02,-2.51,9.68,0.5,1.15,0.42,0.56,177.0,29.08,-3.53,10
-4.94,-1.41,-13.61,-1.29,14.59,0.39,0.91,0.51,0.46,214.0,74.8,-39.02,10
-7.25,-4.51,-14.67,0.82,15.41,0.54,1.28,0.41,0.14,212.04,77.47,-27.24,10
-3.17,-8.31,-19.29,1.09,17.1,0.98,1.67,0.52,0.16,208.8,108.94,-40.18,10
5.13,-12.55,-18.35,0.58,16.86,-2.0,1.28,0.51,0.31,206.61,139.08,-83.53,10
14.86,-12.63,-10.23,-3.21,10.04,-2.03,0.92,0.39,0.37,117.71,92.21,-42.49,10
18.55,-13.18,-3.21,-8.04,4.66,2.19,0.73,0.25,0.33,81.03,49.19,-12.25,10
17.1,-9.76,0.31,-6.35,4.47,4.27,0.86,0.08,0.12,71.97,41.21,7.67,10
19.61,-3.37,-2.0,-4.04,4.35,2.43,0.83,0.23,0.25,51.81,25.92,25.38,10
16.67,-5.96,5.72,-2.62,6.43,1.17,0.82,0.35,0.29,73.39,-2.72,30.11,10
6.15,-5.6,10.04,-1.92,11.29,1.52,1.05,0.37,0.31,113.34,5.82,11.01,10
0.82,-4.43,18.27,0.98,13.96,1.01,1.48,0.63,0.03,123.33,26.75,-17.43,10
1.49,-1.84,19.65,0.23,15.06,0.54,1.51,0.67,0.01,109.01,33.69,-16.75,10
-9.96,2.07,13.18,0.0,13.96,-1.17,1.19,0.59,0.08,90.06,25.64,0.59,10
-17.18,2.19,12.04,-1.56,11.33,0.27,0.9,0.42,0.19,101.46,19.45,13.28,10
-14.2,1.84,9.68,-4.07,8.23,1.21,0.7,0.27,0.19,118.56,16.98,28.61,10
-10.08,3.29,5.49,-5.21,5.76,2.11,0.44,0.14,0.17,154.78,31.81,29.01,10
-8.74,5.06,1.33,-5.17,4.82,3.13,0.27,0.32,0.22,147.02,40.92,33.72,10
-8.55,6.86,0.5,-2.78,5.41,2.27,0.29,0.08,0.24,159.59,38.76,10.92,10
-7.1,7.72,-5.33,-1.09,8.15,1.76,0.57,0.37,0.36,149.33,16.53,0.69,10
-8.31,5.17,-9.29,0.15,12.31,0.7,1.8,0.19,0.27,200.58,25.66,-3.11,10
-10.39,0.7,-12.47,0.03,15.06,0.27,1.99,0.53,0.29,231.81,77.95,-50.91,10
-8.59,-4.82,-15.33,0.66,17.29,-1.33,1.5,0.57,0.53,114.38,60.79,-28.34,10
-7.84,-9.72,-17.53,-2.03,11.8,0.19,1.02,0.31,0.12,37.89,27.98,-27.26,10
0.98,-10.55,-15.96,-10.63,6.08,10.27,0.71,0.16,0.08,2.23,27.13,-18.04,10
4.23,-12.51,-16.67,-7.6,2.62,10.82,0.47,0.06,0.23,7.13,21.08,2.73,10
8.98,-12.94,-15.92,-6.27,2.74,4.62,0.23,0.06,0.41,18.89,5.98,26.05,10
13.96,-10.15,-10.04,-3.33,7.33,1.01,0.67,0.18,0.49,54.58,7.07,38.66,10
12.63,-9.64,-6.51,-1.41,12.63,1.13,1.54,0.44,0.2,104.69,12.05,-42.62,10
6.86,-6.9,-8.08,0.31,17.06,3.68,1.43,0.61,0.13,78.25,31.11,-51.63,10
18.31,0.19,5.84,2.23,17.8,3.76,1.39,0.55,0.19,65.6,26.79,-41.07,10
11.21,5.84,17.76,0.94,15.84,1.72,1.49,0.57,0.09,73.91,35.52,-32.99,10
0.98,7.96,20.04,-3.96,13.41,0.43,1.22,0.47,0.07,94.18,47.88,-26.85,10
-7.64,11.57,18.27,-3.64,8.62,2.27,0.95,0.43,0.11,73.97,42.6,-11.09,10
-20.08,8.82,11.96,-4.74,6.62,4.0,0.56,0.39,0.16,82.78,18.57,20.4,10
-20.08,6.31,8.74,-4.35,6.59,3.45,0.51,0.25,0.26,110.41,-2.23,40.96,10
-17.14,7.06,4.23,-2.98,6.62,1.52,0.61,0.19,0.27,132.25,3.11,36.19,10
-10.63,9.13,1.68,-1.92,6.51,1.52,0.56,0.31,0.26,153.77,22.72,26.61,10
-10.39,10.15,-1.96,0.58,7.96,2.51,0.65,0.26,0.06,148.36,37.47,29.3,10
-11.68,10.08,-4.82,1.84,9.41,2.51,1.25,0.46,0.12,144.03,44.18,12.43,10
-7.17,5.88,-10.19,2.58,10.9,2.03,1.13,0.55,0.29,156.88,49.14,-7.89,10
-7.13,3.45,-11.14,1.37,11.06,0.86,1.22,0.47,0.05,167.04,31.41,4.37,10
-9.8,-1.17,-14.12,0.39,11.21,0.27,1.45,0.37,0.04,178.74,32.63,-16.49,10
-4.86,-8.82,-15.65,-3.8,11.88,-1.13,1.24,0.29,0.22,133.55,52.37,-11.23,10
-6.43,-10.86,-14.47,-6.15,9.96,0.11,0.83,0.1,0.2,93.52,35.04,11.99,10
-4.66,-11.21,-16.08,-6.23,7.13,1.92,0.61,0.03,0.0,59.84,13.92,8.33,10
4.86,-11.76,-17.25,-6.04,7.68,3.64,0.64,0.06,0.17,29.87,10.69,-1.74,10
7.68,-13.53,-13.53,-5.41,8.7,3.25,0.86,0.14,0.16,51.07,17.6,-6.71,10
7.25,-12.43,-8.98,-5.92,10.82,3.13,1.09,0.26,0.17,91.84,27.21,-25.35,10
5.96,-11.88,-9.88,-6.94,13.61,2.58,1.04,0.29,0.12,134.32,34.79,-34.57,10
9.25,-4.23,-9.25,-1.72,15.1,1.41,1.2,0.42,0.11,116.91,36.35,-41.53,10
