d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
4.0,0.23,16.74,1.13,-1.8,0.27,1.58,0.28,0.05,46.28,27.89,19.07,8
0.03,0.82,20.04,1.29,-2.78,0.58,1.56,0.41,0.4,35.51,5.6,26.65,8
3.13,1.13,20.04,0.98,-2.27,-1.05,1.07,0.23,0.29,-11.3,-17.1,36.29,8
0.5,2.23,20.04,0.07,-2.94,-1.72,0.75,0.16,0.01,-23.09,-22.46,17.79,8
3.72,-2.54,10.78,2.58,-1.68,1.84,0.73,0.15,0.08,3.88,-10.77,-7.29,8
9.21,9.49,17.02,2.39,0.54,6.78,0.79,0.18,0.02,22.87,1.08,-30.61,8
5.25,6.19,16.43,0.19,1.72,13.06,0.88,0.19,0.1,19.22,1.98,-32.81,8
0.58,-1.84,10.78,-2.78,0.7,14.82,0.87,0.23,0.12,3.13,5.21,-27.18,8
7.33,6.62,2.19,0.31,-1.88,13.29,0.72,0.16,0.07,-6.96,11.01,-25.0,8
10.59,4.66,-5.06,-5.6,1.17,12.16,0.62,0.15,0.14,-23.95,7.88,-26.1,8
0.98,2.47,-8.78,-1.29,4.39,18.71,1.1,0.33,0.14,-44.96,-19.19,-3.72,8
-3.29,0.5,-14.55,-11.29,9.49,20.04,1.81,0.52,0.41,-50.11,-17.4,-1.87,8
-3.88,-2.51,-12.98,-12.16,3.88,20.04,1.1,0.5,0.36,-22.86,-22.45,21.06,8
7.41,-3.6,0.35,-8.08,3.45,19.73,0.9,0.4,0.26,19.66,-14.43,34.34,8
0.39,-4.82,3.49,-9.37,4.62,13.21,1.19,0.54,0.07,29.04,19.9,10.1,8
2.74,-5.21,2.74,-8.0,0.66,9.25,1.16,0.43,0.05,5.23,30.07,-11.67,8
1.76,2.82,9.21,-6.15,-2.31,6.98,0.94,0.37,0.02,-23.71,27.29,-1.87,8
6.39,4.78,15.8,1.05,-4.43,5.57,0.73,0.27,0.05,-20.81,24.24,3.47,8
7.37,4.7,15.21,-1.05,-5.57,2.27,0.57,0.16,0.19,-1.23,9.76,-1.95,8
3.49,0.5,17.61,0.07,-4.0,2.43,0.55,0.09,0.32,17.3,5.64,-4.88,8
5.96,0.5,16.86,1.45,-2.23,-1.25,0.62,0.11,0.18,46.35,-5.24,2.0,8
4.86,4.07,20.04,4.15,0.39,-2.47,1.08,0.22,0.05,62.04,-12.68,17.54,8
1.49,7.96,20.0,4.86,0.31,0.07,1.9,0.31,0.43,60.42,0.83,6.95,8
0.39,6.23,18.16,6.15,0.03,1.8,1.48,0.55,0.45,16.28,-4.96,25.83,8
3.92,9.1,20.04,2.58,0.74,4.27,1.14,0.33,0.14,-27.29,-23.46,12.94,8
8.35,7.1,16.27,0.15,0.78,10.31,1.09,0.22,0.03,-20.27,-13.62,-9.73,8
7.6,3.92,13.29,0.74,4.55,15.29,0.98,0.23,0.08,19.03,1.85,-24.98,8
6.11,4.23,7.29,0.19,8.23,13.33,0.68,0.29,0.05,22.16,0.65,-30.18,8
4.55,3.96,2.94,-15.21,9.84,18.39,0.68,0.21,0.0,15.33,-5.18,-18.05,8
4.07,2.86,-3.13,-17.41,6.15,19.61,0.62,0.13,0.08,1.84,7.97,-1.72,8
1.56,2.0,-8.23,-10.0,7.41,20.04,0.46,0.01,0.14,-19.44,10.07,-2.17,8
-3.41,0.35,-11.21,-6.55,9.1,20.04,0.82,0.22,0.17,-44.27,-2.24,5.11,8
0.43,0.15,-10.51,-10.74,7.02,14.67,1.77,0.41,0.28,-59.5,-5.81,1.66,8
5.72,-1.05,-1.29,-9.02,5.84,10.66,1.78,0.83,0.4,-52.47,-7.53,24.94,8
2.62,-5.45,0.27,-8.98,4.07,8.9,1.02,0.34,0.28,15.34,-38.2,51.9,8
3.45,-3.17,3.84,-8.04,0.7,6.23,0.94,0.26,0.1,35.99,-1.67,20.34,8
2.31,1.52,11.68,-4.62,0.35,7.53,0.91,0.48,0.02,3.68,22.6,-3.8,8
5.84,3.05,13.61,1.33,-2.9,4.27,0.93,0.25,0.02,-33.24,19.02,-6.62,8
0.47,1.8,20.04,2.03,-4.74,1.56,0.77,0.21,0.11,-25.82,20.03,-3.86,8
9.49,0.86,20.04,3.96,-4.51,0.98,0.51,0.16,0.11,-5.76,3.74,-8.47,8
3.96,0.9,20.04,4.98,-3.56,0.66,0.49,0.09,0.29,7.99,-4.1,-10.47,8
5.17,2.31,19.77,3.29,-1.64,0.47,0.75,0.21,0.15,29.36,-4.71,-4.2,8
5.6,4.82,15.61,2.51,0.39,2.78,1.73,0.17,0.02,47.26,-21.51,13.44,8
1.41,3.09,15.45,1.37,0.86,4.23,1.93,0.49,0.22,52.77,4.74,12.4,8
4.62,3.45,12.31,0.15,0.23,3.6,1.05,0.28,0.17,8.91,-30.82,31.61,8
7.17,6.39,6.78,-2.58,1.6,8.62,0.79,0.28,0.05,-10.53,-23.71,8.83,8
6.08,3.68,1.92,-3.41,3.92,15.57,0.91,0.19,0.01,2.68,-10.36,-9.86,8
1.56,1.25,-1.72,-8.55,8.15,15.18,0.96,0.24,0.02,10.33,-5.47,-19.47,8
-2.39,0.7,-6.7,-6.82,7.88,20.04,0.8,0.25,0.01,8.73,0.04,-11.08,8
-5.06,-5.09,-10.51,-11.57,7.84,20.04,0.62,0.11,0.0,-1.01,8.14,-4.42,8
3.33,0.62,-3.53,-13.29,4.58,20.04,0.73,0.09,0.01,-11.67,14.74,-3.94,8
1.76,-2.19,0.19,-12.16,3.09,18.04,0.87,0.15,0.09,-17.74,16.86,-5.87,8
1.88,-2.47,0.98,-10.78,4.66,12.47,1.04,0.3,0.16,-39.77,6.02,-1.13,8
3.45,1.88,8.62,-7.45,4.9,9.33,1.53,0.44,0.07,-68.29,-9.36,1.7,8
1.84,0.43,7.41,-6.04,5.06,8.15,1.61,0.57,0.2,-69.86,-21.2,26.92,8
7.33,2.23,14.63,-3.6,1.56,8.19,0.94,0.26,0.3,-7.44,-49.91,52.53,8
4.94,0.58,19.06,0.03,-1.6,4.07,0.84,0.27,0.25,30.1,-8.54,20.56,8
1.6,-1.49,20.04,0.07,-3.53,0.15,0.88,0.29,0.07,23.98,17.37,-10.24,8
0.11,0.7,20.04,2.39,-5.33,-1.92,0.84,0.2,0.01,5.92,21.34,-26.23,8
7.53,4.74,20.04,3.88,-4.31,-1.45,0.77,0.19,0.08,0.06,12.59,-16.64,8
8.43,7.49,20.04,4.35,-3.09,0.94,0.62,0.17,0.17,2.12,5.25,-21.18,8
8.31,4.31,17.14,2.51,0.94,5.29,0.66,0.27,0.27,20.54,3.7,-28.56,8
5.57,5.13,11.49,1.13,0.0,8.47,1.13,0.36,0.25,29.18,2.98,-24.43,8
1.8,4.66,6.59,0.43,1.45,8.47,1.46,0.1,0.24,62.13,3.26,-15.11,8
2.07,5.72,1.68,-1.8,6.11,7.84,1.59,0.47,0.19,82.76,12.79,5.85,8
0.94,0.47,-3.76,-8.35,9.25,8.31,1.06,0.49,0.25,38.55,-9.15,26.02,8
-3.02,-1.68,-7.17,-12.59,7.57,18.35,0.88,0.14,0.16,-15.89,-9.39,10.09,8
-3.49,-1.41,-8.15,-11.8,7.02,20.04,0.89,0.13,0.0,-18.43,0.22,-6.43,8
0.7,0.35,-6.15,-15.18,6.7,20.04,0.93,0.2,0.12,-10.38,16.02,-13.15,8
4.51,-2.0,1.01,-12.9,6.11,20.04,0.84,0.29,0.03,2.2,13.56,-9.8,8
2.78,-3.45,-4.23,-10.55,5.64,15.96,0.85,0.24,0.1,2.0,8.26,0.56,8
0.66,-1.17,1.52,-7.76,3.76,9.49,0.89,0.18,0.2,-25.05,11.2,-10.75,8
3.64,0.43,4.55,-4.9,2.98,6.51,0.81,0.18,0.21,-52.4,12.48,-8.23,8
1.88,1.84,13.49,-5.09,1.68,4.78,0.92,0.28,0.24,-69.08,0.69,3.89,8
1.6,3.05,16.74,-1.64,2.62,4.43,1.42,0.45,0.11,-90.68,-18.71,17.29,8
0.78,1.33,20.04,4.47,-2.39,0.74,1.58,0.61,0.32,-75.9,-29.05,24.49,8
1.17,0.31,20.04,2.58,-3.88,-2.78,1.08,0.28,0.38,-31.05,-54.06,50.79,8
5.76,-1.37,20.04,3.21,-3.41,-3.21,0.84,0.13,0.31,34.68,-20.44,24.56,8
3.05,0.54,17.33,2.43,-1.33,-1.09,0.81,0.3,0.05,39.39,8.99,-2.07,8
5.72,4.98,13.69,0.11,0.39,2.66,0.91,0.27,0.06,20.78,5.9,-14.43,8
5.6,7.76,14.43,-1.88,1.37,9.33,0.96,0.25,0.03,2.84,5.68,-17.93,8
0.54,1.21,10.31,0.31,0.35,16.27,0.78,0.25,0.07,-3.15,0.1,-23.45,8
-1.96,0.62,8.43,-4.58,0.19,13.8,0.71,0.26,0.24,6.76,0.77,-26.16,8
7.41,2.82,3.17,-4.82,6.62,11.76,0.62,0.25,0.31,17.37,2.43,-23.91,8
2.19,1.29,1.01,0.19,9.45,19.22,0.9,0.24,0.17,33.83,-2.53,-8.89,8
-4.47,1.01,-4.19,-17.69,11.53,18.2,1.67,0.33,0.07,55.36,6.64,6.83,8
-2.23,-1.8,-13.06,-15.57,4.31,16.86,1.74,0.46,0.26,55.94,15.44,6.59,8
2.58,-4.58,-7.53,-18.59,5.29,14.9,1.0,0.27,0.22,3.36,-21.88,31.21,8
3.84,-2.98,0.54,-17.65,3.92,9.72,0.86,0.16,0.0,-35.92,-19.16,17.43,8
4.39,-3.45,-2.82,-10.55,2.82,7.64,0.85,0.1,0.08,-25.14,0.64,0.31,8
3.92,1.52,0.47,-3.49,0.54,6.27,0.84,0.2,0.1,-14.12,8.28,-11.47,8
7.25,2.54,6.94,-3.02,0.43,6.15,0.88,0.26,0.02,-8.7,12.63,-13.14,8
1.92,2.03,12.43,1.84,-1.49,5.8,0.82,0.18,0.01,-5.4,17.76,-7.6,8
0.94,1.33,14.35,2.86,-3.21,2.43,0.75,0.14,0.05,-15.02,19.21,-4.63,8
0.31,1.41,20.04,3.21,-3.68,0.62,0.78,0.16,0.13,-26.39,18.57,-1.86,8
-1.88,3.05,20.04,3.21,-2.62,0.7,1.25,0.22,0.12,-44.13,12.31,1.36,8
5.64,5.41,19.33,3.64,-2.82,-2.39,1.99,0.57,0.36,-45.73,-8.62,7.24,8
2.43,2.51,17.29,2.94,-2.07,-1.25,1.15,0.31,0.35,-8.99,-57.39,37.37,8
3.33,2.43,18.63,0.9,1.21,4.19,0.8,0.21,0.32,60.75,-27.61,17.96,8
2.11,5.13,17.69,-1.84,4.51,10.66,0.64,0.27,0.0,46.79,9.63,-2.97,8
2.47,6.0,14.94,1.72,4.7,11.88,0.89,0.23,0.08,20.75,14.39,-25.23,8
1.13,5.37,10.23,-2.54,7.25,15.41,1.01,0.36,0.03,-5.38,10.16,-26.31,8
4.31,5.37,4.74,-5.17,6.43,17.22,0.8,0.26,0.24,5.27,9.2,-28.88,8
2.07,1.72,0.35,-14.16,6.08,17.45,0.66,0.29,0.3,34.09,5.53,-33.02,8
0.35,0.7,-4.62,-16.31,5.06,19.57,0.64,0.36,0.31,50.45,20.39,-28.32,8
-1.52,-1.13,-10.19,-13.72,7.96,19.18,0.98,0.24,0.13,58.44,29.24,-9.28,8
-1.92,-2.78,-12.78,-11.53,7.13,16.39,1.59,0.34,0.08,60.4,37.69,-17.26,8
2.0,-2.94,-5.92,-11.49,5.02,11.84,1.69,0.52,0.4,39.17,30.97,17.04,8
6.74,0.58,2.23,-8.62,1.88,8.86,0.97,0.46,0.3,-1.49,-1.56,58.59,8
5.02,0.11,6.04,-5.41,-1.29,7.96,0.77,0.26,0.16,-58.26,-26.65,48.61,8
2.19,1.09,9.72,-2.82,-2.43,5.64,0.83,0.1,0.01,-45.96,-13.78,26.76,8
5.33,2.7,11.53,1.29,-2.78,4.19,0.87,0.18,0.09,-29.51,14.05,0.97,8
0.98,0.54,13.76,2.78,-4.82,4.7,0.9,0.23,0.07,-6.06,-1.1,-2.62,8
2.94,0.66,18.94,0.27,-2.7,2.58,0.95,0.2,0.0,4.84,0.26,-6.7,8
-1.17,0.39,20.04,4.15,-2.47,0.07,0.89,0.15,0.14,-7.15,2.85,-3.43,8
0.58,0.66,20.04,2.66,-1.88,0.0,0.76,0.14,0.23,-28.0,3.91,-1.85,8
2.86,3.96,17.06,2.0,0.66,2.15,1.14,0.21,0.06,-46.43,-4.19,0.19,8
0.15,3.45,13.37,0.82,0.62,4.62,1.35,0.32,0.23,-46.06,-9.94,6.42,8
2.31,7.29,15.02,0.11,0.27,5.68,1.36,0.47,0.35,-24.37,-32.43,18.28,8
0.35,1.37,14.47,0.74,3.84,10.55,0.9,0.25,0.2,35.32,-31.75,14.03,8
3.88,0.66,12.47,-3.09,5.25,15.29,0.66,0.24,0.03,47.4,-5.09,-5.31,8
2.66,3.21,5.84,-5.29,5.33,11.53,0.87,0.32,0.03,25.17,7.32,-20.3,8
0.82,1.76,2.15,-3.29,5.29,14.98,1.11,0.37,0.02,2.78,9.56,-23.26,8
-2.51,0.15,-1.25,-8.86,6.55,16.12,0.93,0.33,0.07,3.01,9.46,-19.34,8
-1.09,0.82,-6.43,-8.74,5.84,20.04,0.69,0.27,0.18,11.73,6.27,-16.33,8
0.54,-3.41,-10.47,-13.14,6.55,20.04,0.63,0.23,0.25,17.03,11.36,-13.85,8
2.66,-2.47,-5.02,-12.59,5.6,20.04,0.75,0.24,0.24,20.28,15.47,-10.82,8
3.68,-1.76,1.01,-9.49,7.72,14.74,1.24,0.36,0.04,28.17,17.68,-3.81,8
1.72,-4.07,0.31,-7.33,6.19,9.64,1.37,0.38,0.08,31.58,13.05,2.28,8
0.58,0.15,4.27,-3.84,3.09,6.74,1.57,0.38,0.43,27.59,10.24,34.74,8
4.51,2.62,8.11,-3.17,0.23,4.11,1.27,0.49,0.35,-9.59,-6.35,58.45,8
2.39,2.74,14.16,-2.54,-4.27,2.98,0.9,0.21,0.07,-54.05,-33.96,34.43,8
2.23,1.49,17.88,2.07,-6.04,4.66,0.78,0.04,0.04,-29.02,-13.33,15.51,8
0.15,0.62,20.04,2.0,-4.47,3.25,0.67,0.11,0.04,-3.6,3.22,0.75,8
4.39,2.47,20.04,1.68,-3.29,1.45,0.75,0.17,0.03,2.91,0.19,-14.85,8
-4.94,3.76,14.67,2.39,-2.43,0.82,0.92,0.23,0.08,2.42,1.91,-20.24,8
-4.31,5.76,17.1,3.37,-1.88,2.03,0.91,0.15,0.11,-1.25,7.71,-25.78,8
5.76,6.82,19.06,2.27,-2.62,3.76,0.79,0.1,0.14,-13.71,4.02,-28.54,8
-1.05,4.0,13.57,0.39,-2.0,6.0,1.12,0.28,0.1,-38.4,-6.99,-20.48,8
0.23,2.78,13.41,-2.43,0.15,8.08,1.54,0.44,0.21,-50.59,-10.76,-4.99,8
0.82,2.11,12.47,-4.23,2.47,9.57,1.4,0.6,0.34,-37.79,-32.28,15.66,8
0.9,0.86,6.39,-8.23,5.45,11.41,0.92,0.27,0.34,27.65,-49.31,28.24,8
4.23,0.47,2.51,-7.13,8.19,13.45,0.87,0.27,0.17,56.91,-12.24,11.07,8
3.6,0.74,0.23,-4.82,7.96,17.61,0.94,0.34,0.02,40.07,12.25,1.17,8
1.41,0.82,-2.15,-6.86,7.64,20.04,1.03,0.34,0.0,-4.4,14.55,-6.19,8
-2.0,0.19,-7.1,-8.04,5.72,20.04,0.86,0.24,0.12,-10.92,20.48,-9.46,8
-1.45,-4.19,-10.82,-11.25,4.15,20.04,0.72,0.24,0.15,-1.76,16.95,-5.75,8
2.86,-3.68,-5.09,-14.51,3.45,16.55,0.62,0.22,0.22,0.11,16.26,-4.46,8
3.21,-2.43,2.54,-10.47,5.25,12.67,0.8,0.23,0.22,7.98,15.43,-4.75,8
2.11,-1.64,5.41,-6.15,6.19,7.8,1.49,0.27,0.11,26.3,21.33,5.81,8
2.27,0.94,6.08,-4.07,4.31,5.96,1.51,0.29,0.15,45.73,21.47,24.27,8
4.39,1.13,10.59,-2.35,3.09,5.64,1.18,0.37,0.26,25.64,-2.51,54.97,8
3.45,2.43,17.1,-2.47,0.07,3.29,0.89,0.2,0.2,-16.97,-20.52,52.25,8
2.19,2.27,16.86,2.15,-4.74,-1.8,0.79,0.04,0.01,-37.27,-18.93,27.66,8
3.29,3.64,20.04,2.58,-5.8,-1.8,0.86,0.02,0.05,-6.82,5.76,-2.72,8
3.37,2.0,20.04,4.35,-4.23,0.39,0.85,0.13,0.0,14.59,11.47,-29.86,8
7.53,2.51,20.04,3.92,-3.45,0.07,0.95,0.16,0.1,20.87,3.21,-29.96,8
5.02,1.21,13.69,2.39,-2.9,1.6,0.92,0.16,0.09,11.62,6.67,-26.17,8
3.02,5.17,14.67,0.66,-1.21,5.13,0.77,0.14,0.1,0.99,10.18,-31.61,8
6.47,6.23,13.65,-1.84,0.9,11.06,0.73,0.12,0.15,-7.43,2.81,-36.46,8
2.74,3.49,11.45,-3.45,1.6,13.41,1.26,0.37,0.14,-28.39,-9.2,-27.18,8
3.17,2.51,8.59,-2.19,2.7,10.08,1.94,0.55,0.28,-40.71,-11.39,-13.33,8
3.33,2.35,3.76,-6.55,8.19,9.49,1.15,0.44,0.25,-18.62,-44.31,21.16,8
1.49,0.35,0.39,-5.64,7.76,17.57,0.82,0.23,0.34,34.72,-29.97,20.42,8
0.58,-1.84,-3.53,-7.25,8.51,20.04,0.69,0.31,0.15,38.81,0.24,14.27,8
-2.47,-2.39,-7.92,-13.96,8.94,20.04,0.98,0.32,0.06,20.36,15.62,1.97,8
-1.64,-2.78,-9.41,-10.51,6.7,20.04,1.05,0.29,0.03,0.02,23.27,-5.52,8
2.7,-1.17,-2.86,-12.19,6.66,19.88,0.88,0.28,0.08,-1.3,24.95,-4.16,8
4.47,-1.64,1.25,-11.76,6.19,16.2,0.76,0.29,0.11,-3.02,19.35,-5.85,8
3.21,-2.54,1.96,-8.39,5.76,11.37,0.72,0.29,0.11,-3.09,16.85,-6.6,8
2.51,0.98,5.33,-5.41,4.7,6.74,0.81,0.22,0.11,-11.79,15.1,-8.61,8
4.04,0.94,10.47,-3.09,3.96,3.13,1.36,0.27,0.05,-2.57,25.14,-1.57,8
4.11,1.92,17.02,0.74,1.09,0.39,1.54,0.29,0.25,36.23,25.03,19.25,8
3.33,1.92,20.04,4.66,-3.09,-3.09,1.13,0.36,0.22,19.94,-5.83,37.89,8
3.21,1.09,20.04,2.82,-6.55,-2.94,0.86,0.12,0.17,-13.73,-22.8,37.2,8
5.33,2.9,20.04,1.45,-3.56,-1.29,0.76,0.06,0.02,-29.11,-17.34,17.67,8
2.03,5.13,16.12,1.96,-2.74,-1.49,0.89,0.1,0.02,-4.43,-3.3,-7.85,8
-3.49,2.43,14.08,2.78,-1.68,0.5,0.91,0.23,0.0,14.38,4.23,-33.75,8
