d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
-1.68,-10.0,0.0,-4.11,9.06,2.07,0.85,0.8,0.18,213.42,58.65,-21.04,7
-1.92,-9.17,0.31,-4.11,8.27,1.6,0.87,0.8,0.15,202.79,45.6,-38.18,7
0.94,-8.11,0.9,-3.88,8.66,0.9,0.89,0.58,0.06,200.19,39.96,-30.14,7
0.03,-7.13,0.5,-5.21,8.98,0.07,0.87,0.62,0.1,205.87,34.65,7.3,7
0.35,-5.96,0.11,-7.06,10.86,0.62,0.89,0.63,0.14,196.13,24.29,21.4,7
-1.17,-4.94,0.58,-6.9,10.9,-1.05,0.91,0.61,0.2,178.29,20.89,21.28,7
-1.92,-4.78,0.86,-6.66,9.33,0.31,0.84,0.57,0.17,179.21,32.66,18.97,7
-1.45,-5.09,0.62,-6.39,9.57,0.15,0.8,0.52,0.18,189.35,32.43,22.76,7
0.19,-5.06,0.39,-6.35,9.8,0.07,0.86,0.5,0.2,188.0,23.65,23.92,7
0.35,-5.33,0.5,-5.76,10.15,0.07,0.95,0.47,0.17,189.51,11.52,22.84,7
2.03,-4.19,1.17,-5.21,10.55,0.27,0.97,0.43,0.15,194.48,8.12,32.21,7
1.76,-2.62,0.15,-4.86,10.63,0.5,0.87,0.37,0.13,195.02,15.68,44.57,7
1.37,0.7,-2.19,-4.27,10.19,0.66,0.75,0.31,0.13,185.88,23.04,54.03,7
2.11,1.56,-2.54,-3.96,9.64,0.39,0.66,0.27,0.18,172.39,26.22,59.74,7
1.13,2.54,-2.94,-3.8,9.72,0.54,0.72,0.27,0.27,160.11,25.3,74.45,7
1.33,3.64,-3.25,-3.53,10.27,1.13,0.83,0.31,0.29,157.47,27.73,90.32,7
1.56,4.15,-2.27,-3.13,11.45,1.13,0.97,0.18,0.16,174.89,15.59,119.49,7
0.86,5.37,0.07,-2.66,12.0,0.74,1.11,0.02,0.05,161.84,33.29,143.21,7
2.58,10.23,4.0,-3.25,12.43,0.86,1.1,0.11,0.48,164.25,73.27,149.46,7
3.29,20.04,9.41,-3.29,11.72,2.51,0.65,0.56,0.78,102.6,60.72,164.85,7
2.86,20.04,-2.27,0.27,11.17,6.31,0.73,0.81,0.27,61.14,58.67,144.48,7
3.17,20.04,9.25,6.04,9.64,5.21,0.73,0.94,0.36,-16.63,21.76,120.63,7
8.86,20.04,4.74,6.31,10.15,4.74,0.68,-1.15,0.36,-2.15,31.33,87.76,7
0.27,19.02,3.53,5.68,10.7,6.62,0.51,-1.25,0.46,-24.08,5.79,59.62,7
0.98,17.76,2.86,6.98,8.74,6.11,0.45,-1.28,0.39,-43.89,9.28,27.75,7
3.05,17.61,3.45,5.06,7.37,5.33,0.49,-1.14,0.21,-58.41,9.6,-6.95,7
0.31,14.86,2.43,3.09,6.11,4.98,0.49,-1.14,0.17,-55.73,21.63,-35.11,7
0.82,14.55,1.96,2.62,6.04,4.11,0.5,-1.07,0.21,-50.08,32.11,-55.06,7
2.0,14.16,0.54,2.39,6.9,2.35,0.54,0.98,0.19,-60.39,27.21,-67.55,7
3.05,14.47,0.15,2.23,7.68,1.8,0.54,0.93,0.22,-63.75,29.08,-80.01,7
3.02,13.69,-1.13,3.29,8.9,0.31,0.55,0.86,0.25,-69.92,30.08,-96.2,7
3.25,13.76,-1.33,1.64,10.23,1.05,0.6,0.76,0.23,-87.1,27.98,-108.98,7
2.51,13.45,-2.47,0.86,11.57,1.37,0.67,0.69,0.22,-95.48,26.21,-112.91,7
2.66,13.49,-4.55,-1.21,13.02,1.13,0.84,0.66,0.32,-101.15,26.75,-115.81,7
1.72,13.02,-3.72,-2.39,14.04,0.54,1.08,0.53,0.48,-118.71,19.48,-109.26,7
0.15,12.04,-4.86,-5.13,15.84,-1.52,1.21,0.09,0.51,-151.74,0.79,-95.72,7
0.47,9.68,-4.0,-4.86,16.74,0.94,1.11,0.12,0.15,-194.82,-12.3,-78.17,7
0.07,6.9,-2.82,-5.06,15.25,0.9,0.92,0.1,0.11,-212.82,-18.81,-61.91,7
1.6,5.37,-1.84,-8.04,14.94,-1.96,1.26,0.31,0.46,-227.2,-17.77,-48.7,7
3.05,6.31,-1.49,-7.49,15.61,-2.82,1.23,0.47,0.46,-227.2,-32.8,-32.2,7
2.82,8.43,0.31,-8.98,13.49,-2.35,1.02,0.26,0.4,-166.15,-25.05,-9.9,7
2.51,8.59,2.03,-13.14,10.7,0.86,0.84,0.13,0.3,-135.94,4.02,-11.38,7
9.1,13.53,8.55,-15.25,7.1,0.98,0.8,0.2,0.24,-139.47,29.02,-11.84,7
5.06,6.59,2.0,-15.14,5.33,0.07,0.72,0.17,0.28,-177.07,35.88,-12.36,7
7.8,3.8,-3.17,-14.9,4.74,0.74,0.73,0.16,0.18,-189.18,35.76,-13.82,7
7.17,3.72,-4.19,-17.14,4.15,0.7,0.75,0.18,0.16,-183.24,43.7,-10.04,7
3.56,4.58,-2.23,-16.0,3.88,1.17,0.8,0.29,0.11,-184.4,44.12,-20.67,7
3.92,5.96,-1.88,-15.21,3.92,3.13,0.93,0.39,0.19,-186.31,33.08,-33.02,7
6.0,8.27,-1.76,-12.08,3.8,3.25,1.09,0.46,0.23,-188.66,16.79,-48.33,7
8.15,8.98,0.74,-11.29,3.72,4.55,1.02,0.36,0.12,-176.21,2.37,-54.65,7
7.6,8.62,1.68,-10.78,2.74,3.8,0.86,0.28,0.04,-153.18,-14.31,-40.65,7
3.05,7.76,5.76,-7.96,3.02,2.19,0.92,0.32,0.03,-158.2,-19.88,-24.85,7
10.19,8.55,4.78,-3.13,1.37,2.35,1.09,0.37,0.07,-169.62,-21.94,-27.33,7
6.98,8.86,4.11,1.6,0.86,1.72,1.14,0.49,0.12,-187.03,-23.91,-35.06,7
7.64,8.9,0.62,3.88,-4.19,2.82,1.03,0.5,0.23,-180.79,-28.39,-28.92,7
6.82,9.64,0.5,5.33,-6.82,3.45,0.92,0.58,0.08,-190.73,-34.3,-14.88,7
5.49,8.82,-1.01,2.03,-8.47,3.49,1.22,0.57,0.05,-189.47,-42.21,-13.13,7
6.35,8.59,-1.49,0.58,-9.13,3.76,1.3,0.47,0.11,-175.78,-32.1,-24.14,7
6.94,8.31,-1.96,-1.64,-9.29,4.58,1.08,0.39,0.19,-155.66,-29.67,-7.21,7
