d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
-4.11,10.12,6.11,-3.56,9.96,0.54,0.96,0.38,0.47,21.49,-5.95,-11.85,4
-3.88,8.74,4.0,-2.94,7.64,0.03,0.78,0.24,0.35,28.59,7.6,-25.12,4
0.62,7.33,0.9,-2.54,5.25,0.03,0.6,0.3,0.19,15.63,7.83,-24.62,4
4.9,6.55,1.49,-2.15,4.19,0.35,0.51,0.2,0.15,4.33,-14.2,-16.85,4
2.11,6.19,0.03,-2.11,4.04,0.7,0.51,0.28,0.33,-11.28,-28.21,-8.65,4
0.23,6.66,0.35,-2.47,4.66,0.94,0.71,0.15,0.34,-9.84,-33.64,-7.36,4
-1.17,8.08,0.66,-2.47,6.47,1.09,1.0,0.08,0.21,26.02,-23.76,-9.94,4
-1.6,9.37,1.25,-2.07,8.39,0.74,0.99,0.27,0.14,36.34,-31.57,10.03,4
-3.29,10.94,5.21,-1.6,10.0,0.62,1.17,0.36,0.18,17.05,-40.2,11.2,4
-1.92,16.31,8.04,-1.52,15.57,0.98,1.56,0.28,0.12,7.97,-19.49,4.14,4
2.11,16.94,7.25,-1.68,18.31,0.15,1.17,0.55,0.19,-11.63,-3.42,-15.4,4
4.7,13.14,4.11,-2.47,15.92,0.54,1.19,0.36,0.38,-31.71,-16.13,-25.01,4
2.27,10.0,2.86,-5.06,13.18,2.62,1.0,0.31,0.37,-7.12,4.65,-28.57,4
1.92,7.53,1.49,-6.27,9.45,3.88,0.71,0.27,0.34,-10.1,3.05,-23.83,4
0.47,5.06,2.58,-4.82,6.9,2.47,0.6,0.19,0.31,-16.14,-5.77,-13.65,4
0.0,4.04,1.88,-3.21,5.6,1.49,0.53,0.14,0.31,-17.7,-2.68,-4.42,4
1.33,3.72,0.15,-1.96,5.21,2.66,0.42,0.08,0.35,-17.78,1.56,5.05,4
1.13,4.23,0.27,0.94,5.41,3.53,0.5,0.14,0.46,-28.31,-6.03,15.43,4
2.35,7.6,0.03,0.43,7.37,2.35,0.87,0.4,0.51,-29.45,-7.0,14.21,4
0.47,11.68,1.96,0.43,11.76,1.21,1.18,0.56,0.53,-26.21,2.48,0.11,4
4.94,15.45,14.23,-1.21,14.35,0.54,1.01,0.58,0.63,-33.55,-6.68,-12.44,4
2.15,12.0,12.59,-1.92,13.53,0.0,1.16,0.39,0.51,-10.62,-2.38,-36.59,4
0.9,9.02,1.45,-1.6,12.67,0.54,1.39,0.35,0.29,18.27,-6.16,-39.86,4
-1.33,13.02,0.23,-1.92,13.14,0.74,1.98,0.31,0.06,15.1,-37.83,-6.14,4
9.53,19.18,0.39,-2.31,16.47,1.52,1.92,0.21,0.34,45.55,-15.09,13.64,4
16.86,13.96,-4.27,-4.27,14.23,2.51,1.54,0.15,0.49,25.57,-2.8,23.66,4
5.57,12.82,-3.6,-5.06,12.82,3.72,1.33,0.07,0.54,-4.53,3.26,7.74,4
4.31,10.47,-3.02,-5.49,11.45,5.6,1.07,0.07,0.25,-33.95,-1.11,0.39,4
4.51,7.53,-2.43,-2.62,9.37,7.29,0.89,0.03,0.04,-30.68,2.79,4.12,4
3.76,5.49,-1.92,0.82,8.11,7.92,0.6,0.05,0.07,-3.63,7.36,8.87,4
2.39,4.58,0.62,2.07,6.55,6.47,0.46,0.05,0.04,12.23,1.24,13.05,4
-1.33,5.53,1.88,1.52,4.86,5.09,0.51,0.13,0.08,28.32,15.89,4.56,4
-2.19,6.27,4.19,0.78,6.04,5.37,0.51,0.0,0.12,-4.54,12.19,6.91,4
0.07,7.72,3.49,0.27,7.57,5.88,0.76,0.12,0.03,-20.21,-3.52,4.71,4
2.78,8.94,0.9,0.66,8.55,5.57,1.06,0.08,0.02,-20.57,-2.64,13.81,4
8.31,11.14,-1.88,0.86,9.92,4.47,1.4,0.17,0.17,-22.51,-11.78,21.49,4
3.21,14.35,0.98,0.03,10.98,3.53,1.45,0.23,0.16,3.88,-12.27,28.98,4
3.17,14.31,-2.35,0.7,13.37,3.84,1.4,0.18,0.07,41.58,0.95,22.01,4
3.64,12.82,0.35,-1.33,14.27,4.23,1.27,0.08,0.22,36.1,12.59,4.95,4
4.27,10.12,0.35,-2.15,11.49,5.09,1.08,0.0,0.22,18.44,21.74,-2.69,4
4.9,8.82,0.58,-1.37,9.92,5.96,0.9,0.0,0.07,7.3,15.84,-1.59,4
4.74,7.33,0.03,0.35,8.15,6.55,0.68,0.02,0.0,15.79,10.03,-5.72,4
3.45,5.72,0.0,-1.49,7.41,7.29,0.58,0.06,0.01,26.62,1.87,-13.38,4
2.23,5.33,0.11,0.74,5.13,5.25,0.53,0.08,0.04,32.74,0.82,-13.02,4
0.03,5.33,0.98,0.62,4.27,4.7,0.53,0.12,0.07,25.03,-8.33,0.77,4
1.64,8.47,3.21,-1.68,5.68,4.94,0.7,0.03,0.2,27.07,-7.36,-3.19,4
0.35,10.59,-3.64,-3.05,8.08,4.62,1.03,0.08,0.38,35.89,-7.46,-20.39,4
4.19,13.29,-4.47,-1.96,10.78,3.56,1.37,0.09,0.45,38.21,-4.07,-41.71,4
6.15,14.7,-4.27,-2.47,12.35,3.84,1.64,0.23,0.26,34.74,20.46,-31.91,4
5.29,12.9,-4.55,-2.58,12.86,4.7,1.64,0.25,0.11,13.98,34.31,-13.96,4
5.02,11.8,-3.45,-2.47,12.74,3.37,1.58,0.24,0.14,7.52,25.14,25.51,4
2.31,14.35,0.39,-3.8,15.49,1.92,1.59,0.44,0.4,17.81,24.89,31.6,4
-2.27,15.21,13.69,-3.88,17.73,1.13,1.37,0.5,0.74,-29.81,-8.42,19.74,4
0.66,12.9,9.8,-3.17,15.1,0.86,1.32,0.33,0.63,13.03,-34.61,22.16,4
1.92,13.61,7.41,-2.66,14.43,-1.45,1.14,0.44,0.62,29.95,-11.03,0.04,4
-1.64,10.78,4.19,-2.39,11.72,-1.25,0.94,0.36,0.44,7.77,-3.79,-15.72,4
0.31,8.66,4.58,-2.51,8.35,0.23,0.73,0.33,0.37,-11.29,-2.08,-25.11,4
-3.21,5.45,0.03,-2.74,6.47,0.31,0.56,0.22,0.3,-16.11,-6.8,-17.59,4
-2.86,4.62,0.86,-2.47,5.68,0.43,0.44,0.16,0.34,-11.47,-7.41,-6.95,4
-2.51,4.82,0.31,-2.78,5.6,0.78,0.45,0.12,0.38,-14.78,-10.52,-3.79,4
-1.72,6.51,0.62,-2.31,5.88,0.62,0.69,0.06,0.29,2.62,0.02,-4.32,4
0.54,7.17,0.03,-1.25,7.13,0.23,0.85,0.17,0.23,11.68,0.17,9.6,4
0.27,8.39,-1.09,0.66,8.43,0.19,1.08,0.29,0.21,6.61,-22.27,19.84,4
