d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
13.14,14.51,5.49,5.17,10.78,13.41,1.01,0.17,0.35,-14.18,-22.07,23.27,9
19.18,16.23,16.04,3.17,15.06,16.98,0.89,0.29,0.07,-43.37,-13.07,34.43,9
20.04,11.33,18.39,1.6,15.33,19.88,0.67,0.21,0.0,-49.83,5.82,64.17,9
20.04,5.57,19.45,0.62,12.63,20.04,0.63,0.02,0.04,-48.23,12.84,53.16,9
15.33,1.33,19.96,2.35,10.31,20.04,0.91,0.04,0.01,-16.47,23.24,28.24,9
13.37,0.5,19.8,3.56,7.96,20.04,1.14,0.05,0.05,19.2,36.29,-1.84,9
12.16,1.25,19.57,4.07,7.02,20.04,1.17,0.05,0.02,13.27,15.78,-24.64,9
13.69,2.98,16.63,1.05,7.41,20.04,1.18,0.14,0.04,24.13,-1.11,16.67,9
15.06,3.8,13.25,0.39,7.72,19.22,1.01,0.14,0.01,36.07,12.56,20.92,9
16.55,4.7,9.41,0.19,8.15,17.69,0.89,0.06,0.08,57.92,18.47,-4.19,9
15.53,5.09,6.78,-1.33,7.68,14.86,0.81,0.0,0.19,92.04,41.82,-30.44,9
14.35,5.76,4.78,-2.03,6.86,11.45,0.83,0.15,0.3,88.1,46.28,-44.79,9
12.7,5.84,1.56,-2.23,4.7,5.29,0.87,0.25,0.42,26.16,0.63,-31.12,9
9.96,5.45,-2.39,-2.86,1.96,0.82,0.99,0.15,0.32,23.13,0.82,-17.02,9
8.66,4.7,-5.8,-1.45,0.19,0.23,1.02,0.18,0.23,26.71,14.87,-15.12,9
5.88,3.41,-7.29,0.66,0.03,0.66,0.88,0.09,0.27,32.16,14.17,-25.5,9
4.07,3.02,-8.31,0.23,0.35,-2.62,0.95,0.08,0.32,33.93,10.88,-27.36,9
1.05,3.05,-7.6,0.58,0.0,-4.35,1.04,0.21,0.34,12.33,15.19,5.73,9
-1.45,3.84,-3.17,0.39,0.31,-4.47,1.12,0.25,0.3,-7.89,21.04,26.8,9
-5.96,4.55,1.56,-1.37,0.27,-6.08,1.55,0.48,0.09,-32.14,3.27,24.61,9
-9.37,7.41,11.76,-3.02,6.31,-3.05,1.18,0.22,0.13,-25.34,-8.77,35.65,9
-8.86,13.06,16.86,-12.35,17.33,5.25,0.81,0.24,0.02,2.97,-19.92,34.24,9
1.21,15.18,20.04,-18.51,18.82,20.04,0.97,0.22,0.06,-12.24,-19.94,20.48,9
1.01,9.61,20.04,-19.61,13.88,20.04,1.05,0.4,0.01,-18.66,-29.2,7.97,9
1.84,5.33,20.04,-11.88,4.82,20.04,1.06,0.4,0.21,-39.76,-20.94,10.56,9
2.31,1.6,20.04,-7.6,2.03,20.04,0.83,0.26,0.21,-58.63,-9.53,-4.12,9
