d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
13.33,19.49,-8.08,-8.39,1.09,-9.33,1.34,0.53,0.03,61.89,45.04,42.03,5
10.59,15.57,-4.66,-4.9,-1.41,-10.12,1.32,0.61,0.08,106.31,5.53,57.39,5
7.72,14.98,0.15,0.47,0.23,-3.8,1.18,0.53,0.19,107.17,1.62,42.6,5
-4.35,9.45,4.35,2.43,4.11,-20.08,0.94,0.37,0.05,97.32,11.78,8.33,5
-20.08,-9.76,17.92,-20.08,13.69,-19.06,0.45,0.54,0.04,102.1,-7.56,16.54,5
0.94,-3.64,-6.27,1.52,6.47,7.21,0.53,0.22,0.19,94.94,5.94,18.61,5
-3.8,4.19,0.23,-9.57,4.55,8.98,0.81,0.29,0.11,90.93,27.06,-26.07,5
3.45,-2.66,4.58,-1.45,3.45,5.49,1.13,0.35,0.32,112.6,39.5,-52.84,5
5.29,-5.09,1.25,-6.94,5.25,4.78,1.13,0.54,0.38,105.34,49.82,-21.6,5
2.82,-5.49,0.98,-9.57,5.49,1.8,0.81,0.56,0.22,115.68,26.05,28.72,5
6.31,-4.15,-2.27,-7.6,9.02,-1.29,1.01,0.35,0.35,138.13,5.51,36.96,5
3.49,-2.58,-2.19,-10.08,11.92,-1.96,1.03,0.37,0.5,170.82,20.4,8.86,5
2.58,0.9,0.43,-13.49,13.72,-3.21,1.22,0.59,0.45,224.78,50.73,7.58,5
5.92,6.0,2.54,-14.7,17.65,-2.82,1.14,0.61,0.1,252.42,76.75,10.01,5
10.74,10.59,2.51,-9.33,19.61,-5.45,0.91,0.55,0.05,252.42,71.6,13.07,5
7.49,15.84,-2.94,-7.68,20.04,-4.51,0.83,0.4,0.24,252.42,55.11,15.93,5
3.96,20.04,-1.52,-14.39,20.04,-7.33,0.88,0.31,0.25,233.62,36.76,24.82,5
14.23,20.04,6.94,-15.21,17.14,-4.7,0.92,0.38,0.05,205.95,8.37,18.92,5
13.14,17.45,2.27,-10.23,12.51,-5.72,0.82,0.39,0.02,230.68,14.53,-17.95,5
0.78,16.78,10.63,-6.7,13.02,-5.72,0.73,0.3,0.09,251.62,44.4,-29.4,5
20.04,11.92,8.11,-7.6,12.16,-8.74,0.86,0.4,0.02,252.42,66.22,-36.2,5
12.9,10.19,-5.84,-8.35,11.76,-8.66,0.97,0.5,0.03,252.42,75.87,-55.13,5
8.66,14.39,-7.06,-9.61,10.82,-7.8,0.9,0.59,0.05,252.42,73.22,-40.18,5
4.11,9.41,-11.41,-6.9,10.08,-4.9,0.79,0.54,0.05,252.42,85.63,-36.68,5
