d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
-3.96,-4.86,-12.82,0.94,-3.8,-12.78,0.57,0.29,0.23,-35.95,-9.47,6.89,1
-6.9,-5.57,-13.45,3.68,0.27,-11.68,0.62,0.19,0.36,15.66,8.58,-4.29,1
-6.19,-7.72,-11.65,5.53,-1.88,-10.86,0.88,0.31,0.16,32.68,35.84,-14.65,1
-5.64,-7.57,-11.92,8.74,-1.84,-8.43,0.91,0.36,0.0,32.52,42.85,-20.36,1
-2.0,-7.02,-10.31,8.19,-2.19,-8.0,0.85,0.44,0.1,23.36,15.79,0.41,1
2.19,-4.86,-7.13,6.55,-1.76,-7.21,0.9,0.49,0.08,15.18,-17.7,23.07,1
12.9,-3.25,4.11,0.03,-1.88,-4.66,0.96,0.33,0.09,13.99,-34.31,21.8,1
20.04,-6.15,14.08,-20.08,-6.55,6.19,1.57,0.4,0.02,-8.71,-30.52,51.56,1
20.04,1.76,16.82,-20.08,-9.25,5.92,1.82,0.22,0.53,78.2,5.85,-13.81,1
20.04,-1.52,20.04,-20.08,-13.25,11.14,1.24,0.56,0.51,67.59,17.46,-14.26,1
14.12,-5.96,12.78,-16.55,-12.43,6.59,1.13,0.36,0.21,-25.14,3.28,-7.8,1
13.33,-6.78,0.23,-10.19,-11.37,0.62,0.85,0.23,0.03,-87.69,-10.99,-4.29,1
10.23,-6.86,-8.98,1.6,-8.47,-7.06,0.81,0.15,0.3,-79.58,-17.91,3.34,1
0.23,-5.64,-18.71,10.51,-5.72,-14.63,0.65,0.2,0.28,-12.38,-21.97,-2.85,1
-5.41,-4.98,-20.0,14.47,-1.05,-16.59,0.63,0.3,0.28,44.33,-5.02,5.87,1
-4.94,-4.31,-16.0,8.51,2.39,-15.18,0.81,0.37,0.04,30.56,14.3,-2.76,1
-4.35,-2.27,-11.06,1.17,3.13,-10.74,0.79,0.38,0.09,2.71,4.37,0.62,1
0.31,0.35,-3.56,-6.51,4.39,0.0,0.93,0.41,0.0,-3.71,-16.79,19.95,1
5.02,0.35,11.49,-20.08,0.11,8.04,1.0,0.37,0.02,11.07,-15.82,25.22,1
17.41,0.5,16.04,-20.08,-2.82,15.72,0.83,0.28,0.02,5.21,-21.0,20.62,1
20.04,0.07,17.41,-20.08,-5.64,17.69,0.77,0.16,0.03,-1.85,-28.97,14.88,1
20.04,-6.39,20.04,-15.72,-7.6,10.35,1.03,0.36,0.06,7.36,-9.99,-13.97,1
11.72,-8.0,9.88,-13.29,-8.55,2.98,1.18,0.37,0.1,-2.3,8.78,-40.18,1
10.98,-7.53,-2.07,-8.08,-6.08,-5.6,1.84,0.29,0.05,8.23,31.74,-23.87,1
7.37,-5.06,-5.92,0.78,-4.23,-15.76,1.56,0.63,0.19,17.46,59.79,-30.69,1
1.45,-3.37,-9.49,5.25,-4.15,-16.59,0.91,0.35,0.06,-51.44,-21.61,27.3,1
-4.55,-5.09,-14.63,9.21,-4.43,-15.06,0.81,0.1,0.19,-35.68,-26.37,29.63,1
-8.82,-6.35,-16.04,11.57,-4.55,-13.45,0.54,0.2,0.27,4.49,-18.92,8.25,1
-11.57,-6.94,-16.43,9.33,-3.33,-11.21,0.49,0.2,0.16,4.1,-2.26,-12.18,1
-9.02,-4.94,-12.94,5.68,-1.25,-9.72,0.69,0.29,0.1,7.56,18.52,-21.28,1
-3.13,-1.52,-9.57,2.23,1.09,-8.7,0.92,0.3,0.08,13.96,20.94,-5.54,1
1.8,1.41,-5.64,-4.15,2.86,-5.57,0.91,0.39,0.03,16.52,-1.31,9.13,1
14.55,2.43,4.43,-18.98,1.01,7.33,0.9,0.36,0.0,8.64,-32.63,22.06,1
20.04,0.62,12.86,-20.08,-6.55,14.0,0.95,0.32,0.0,3.87,-32.14,22.98,1
20.04,1.25,14.78,-20.08,-4.27,15.21,1.02,0.29,0.03,7.46,-6.0,-5.57,1
19.1,-5.17,20.04,-20.08,-5.84,15.41,1.75,0.49,0.11,7.26,-4.96,-15.39,1
13.96,-6.31,8.98,-12.23,-6.0,4.07,1.93,0.48,0.25,45.03,60.39,-26.71,1
12.12,-4.55,0.58,-13.14,-5.57,-3.96,0.9,0.57,0.22,-38.91,20.56,-3.05,1
8.31,-3.25,-6.04,-5.68,-4.35,-10.66,0.92,0.3,0.05,-90.34,-16.99,13.19,1
-1.52,-2.98,-11.33,3.13,-4.51,-15.33,0.68,0.22,0.26,-63.69,-20.39,11.2,1
-5.33,-6.19,-15.69,7.53,-3.76,-17.29,0.48,0.11,0.32,-19.52,-13.18,0.71,1
-6.86,-6.27,-14.08,8.74,-1.37,-14.16,0.45,0.13,0.32,28.07,1.88,-5.46,1
-9.84,-6.19,-15.45,9.1,0.94,-10.51,0.75,0.18,0.19,51.12,33.98,-13.99,1
-7.76,-3.92,-12.86,7.29,0.35,-7.92,0.83,0.32,0.02,35.39,31.6,-14.69,1
-3.56,-1.05,-9.84,4.51,1.84,-6.08,0.73,0.37,0.07,11.78,1.17,1.97,1
4.15,1.8,-4.11,3.49,4.23,-3.68,0.79,0.4,0.0,-5.28,-26.18,25.92,1
19.61,0.58,6.82,-14.98,3.56,3.09,1.22,0.21,0.09,10.09,-39.72,33.8,1
20.04,-3.33,10.39,-20.08,-5.37,8.15,1.81,0.26,0.0,20.92,-13.48,12.24,1
20.04,-2.58,19.65,-20.08,-6.55,9.1,1.72,0.48,0.29,56.6,26.26,10.34,1
20.04,-3.21,17.02,-20.08,-8.31,8.86,1.19,0.5,0.25,-5.31,-1.06,21.75,1
15.76,-4.11,6.66,-19.57,-7.57,1.64,1.06,0.3,0.03,-68.96,-5.75,20.56,1
11.14,-4.35,-1.84,-14.35,-6.62,-5.25,0.88,0.27,0.15,-71.57,9.65,2.57,1
7.06,-3.6,-7.1,-7.88,-4.55,-6.82,0.7,0.26,0.17,-31.22,22.61,-21.94,1
0.62,-2.82,-8.98,-4.7,-1.96,-9.13,0.65,0.18,0.16,1.41,34.71,-29.49,1
-5.06,-4.47,-11.8,1.29,0.43,-11.29,0.77,0.27,0.11,16.19,34.61,-14.22,1
-7.21,-5.41,-11.14,7.25,0.66,-11.96,0.73,0.25,0.02,-1.18,9.5,-1.41,1
-12.47,-6.7,-11.8,8.15,-1.45,-11.72,0.72,0.17,0.06,-4.05,-5.02,10.69,1
-12.7,-6.47,-11.49,10.39,-1.84,-9.8,0.8,0.25,0.07,1.49,-5.75,12.69,1
-8.23,-4.62,-10.82,8.66,-1.64,-8.59,0.79,0.33,0.01,4.46,-13.2,11.49,1
-1.29,-1.41,-10.23,8.94,0.27,-8.39,0.8,0.29,0.06,10.09,-13.53,2.59,1
11.88,0.9,-2.47,0.9,3.92,-7.68,0.99,0.25,0.09,32.95,-9.31,-3.69,1
20.04,-3.96,7.84,-20.08,0.58,0.78,1.79,0.1,0.05,36.49,-11.15,7.02,1
20.04,-4.62,10.15,-20.08,-5.02,0.31,1.99,0.59,0.64,79.98,33.37,-10.2,1
20.04,-6.7,15.06,-20.08,-6.43,2.19,1.12,0.4,0.5,-6.15,-9.59,18.88,1
14.94,-7.21,9.06,-20.08,-7.53,0.19,0.82,0.17,0.19,-45.09,2.66,-18.11,1
11.45,-5.84,0.74,-15.84,-5.06,-3.8,0.58,0.15,0.08,-71.04,11.66,-30.17,1
8.78,-1.8,-6.51,-2.82,-2.74,-9.06,0.62,0.07,0.01,-53.06,12.04,-49.33,1
