d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
9.96,2.51,-1.64,-1.01,9.96,3.21,0.95,0.43,0.01,-3.1,11.6,-9.56,11
10.0,2.66,-1.88,-1.41,9.49,2.9,0.93,0.47,0.05,2.97,13.24,-4.52,11
9.53,2.86,-2.07,-1.49,9.92,2.86,0.91,0.46,0.07,7.0,11.44,0.63,11
9.61,2.47,-1.8,-1.56,9.8,2.78,0.93,0.45,0.08,7.43,9.43,2.35,11
9.37,2.39,-1.88,-1.88,9.76,3.09,0.95,0.44,0.06,10.88,9.58,6.67,11
9.33,2.54,-1.52,-1.68,9.72,2.54,0.93,0.41,0.05,15.71,8.33,12.63,11
9.8,2.54,-1.49,-2.43,9.84,2.82,0.92,0.45,0.09,16.39,6.92,15.69,11
9.37,2.7,-2.0,-2.27,9.76,2.86,0.94,0.44,0.09,18.26,5.79,19.38,11
9.64,2.98,-2.03,-1.96,9.72,2.74,0.97,0.44,0.08,20.55,6.61,21.82,11
9.49,3.09,-2.11,-2.43,9.8,2.86,0.96,0.43,0.08,21.84,5.79,27.07,11
9.76,2.94,-2.43,-2.03,10.04,2.94,0.97,0.41,0.09,24.98,3.51,33.77,11
9.8,3.29,-2.78,-1.8,9.96,2.82,0.98,0.4,0.09,25.11,0.7,42.57,11
8.11,2.78,-2.66,-1.68,9.88,2.54,1.01,0.36,0.09,24.78,-4.79,52.38,11
8.66,3.09,-3.09,-1.45,9.92,2.07,1.03,0.31,0.07,26.17,-13.2,63.31,11
8.98,3.13,-3.56,-1.29,9.84,2.07,1.08,0.28,0.04,26.17,-21.89,78.35,11
7.92,3.29,-3.64,-1.05,9.88,1.56,1.04,0.24,0.04,21.97,-34.58,93.82,11
7.53,3.25,-4.07,0.19,9.29,1.64,0.92,0.22,0.03,13.59,-48.67,99.45,11
8.39,3.68,-4.07,0.03,9.41,1.29,0.93,0.09,0.02,12.84,-54.97,103.65,11
9.96,4.19,-3.92,0.58,10.23,2.07,1.01,0.04,0.13,13.32,-57.78,104.47,11
9.06,3.88,-3.72,-1.49,10.04,1.37,0.99,0.05,0.13,15.93,-53.65,91.88,11
9.41,3.8,-4.66,-1.09,10.7,1.13,0.93,0.04,0.1,17.97,-52.85,86.62,11
9.45,3.96,-5.49,-1.96,10.35,1.64,1.09,0.16,0.19,18.99,-48.88,88.16,11
8.19,3.29,-5.84,-1.92,10.27,2.43,0.95,0.17,0.19,18.12,-38.18,73.61,11
10.82,3.33,-5.76,-1.37,10.15,3.33,0.96,0.28,0.23,22.08,-38.88,73.93,11
9.41,3.05,-6.78,-2.43,9.57,2.43,0.99,0.27,0.24,27.59,-19.13,58.56,11
7.96,2.82,-6.19,-1.6,10.0,1.6,0.86,0.31,0.21,19.59,-16.25,48.67,11
8.23,3.53,-6.39,-1.72,9.57,2.35,0.91,0.42,0.23,14.59,-14.46,35.58,11
7.37,3.37,-6.23,-1.41,9.06,1.49,0.89,0.43,0.23,4.07,-7.34,20.01,11
