d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
2.62,-6.94,7.72,0.11,-3.88,14.74,0.99,0.46,0.24,-27.04,-7.66,-19.37,3
5.21,-4.66,6.31,-13.53,-4.27,15.65,0.96,0.32,0.19,-34.21,-2.85,-30.28,3
1.45,0.54,4.66,-11.92,-4.15,12.08,0.98,0.28,0.08,-15.71,2.21,-16.26,3
3.76,1.49,2.03,-8.55,-2.54,12.9,0.83,0.34,0.0,12.55,6.09,-12.17,3
2.98,2.43,0.15,-7.06,-1.8,13.65,0.67,0.36,0.04,9.9,5.79,-7.65,3
0.23,1.41,-1.52,-7.53,-1.56,13.88,0.59,0.31,0.01,-4.81,1.21,-1.5,3
2.15,0.31,-2.19,-7.37,-2.98,12.31,0.57,0.37,0.05,-6.25,-3.84,2.59,3
4.58,-3.88,-2.27,-7.6,-4.7,8.39,0.76,0.6,0.05,-24.39,-13.13,4.49,3
4.11,-8.51,0.9,-4.55,-7.76,5.53,1.26,0.49,0.0,-45.29,-29.1,2.5,3
5.49,-10.43,1.76,-7.88,-7.37,0.11,1.54,0.64,0.07,-67.92,-32.36,2.73,3
9.21,-10.66,4.78,-8.31,-6.9,0.19,1.13,0.59,0.26,-23.88,-5.33,-1.27,3
8.47,-6.51,10.59,-4.86,-5.06,1.8,0.91,0.44,0.15,20.55,21.99,4.16,3
9.49,-5.02,10.04,-3.33,-3.45,0.58,0.89,0.32,0.01,30.91,26.76,4.75,3
5.96,-3.53,10.35,-2.51,-2.15,-1.64,0.96,0.3,0.1,23.47,14.89,-2.43,3
4.62,-3.92,10.9,-1.17,0.62,0.74,0.82,0.34,0.04,28.79,17.27,-6.76,3
2.98,-5.06,9.53,-1.29,-1.09,0.7,0.71,0.26,0.0,44.18,17.93,-1.99,3
0.78,-5.45,12.12,0.11,0.9,7.25,0.73,0.28,0.05,34.22,17.78,9.68,3
-4.74,-6.31,13.41,-3.05,0.47,13.18,0.7,0.39,0.2,14.82,0.51,16.45,3
7.45,-3.6,10.74,-5.68,0.66,14.9,0.81,0.43,0.28,11.52,-24.31,20.02,3
6.55,0.58,7.29,-13.33,-2.86,15.92,1.09,0.54,0.33,-6.67,-31.15,25.56,3
6.9,0.15,5.72,-14.67,-2.74,16.78,1.28,0.46,0.21,-3.15,-18.81,5.66,3
3.02,0.47,2.54,-9.68,-2.47,17.92,1.15,0.4,0.08,-14.0,-5.12,-13.67,3
2.23,-1.01,0.23,-10.7,-3.84,16.12,0.88,0.41,0.03,7.63,7.44,-10.81,3
1.21,-1.56,-3.92,-8.15,-5.29,14.04,0.93,0.34,0.09,11.45,5.47,-3.23,3
2.51,-4.19,-6.23,-6.86,-5.41,10.7,0.91,0.39,0.01,15.31,13.28,0.9,3
3.33,-7.06,-5.45,-5.76,-5.6,7.17,0.8,0.37,0.12,-9.82,7.88,0.2,3
4.04,-8.66,-3.09,0.98,-5.41,4.23,0.74,0.29,0.18,-32.66,0.78,-5.35,3
4.27,-6.04,5.29,-2.19,-4.98,-2.58,0.71,0.29,0.17,-58.75,-7.23,-3.4,3
7.29,-3.49,4.27,-1.6,-2.27,-4.58,0.76,0.35,0.16,-59.74,-11.4,1.8,3
9.8,-3.64,11.68,-4.11,0.11,-5.45,1.02,0.44,0.09,-48.71,-18.17,2.16,3
9.1,0.23,14.55,-1.96,2.19,4.94,1.31,0.55,0.0,-27.35,-19.32,-7.23,3
8.74,-3.76,14.0,-5.96,0.43,4.27,1.27,0.55,0.01,9.46,8.83,-7.47,3
9.33,-4.74,16.08,-4.82,-4.19,2.62,1.06,0.36,0.04,36.27,26.47,-11.77,3
11.41,-5.17,15.21,-10.15,-3.53,0.82,0.93,0.33,0.03,49.2,30.47,-4.33,3
14.74,-5.09,16.71,-12.51,-4.47,7.02,0.76,0.39,0.01,52.33,16.75,-4.49,3
13.37,-8.55,5.45,-10.31,-6.19,10.31,0.77,0.28,0.05,47.7,4.94,-6.98,3
3.33,-4.51,2.39,-4.04,0.9,20.04,0.8,0.3,0.02,43.94,9.98,-3.98,3
3.25,2.0,2.62,-9.96,0.86,15.29,0.72,0.4,0.14,31.15,13.95,8.66,3
5.84,6.7,4.47,-8.86,2.31,12.7,0.64,0.39,0.28,29.01,-5.33,16.37,3
1.25,4.82,2.51,-9.64,1.76,15.84,0.79,0.4,0.19,8.77,-23.32,16.98,3
1.49,3.13,1.17,-11.61,0.31,14.98,1.07,0.54,0.16,-16.85,-22.81,7.92,3
1.8,0.11,-3.45,-8.31,-2.82,13.06,1.25,0.58,0.18,-31.95,-12.62,-6.85,3
-1.68,-7.88,-8.62,-8.62,-6.23,11.57,1.21,0.54,0.15,-26.81,-2.43,-13.2,3
1.88,-12.82,-8.94,-6.0,-8.19,7.6,1.14,0.51,0.07,-25.72,5.66,-13.55,3
6.98,-15.37,-9.92,-5.06,-7.84,5.6,1.05,0.32,0.13,-17.32,9.63,-10.88,3
9.72,-12.78,-1.13,-2.58,-7.84,4.98,0.93,0.34,0.17,-1.99,18.63,0.72,3
10.66,4.39,12.04,2.27,-6.04,1.92,0.8,0.31,0.17,0.02,21.78,1.88,3
12.19,-3.49,8.23,-4.11,0.78,-3.29,0.68,0.25,0.14,-8.57,13.77,-1.43,3
7.17,-3.56,10.63,-4.86,-1.64,-10.23,0.62,0.19,0.1,-23.24,1.47,-6.75,3
9.13,0.03,13.21,-3.53,0.23,4.07,0.58,0.25,0.11,-33.37,-8.52,-7.67,3
5.02,-3.33,12.51,-4.82,0.78,6.0,0.77,0.41,0.09,-29.4,-13.92,8.48,3
6.43,-6.27,11.76,3.8,-3.96,4.23,1.03,0.4,0.01,-17.92,-9.07,9.38,3
5.45,-6.15,14.35,1.09,-3.8,6.23,1.2,0.57,0.01,-23.92,-9.07,4.66,3
11.49,-6.62,13.84,-7.25,-4.51,11.61,1.42,0.57,0.03,32.3,-5.56,-5.82,3
