d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
-5.29,-16.86,-9.06,-4.0,16.74,0.66,1.07,0.81,0.02,175.04,95.49,0.04,10
1.96,-14.86,-3.45,-4.35,13.14,0.98,0.99,0.58,0.06,169.89,96.14,11.18,10
12.31,-15.57,2.0,-4.15,10.98,1.41,0.91,0.58,0.01,163.52,84.36,18.59,10
9.57,-19.88,-1.05,-2.54,12.23,0.9,0.8,0.76,0.03,159.08,73.49,16.89,10
-2.82,-9.49,-6.04,-2.07,12.08,0.78,0.75,0.66,0.02,148.44,74.49,10.59,10
-8.27,-8.74,3.72,-1.17,9.64,0.47,0.64,0.65,0.23,133.94,73.07,-5.26,10
-3.25,-7.64,-1.21,0.7,7.13,0.54,0.56,0.52,0.49,115.93,74.26,-6.09,10
4.23,-3.41,-1.41,-2.03,6.47,0.19,0.51,0.13,0.5,149.96,76.78,17.31,10
-10.15,-3.92,0.07,-3.88,6.62,0.62,0.58,0.32,0.18,136.34,58.88,50.37,10
-8.27,-4.94,-1.6,-4.94,6.66,0.58,0.75,0.24,0.04,117.02,43.09,28.72,10
-4.86,-3.6,-1.17,-4.47,7.45,0.47,0.75,0.3,0.12,95.09,50.88,5.05,10
-7.02,-3.72,-1.52,-3.13,8.78,0.11,0.85,0.44,0.05,89.52,50.22,-2.78,10
-7.68,-5.92,-2.9,-1.49,9.8,0.27,0.98,0.66,0.02,83.21,38.01,24.48,10
-5.33,-8.47,-6.62,-1.09,10.0,0.82,0.96,0.62,0.12,98.97,18.16,42.01,10
0.82,-11.02,-9.13,-1.88,10.47,1.05,0.84,0.69,0.12,87.87,7.08,56.43,10
-1.96,-12.86,-6.15,-2.82,13.18,0.74,1.09,0.59,0.09,98.29,22.47,33.99,10
2.9,-14.0,-4.94,-2.47,15.61,0.62,1.14,0.85,0.14,102.44,49.04,11.96,10
5.25,-20.08,-6.08,-1.52,16.78,0.5,1.21,0.88,0.13,107.89,56.44,1.6,10
5.45,-19.84,0.54,-1.49,13.69,2.03,1.23,0.55,0.14,104.03,50.46,1.08,10
-10.94,-16.12,2.39,-2.11,10.59,2.0,0.99,0.6,0.1,100.3,41.98,-14.31,10
-4.35,-10.04,4.47,-3.13,9.37,1.6,0.81,0.57,0.14,99.45,29.59,-26.79,10
4.9,-6.98,1.96,-2.74,10.0,1.21,1.04,0.58,0.21,134.23,30.51,-16.03,10
6.43,-6.43,5.84,-2.78,10.63,1.41,1.02,0.47,0.13,173.61,73.63,-7.78,10
2.94,-6.43,8.0,-1.33,8.98,2.15,0.72,0.37,0.0,180.94,106.69,-13.42,10
0.23,-2.78,4.9,-1.05,5.64,2.43,0.45,0.34,0.14,165.91,108.83,8.06,10
-6.23,-1.96,3.56,-1.72,4.78,2.35,0.3,0.31,0.25,153.59,83.73,32.25,10
-7.17,-2.15,2.78,-2.23,5.88,1.88,0.47,0.21,0.23,133.13,54.28,31.82,10
-4.23,-1.6,1.52,-2.58,6.0,1.84,0.72,0.13,0.1,104.22,37.66,7.3,10
-5.25,-3.02,0.7,-1.88,6.78,1.8,0.8,0.26,0.1,62.56,8.12,14.58,10
-5.76,-5.92,-4.0,-1.64,8.74,2.0,0.91,0.45,0.05,17.42,-25.49,10.68,10
-5.68,-8.23,-7.49,-1.52,10.82,1.96,1.12,0.39,0.31,-6.2,-44.55,0.96,10
-6.39,-10.94,-12.86,-2.23,12.74,0.7,1.18,0.61,0.27,8.59,-21.17,15.95,10
-3.02,-14.47,-12.78,-2.23,14.7,0.19,1.12,0.8,0.25,48.23,10.03,33.18,10
3.68,-15.25,-6.11,-1.96,16.39,0.03,1.23,0.77,0.35,91.42,52.31,10.98,10
7.64,-14.94,0.47,-1.45,16.47,0.0,1.24,0.65,0.41,102.05,75.47,-22.73,10
15.1,-17.02,3.37,-1.21,13.76,0.27,1.23,0.73,0.33,101.75,55.9,-8.01,10
10.12,-15.96,-2.31,-1.29,11.02,0.35,1.02,0.64,0.21,96.96,48.64,-16.63,10
7.1,-6.86,4.66,-1.64,10.04,0.11,0.76,0.62,0.19,104.29,42.49,-23.37,10
2.15,-9.72,15.45,0.94,10.59,0.9,0.97,0.49,0.19,128.88,38.34,-11.69,10
-5.17,-8.15,8.66,-1.01,10.51,-1.13,1.23,0.31,0.18,178.14,68.82,-7.0,10
6.59,-4.23,6.39,-1.01,7.41,0.31,0.77,0.31,0.09,190.72,100.53,-20.74,10
5.53,-3.49,7.88,-1.13,5.84,0.03,0.43,0.32,0.06,168.46,96.91,-9.42,10
-2.62,-2.15,5.45,-1.76,5.68,0.03,0.4,0.36,0.14,157.07,82.73,0.65,10
-3.96,-1.6,3.49,-1.92,6.04,0.23,0.55,0.23,0.13,148.39,76.92,-4.24,10
-5.49,-1.01,2.23,-1.92,6.15,0.0,0.68,0.3,0.06,134.55,71.98,-11.53,10
-5.8,-2.9,-1.01,-2.27,6.15,0.58,0.8,0.28,0.0,111.35,49.13,8.32,10
-5.02,-3.96,-2.47,-2.43,6.51,0.94,0.8,0.31,0.05,89.13,24.7,14.72,10
-5.88,-6.59,-5.53,-2.07,7.02,0.62,0.71,0.38,0.14,64.13,7.6,14.72,10
-6.39,-9.72,-9.61,-1.76,9.41,0.0,1.0,0.62,0.19,56.39,-10.29,33.59,10
-4.94,-14.16,-11.29,0.82,13.14,0.58,1.33,0.63,0.23,97.27,8.17,32.93,10
-6.62,-15.21,-9.06,-4.58,18.04,0.39,1.36,0.81,0.37,120.6,52.02,5.5,10
-2.94,-15.88,-7.49,-1.45,19.73,0.47,1.39,0.72,0.26,128.55,77.81,-21.19,10
4.94,-18.59,-9.25,-1.33,16.43,0.39,1.29,0.62,0.21,151.56,85.74,-17.81,10
8.04,-16.27,0.03,-3.25,12.55,0.62,1.04,0.73,0.15,114.15,61.5,-16.86,10
13.61,-14.63,6.51,-2.86,11.45,0.07,0.9,0.65,0.18,94.23,47.46,-29.43,10
8.19,-10.51,0.39,-1.21,11.72,-1.01,1.05,0.48,0.17,109.28,48.58,-21.14,10
6.9,-4.66,8.08,0.35,10.86,-1.49,1.19,0.22,0.17,181.56,82.11,-3.89,10
3.25,-7.33,11.65,0.19,7.96,0.78,0.8,0.39,0.08,202.42,115.85,-11.48,10
-2.98,-4.31,2.03,-2.0,4.94,0.0,0.37,0.43,0.04,170.97,119.6,-8.62,10
-1.84,0.74,2.03,-2.54,4.23,0.0,0.17,0.4,0.18,141.0,94.76,-3.07,10
-3.76,-3.53,2.62,-2.86,4.19,0.43,0.22,0.27,0.22,123.93,64.5,-4.74,10
-5.06,-2.39,0.94,-2.51,4.27,0.66,0.59,0.31,0.21,104.65,49.82,-1.75,10
-6.43,-3.05,2.03,-1.8,5.45,0.07,0.9,0.14,0.18,108.19,61.38,4.24,10
-8.19,-4.66,1.52,-1.56,7.06,0.39,0.83,0.34,0.06,83.84,32.82,17.16,10
-9.49,-8.35,-3.6,-1.8,9.37,0.47,0.95,0.63,0.13,28.97,-15.73,12.29,10
-8.86,-14.12,-9.61,-2.35,11.65,0.58,1.49,0.52,0.23,38.25,-23.52,18.54,10
-3.72,-16.35,-14.55,-2.58,16.12,1.49,1.34,0.82,0.26,80.0,2.18,21.59,10
-2.62,-17.1,-13.41,-2.03,18.51,0.94,1.3,0.8,0.25,118.65,49.04,12.09,10
0.31,-14.04,-3.37,2.78,16.67,2.31,1.16,0.67,0.13,139.72,84.99,-15.38,10
15.45,-13.53,-5.33,-6.74,14.04,0.82,1.05,0.8,0.05,144.87,97.87,-30.55,10
16.39,-12.82,1.92,-5.64,11.33,1.21,0.97,0.78,0.18,117.91,62.14,-12.49,10
7.84,-7.6,-3.33,-4.9,10.12,0.23,1.05,0.49,0.2,114.55,39.18,-13.36,10
2.35,-3.6,9.8,-1.68,10.15,0.31,0.97,0.57,0.04,127.36,54.47,-8.14,10
-2.86,-6.9,11.1,0.19,10.12,0.43,0.85,0.36,0.06,179.74,85.89,-12.33,10
-8.04,-3.96,5.57,1.05,6.82,0.43,0.73,0.34,0.04,185.1,118.56,2.58,10
-1.6,-2.94,2.03,0.47,4.51,0.19,0.37,0.44,0.24,161.76,114.38,27.31,10
-1.05,-2.39,2.43,-2.39,4.74,0.03,0.27,0.29,0.32,153.74,72.76,38.11,10
-3.92,-2.78,3.02,-3.6,5.02,0.0,0.43,0.19,0.32,135.8,43.14,31.29,10
-5.41,-2.78,1.6,-3.29,5.09,0.0,0.6,0.09,0.03,98.58,49.11,1.32,10
-5.92,-2.66,0.47,-2.43,5.8,0.35,0.82,0.24,0.09,58.85,36.89,-10.82,10
-10.7,-7.21,-5.64,-1.33,7.84,0.78,0.91,0.37,0.02,30.49,2.73,1.21,10
-8.04,-12.9,-10.39,-1.37,11.33,1.13,1.51,0.48,0.32,9.48,-12.53,-4.35,10
-5.76,-16.23,-13.57,-1.68,14.86,0.66,1.29,1.07,0.34,66.3,20.6,13.66,10
-9.17,-16.12,-8.27,-2.27,17.22,0.47,1.18,0.98,0.41,135.15,57.13,28.0,10
0.78,-15.37,-4.66,-2.47,18.43,0.58,1.35,0.65,0.4,173.95,89.82,2.86,10
5.41,-19.29,-5.49,-2.74,15.8,0.07,1.36,0.79,0.21,210.11,121.73,-8.88,10
10.39,-17.45,7.6,-3.76,12.0,1.01,0.91,0.96,0.07,175.92,104.15,-1.07,10
7.29,-17.37,0.86,-3.37,10.23,1.01,0.84,0.68,0.03,158.21,70.3,-11.09,10
8.82,-4.15,-1.84,-1.6,10.31,0.0,0.81,0.56,0.1,178.19,71.72,-22.01,10
17.61,0.35,13.18,0.7,8.82,0.7,0.79,0.53,0.06,194.62,96.69,-8.27,10
-5.6,0.15,12.19,0.47,6.59,0.5,0.52,0.82,0.35,152.59,109.89,16.3,10
