d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
3.56,9.53,-1.52,-3.64,8.19,-4.31,0.93,0.08,0.16,-74.98,-57.87,10.3,7
3.49,8.74,-1.13,-5.72,10.0,-3.88,0.77,0.11,0.05,-43.41,-37.36,0.25,7
3.68,8.0,0.7,-5.76,16.31,-6.94,0.75,0.11,0.02,-27.92,-15.18,-3.14,7
4.04,8.47,0.58,-17.33,19.37,-2.07,0.86,0.09,0.05,-23.81,-14.29,0.79,7
3.92,10.7,1.37,-15.53,20.04,-3.76,1.54,0.16,0.37,-57.57,-50.32,2.66,7
3.13,12.23,1.05,-12.08,20.04,-2.23,1.44,0.11,0.35,-44.6,-34.68,-7.36,7
3.49,12.98,1.29,-9.21,20.04,-1.56,1.32,0.0,0.44,-17.59,-21.38,8.11,7
4.43,10.9,2.03,-5.33,20.04,0.39,1.42,0.02,0.55,10.2,7.18,-2.61,7
5.33,10.7,2.35,-2.98,20.04,2.47,1.26,0.06,0.44,39.55,23.39,-2.99,7
5.68,11.57,2.15,-2.43,20.04,3.17,1.26,0.04,0.35,57.49,28.43,1.52,7
5.29,11.17,1.25,-3.84,20.04,2.7,1.29,0.02,0.33,63.34,39.44,-1.39,7
4.86,11.1,0.7,-2.98,16.78,2.7,1.2,0.05,0.28,68.26,41.02,0.07,7
3.53,11.1,0.5,-2.47,16.39,1.64,1.14,0.0,0.26,91.08,34.56,6.69,7
3.41,10.35,0.62,-3.09,14.0,0.31,1.02,0.01,0.23,118.52,44.61,9.25,7
3.09,9.13,0.35,-1.52,10.59,0.23,0.77,0.09,0.18,139.87,55.64,7.9,7
3.8,8.19,0.58,-1.13,8.35,0.15,0.57,0.18,0.07,156.18,56.95,3.76,7
5.09,8.55,0.78,-1.29,7.64,0.11,0.65,0.06,0.02,164.75,47.48,19.64,7
5.8,9.64,0.03,-1.72,7.68,0.03,1.25,0.12,0.29,147.39,56.19,2.8,7
7.25,9.84,0.7,-1.37,8.19,0.35,0.76,0.43,0.24,135.44,34.65,2.29,7
8.82,9.61,0.86,-1.41,8.43,0.62,0.81,0.24,0.16,98.2,22.81,9.12,7
9.1,8.35,-1.25,-1.68,7.41,0.5,0.87,0.32,0.11,107.73,20.11,-13.6,7
8.9,7.53,-2.35,-2.35,6.47,0.07,0.85,0.24,0.02,125.36,19.85,-21.76,7
8.51,7.13,-3.88,-2.43,6.19,0.47,0.87,0.16,0.04,143.09,26.85,-21.02,7
10.78,7.72,-5.76,-2.74,6.15,0.94,0.84,0.28,0.17,153.83,31.73,-34.82,7
11.02,8.04,-7.06,-2.94,7.17,1.49,0.87,0.36,0.23,151.93,31.75,-34.96,7
11.84,8.08,-8.08,-3.17,8.55,2.19,1.09,0.33,0.19,164.28,39.82,-20.75,7
11.17,8.0,-8.86,-3.64,10.12,2.82,1.11,0.37,0.15,166.55,48.93,-12.04,7
10.19,6.74,-8.59,-3.64,11.21,3.53,1.04,0.36,0.18,164.33,54.79,-11.43,7
7.88,4.7,-8.55,-3.02,10.9,3.68,0.92,0.43,0.23,163.1,65.04,-3.22,7
8.23,2.51,-11.21,-1.96,11.25,3.17,0.9,0.42,0.17,162.52,71.82,17.52,7
4.07,1.41,-9.68,-3.05,11.53,3.13,1.0,0.36,0.02,152.62,56.92,28.02,7
0.58,0.94,-9.45,-2.94,10.15,3.41,0.73,0.33,0.01,145.92,46.18,14.6,7
-1.17,-1.41,-9.96,-2.86,9.45,2.35,0.78,0.57,0.1,121.27,14.98,28.97,7
-1.45,-1.76,-9.8,-5.53,10.86,2.11,1.13,0.66,0.24,112.62,-12.97,28.25,7
-1.64,-1.37,-9.49,-4.15,12.16,1.25,1.16,0.57,0.35,120.57,-17.77,23.94,7
0.19,0.19,-7.02,-1.6,11.53,0.62,1.01,0.47,0.26,132.11,-8.38,27.65,7
-1.13,0.7,-9.06,-1.56,9.76,0.94,0.93,0.44,0.2,145.04,-1.1,32.99,7
0.9,2.98,-9.84,-1.68,9.21,1.05,0.91,0.42,0.16,137.96,1.1,50.18,7
0.98,6.7,-5.88,-1.56,10.04,0.66,0.84,0.39,0.14,124.56,12.31,53.2,7
4.55,9.92,-6.82,-1.64,11.06,0.66,0.78,0.29,0.1,107.83,30.79,53.28,7
6.27,11.21,-6.59,-1.09,11.06,1.09,0.72,0.26,0.04,89.92,40.43,51.08,7
8.62,12.59,-4.11,-1.21,10.47,1.25,0.76,0.19,0.07,69.48,36.63,45.34,7
10.78,14.0,-5.68,-1.49,9.13,1.6,0.82,0.06,0.07,54.96,23.13,39.05,7
10.51,19.92,-4.98,-1.96,9.68,2.0,1.18,0.1,0.04,36.16,15.1,40.72,7
12.9,20.04,2.86,-2.66,9.64,2.43,1.19,0.0,0.09,30.34,3.08,43.12,7
12.35,20.04,1.45,-3.21,10.9,2.82,1.22,0.04,0.16,24.28,-5.97,16.94,7
10.86,20.04,0.31,-3.53,11.14,3.21,1.38,0.25,0.01,32.28,0.13,5.66,7
8.82,20.04,3.17,-2.19,10.12,2.74,1.23,0.22,0.09,27.31,4.82,4.38,7
8.55,20.04,3.45,-1.6,9.17,2.98,1.11,0.21,0.04,-2.02,0.88,-6.31,7
7.68,19.84,3.17,-2.23,9.8,3.17,1.11,0.23,0.02,-34.86,0.34,-21.74,7
3.45,18.9,2.27,-3.68,10.31,3.13,1.16,0.2,0.0,-66.14,-3.33,-32.1,7
0.9,19.45,0.66,-2.62,11.17,2.74,1.24,0.14,0.03,-87.53,-9.76,-38.34,7
-2.86,17.37,0.86,-3.02,12.55,1.88,1.38,0.05,0.02,-110.02,-21.53,-32.7,7
-1.05,14.67,-1.64,-3.8,13.69,1.49,1.3,0.09,0.06,-141.47,-25.82,-32.25,7
2.51,11.88,-2.31,-4.27,12.55,1.49,0.81,0.31,0.12,-162.92,-40.18,-40.52,7
0.54,6.55,-4.7,-3.68,9.64,0.74,0.62,0.28,0.19,-195.1,-40.7,-35.01,7
4.19,4.0,-3.8,-2.03,8.11,0.35,0.67,0.39,0.13,-191.4,-26.87,-35.99,7
2.9,5.13,-3.02,-1.29,9.17,0.54,0.71,0.58,0.24,-136.81,-6.41,-28.86,7
2.0,5.92,-3.02,-1.88,9.49,0.62,0.9,0.4,0.54,-102.94,-5.48,-6.52,7
1.29,5.41,-3.37,-2.11,9.53,0.43,1.12,0.14,0.41,-101.4,6.5,-14.11,7
2.03,6.04,-2.66,-4.19,9.68,0.27,0.96,0.32,0.07,-110.93,34.88,-26.39,7
2.58,6.31,-1.96,-6.55,10.63,0.03,0.82,0.48,0.18,-109.06,29.25,-30.14,7
3.05,8.23,0.94,-5.64,11.21,1.21,0.81,0.54,0.11,-133.69,-3.73,-14.86,7
3.96,9.61,0.62,-7.76,13.29,2.86,0.93,0.63,0.14,-156.0,-12.62,-10.23,7
4.78,10.31,3.49,-11.61,10.66,2.07,0.94,0.56,0.15,-168.11,-6.91,-22.13,7
3.76,10.15,3.25,-14.74,10.04,-2.0,0.91,0.45,0.19,-169.37,-13.31,-31.52,7
2.78,10.31,1.72,-16.31,10.98,-4.9,0.86,0.36,0.11,-157.2,-26.64,-36.07,7
4.74,10.35,1.29,-15.02,11.65,-5.45,0.77,0.44,0.07,-150.47,-44.48,-40.36,7
6.59,11.25,1.76,-11.17,10.59,-6.19,0.96,0.43,0.03,-143.56,-59.44,-35.11,7
15.8,13.92,1.72,-7.64,7.45,-8.15,1.37,0.16,0.18,-153.05,-58.36,-22.43,7
2.74,9.57,0.62,-6.04,2.86,-10.04,1.0,0.17,0.37,-135.02,-39.85,-18.5,7
5.72,11.65,0.47,-5.33,0.47,-6.55,0.92,0.34,0.31,-137.05,-39.42,-18.39,7
6.55,10.63,-1.64,0.5,0.03,-6.08,1.09,0.32,0.32,-142.44,-32.77,-10.31,7
5.41,10.74,-2.39,2.39,0.9,-4.94,1.1,0.23,0.29,-133.09,-31.43,-2.53,7
-1.09,10.86,-5.02,4.51,0.19,-5.45,0.85,0.32,0.17,-124.42,-32.59,3.0,7
14.47,7.37,-2.98,4.86,1.37,-4.39,0.74,0.28,0.13,-129.97,-41.25,7.43,7
2.74,8.82,-1.56,2.35,2.62,-4.0,0.74,0.2,0.15,-132.92,-58.06,7.38,7
2.0,9.17,-2.58,1.33,3.53,-4.94,0.87,0.21,0.12,-124.75,-73.46,10.42,7
3.21,10.15,-1.72,0.27,3.92,-3.92,0.82,0.23,0.04,-105.95,-82.41,10.87,7
3.05,9.64,0.7,-1.8,5.29,-5.64,0.79,0.26,0.08,-90.82,-84.64,9.57,7
3.21,9.25,0.15,-5.57,8.43,-6.19,0.84,0.21,0.11,-70.25,-72.03,7.52,7
3.64,8.35,0.15,-7.25,11.68,-5.68,0.89,0.1,0.16,-36.65,-40.36,0.84,7
4.04,8.43,1.29,-11.65,17.49,-8.11,1.01,0.11,0.2,-21.56,-22.42,5.56,7
4.39,8.98,2.27,-19.26,19.96,-2.35,1.26,0.27,0.3,-40.7,-26.62,4.85,7
3.76,10.15,2.7,-10.63,20.04,-2.94,1.21,0.18,0.14,-32.75,-18.95,1.89,7
4.94,11.57,3.68,-11.41,20.04,-1.33,1.29,0.08,0.27,-21.37,-17.07,3.05,7
4.51,11.37,3.68,-2.78,20.04,2.35,1.33,0.14,0.47,-28.0,-14.51,-5.15,7
2.62,10.0,3.05,0.27,20.04,3.64,1.22,0.09,0.46,-10.08,4.01,-5.75,7
4.78,9.8,3.29,0.62,20.04,4.27,1.22,0.03,0.49,26.27,20.08,-4.12,7
5.29,9.1,3.29,-4.35,20.04,2.74,1.22,0.02,0.46,46.14,33.75,-8.82,7
5.88,9.64,2.78,-4.58,18.98,2.0,1.25,0.01,0.41,66.32,38.99,-6.71,7
6.35,10.86,1.88,-2.11,18.51,0.86,1.37,0.02,0.38,94.86,42.11,0.51,7
7.25,12.16,1.37,-3.53,15.72,0.31,1.31,0.12,0.32,125.83,43.11,4.68,7
6.55,10.82,0.94,-1.96,12.47,0.74,0.94,0.2,0.19,168.87,58.53,5.54,7
4.9,8.04,0.47,-2.23,8.39,0.74,0.62,0.21,0.23,185.0,76.06,14.27,7
4.9,6.62,0.7,-3.09,6.47,0.39,0.53,0.27,0.1,189.63,80.85,9.6,7
6.11,7.49,0.54,-1.84,7.6,0.66,0.75,0.42,0.29,160.05,62.21,17.64,7
7.6,8.27,0.03,-1.96,6.94,0.98,0.78,0.28,0.33,161.88,47.69,6.5,7
7.88,9.02,0.15,-1.25,7.8,0.74,0.82,0.16,0.27,133.31,33.22,14.73,7
8.55,9.57,0.19,0.9,7.72,0.58,0.92,0.23,0.19,106.79,20.91,-6.13,7
10.08,9.61,0.43,-1.45,6.66,0.35,0.83,0.11,0.04,93.72,15.4,-26.05,7
9.84,8.82,0.19,-2.35,6.27,0.15,0.89,0.27,0.14,109.32,14.51,-26.32,7
12.19,8.9,0.35,-2.66,6.66,0.66,0.99,0.22,0.14,134.18,23.27,-25.51,7
13.21,8.55,-1.56,-3.02,7.57,0.86,1.05,0.26,0.1,154.95,40.11,-22.89,7
13.53,7.21,-3.96,-3.56,9.13,1.49,0.99,0.36,0.13,166.3,52.66,-17.73,7
13.84,6.19,-5.13,-3.53,9.76,2.27,0.87,0.37,0.22,171.82,65.75,-10.33,7
11.65,5.02,-6.31,-3.13,10.12,2.51,0.83,0.34,0.29,175.55,77.94,4.04,7
9.72,4.86,-7.76,-2.7,11.84,2.62,1.06,0.4,0.09,178.54,71.59,24.29,7
7.45,2.58,-7.57,-3.25,12.59,3.02,1.01,0.47,0.03,142.46,35.86,8.38,7
6.15,1.13,-7.84,-3.25,11.57,2.94,0.77,0.58,0.05,110.19,11.49,-1.62,7
5.25,0.98,-7.17,-3.68,12.59,3.64,1.05,0.53,0.1,103.7,-6.03,0.95,7
2.62,-3.53,-7.53,-3.96,12.82,3.41,1.11,0.53,0.22,119.62,-6.78,-3.02,7
0.39,-4.9,-7.45,-2.39,11.25,2.11,0.94,0.52,0.2,126.44,-7.17,-1.94,7
