d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
3.33,10.12,0.19,-1.92,11.29,5.17,1.04,0.29,0.1,-19.6,0.23,15.91,4
3.49,9.8,0.27,-2.66,10.04,4.07,0.96,0.26,0.15,-16.89,4.99,12.26,4
2.98,9.88,0.19,-1.72,9.41,4.15,0.95,0.25,0.16,-2.16,10.66,22.55,4
2.82,9.96,0.74,-2.15,8.78,3.64,0.93,0.19,0.16,-3.06,15.26,17.97,4
2.66,10.15,1.05,-1.72,8.47,3.68,0.89,0.19,0.25,-4.37,13.21,13.4,4
2.47,10.35,0.86,-1.88,8.66,3.68,0.91,0.22,0.2,4.29,6.96,10.11,4
2.07,10.12,0.82,-2.51,9.37,3.76,0.98,0.18,0.16,12.95,11.96,7.68,4
2.54,9.8,1.05,-3.17,9.61,3.53,0.94,0.16,0.23,21.19,16.34,2.33,4
2.94,9.68,0.78,-3.09,9.72,4.11,0.91,0.18,0.24,29.12,17.22,0.28,4
3.02,9.25,0.15,-1.25,9.1,4.66,0.89,0.14,0.27,32.88,19.55,-1.06,4
3.09,8.94,0.0,0.03,8.19,4.7,0.84,0.13,0.29,33.72,17.6,-1.57,4
2.82,8.74,0.15,0.43,7.53,4.51,0.79,0.14,0.29,28.95,11.89,-2.44,4
2.43,9.13,0.19,-1.13,7.45,4.04,0.75,0.12,0.3,19.59,1.34,-3.24,4
2.0,8.78,0.39,-1.56,6.55,3.68,0.73,0.09,0.27,13.38,-9.91,-4.75,4
1.72,8.82,0.86,-1.96,6.35,4.19,0.76,0.1,0.24,14.0,-18.57,-7.82,4
1.64,10.12,0.94,-1.84,7.6,3.88,0.91,0.12,0.27,18.55,-15.65,-8.41,4
1.88,11.33,-1.13,-2.23,10.12,4.0,1.13,0.15,0.4,31.27,0.27,-5.85,4
2.0,13.25,0.19,-8.78,12.82,5.09,1.27,0.26,0.51,45.49,12.63,-3.32,4
1.33,15.1,0.78,-9.33,14.47,6.55,1.46,0.34,0.48,26.07,10.95,0.79,4
1.01,14.35,1.01,-3.21,13.61,5.57,1.43,0.37,0.38,-15.07,0.26,3.11,4
1.92,12.9,1.33,0.47,12.0,4.51,1.33,0.45,0.19,-26.31,-4.72,2.22,4
3.17,11.14,1.17,-2.35,13.18,3.64,1.15,0.52,0.04,-21.62,-17.2,4.7,4
4.62,9.33,1.01,-5.06,11.02,1.52,0.93,0.48,0.18,-23.44,-30.49,-4.02,4
4.86,7.21,1.09,-3.49,7.76,0.5,0.76,0.38,0.21,-31.04,-28.63,-2.84,4
3.8,6.39,1.56,-2.15,7.41,0.58,0.77,0.36,0.18,-14.21,-22.99,4.49,4
3.33,6.86,2.27,-2.31,7.76,0.5,0.82,0.36,0.18,0.91,-16.88,0.44,4
2.94,6.98,2.54,-2.43,8.31,0.07,0.84,0.39,0.17,-6.23,-16.66,-13.55,4
2.58,6.66,2.54,-1.88,8.74,0.66,0.82,0.43,0.12,-11.8,-18.96,-18.7,4
2.62,7.1,2.54,-2.31,8.74,0.7,0.81,0.41,0.12,-1.86,-14.57,-14.98,4
3.09,7.49,3.05,-2.31,8.86,0.54,0.83,0.42,0.15,12.24,0.53,-12.7,4
3.41,8.0,3.37,-2.86,9.02,0.27,0.94,0.35,0.17,26.14,13.33,-12.53,4
3.29,8.78,3.49,-2.7,9.72,0.27,1.04,0.36,0.11,36.12,23.18,-2.84,4
3.09,9.72,3.76,-2.35,10.12,0.19,0.96,0.5,0.02,30.35,10.65,1.93,4
2.82,10.19,3.84,-2.27,10.78,0.43,1.02,0.43,0.03,25.31,2.32,3.79,4
2.62,9.88,3.64,-2.54,11.1,0.74,0.99,0.43,0.06,11.59,4.02,3.96,4
2.54,9.53,3.41,-2.74,10.43,1.01,0.89,0.43,0.04,-1.24,-1.39,0.94,4
