d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
8.04,1.45,7.45,-8.9,0.66,9.61,0.85,0.27,0.15,0.3,20.59,20.5,9
6.04,1.13,6.78,-8.74,0.43,9.41,0.91,0.21,0.16,-20.19,17.14,11.9,9
6.55,3.33,6.7,-9.76,0.39,9.02,1.0,0.29,0.17,-23.89,15.41,6.07,9
5.45,5.64,8.11,-10.04,1.25,10.19,1.06,0.37,0.12,-30.73,2.24,-1.07,9
4.27,6.04,8.66,-10.59,2.94,11.49,1.02,0.36,0.08,-10.88,-5.59,1.58,9
5.88,3.56,9.92,-8.82,4.07,12.86,1.0,0.24,0.08,20.69,0.29,11.27,9
9.72,0.98,10.31,-6.98,5.29,14.94,1.02,0.14,0.14,41.36,21.11,4.37,9
12.94,-1.33,8.7,-5.21,6.27,14.39,0.92,0.24,0.23,43.94,29.66,-6.55,9
16.9,-2.62,6.74,-4.04,6.59,13.06,0.85,0.27,0.31,40.89,25.03,-6.81,9
18.0,-1.92,4.11,-3.72,5.88,11.1,0.84,0.27,0.3,36.59,15.44,-7.11,9
17.29,0.94,1.56,-3.33,4.66,8.78,0.86,0.22,0.24,31.86,12.76,-15.51,9
16.27,0.31,0.98,-3.17,2.86,7.1,0.87,0.25,0.25,27.36,14.34,-23.46,9
12.39,0.27,0.86,-2.82,0.82,6.23,0.82,0.28,0.29,23.73,9.23,-24.08,9
8.08,0.07,-2.23,-3.09,0.98,5.21,0.82,0.27,0.3,23.34,5.14,-15.52,9
5.21,0.03,-1.29,-3.25,-2.47,3.72,0.89,0.31,0.32,24.96,3.24,-5.65,9
3.68,0.86,-1.05,-4.04,-3.56,2.54,0.98,0.37,0.36,10.86,0.52,0.32,9
2.66,-1.21,0.07,-4.9,-3.88,1.96,1.08,0.32,0.36,0.18,-5.68,3.83,9
1.8,-2.0,1.49,-6.27,-4.19,1.68,1.12,0.38,0.28,-5.61,-8.83,8.6,9
0.66,-2.47,3.29,-7.45,-3.92,1.8,1.04,0.31,0.16,-2.54,-12.39,10.02,9
1.64,-3.02,5.41,-8.66,-3.96,1.64,1.05,0.47,0.06,-13.53,-19.8,14.7,9
3.13,-2.39,8.08,-10.82,-2.47,2.7,1.05,0.35,0.02,-3.72,-19.65,15.6,9
2.98,-2.23,8.47,-10.55,-1.29,2.9,0.82,0.38,0.05,-9.39,-22.58,13.18,9
4.35,-2.0,9.33,-10.31,0.47,2.94,0.7,0.43,0.01,-16.76,-32.14,10.54,9
3.72,-2.03,9.21,-11.1,0.0,3.68,0.8,0.44,0.02,-28.55,-40.54,10.07,9
4.0,-2.0,8.7,-11.25,0.35,4.43,0.98,0.4,0.06,-30.16,-37.12,3.67,9
4.27,0.94,9.72,-11.02,0.47,3.96,1.0,0.4,0.09,-19.57,-28.21,-2.64,9
4.86,0.78,9.29,-11.49,1.72,5.37,0.98,0.48,0.12,-8.21,-18.34,-6.27,9
6.0,0.35,9.96,-11.02,2.66,5.13,0.9,0.46,0.14,3.29,-9.08,-3.22,9
7.29,0.35,10.63,-12.31,4.66,6.51,0.91,0.42,0.11,8.38,0.12,1.17,9
8.08,0.9,10.74,-12.78,6.35,8.51,0.96,0.38,0.04,19.82,18.76,6.53,9
9.64,-1.68,11.17,-13.02,6.78,10.15,1.06,0.37,0.0,27.62,32.23,19.25,9
11.33,-1.8,10.7,-12.04,6.55,12.63,1.22,0.3,0.04,34.04,42.53,34.57,9
11.53,-1.68,9.1,-9.45,5.64,13.49,0.89,0.28,0.09,24.12,32.3,21.47,9
12.39,-1.96,7.1,-8.08,5.41,13.57,0.71,0.31,0.09,-15.04,7.73,6.21,9
13.41,-1.52,5.57,-7.53,5.6,12.08,0.85,0.23,0.15,-31.32,-7.49,-11.62,9
13.57,-1.21,4.11,-8.11,5.6,11.25,1.16,0.2,0.08,-12.71,2.91,-24.35,9
12.59,-1.33,2.9,-7.6,4.94,9.57,1.0,0.33,0.09,7.42,27.85,-34.32,9
11.17,-1.68,1.56,-5.96,3.09,7.72,0.84,0.36,0.16,17.25,34.84,-32.31,9
10.63,-1.88,1.25,-5.49,1.84,6.51,0.88,0.32,0.19,22.37,33.16,-24.46,9
9.37,-2.19,0.58,-5.76,1.01,6.23,0.87,0.31,0.2,28.94,29.23,-21.99,9
7.76,-2.51,0.35,-5.13,0.23,6.0,0.9,0.31,0.21,28.32,26.17,-21.38,9
7.06,-2.54,0.43,-5.17,0.74,5.49,0.9,0.35,0.27,29.75,25.51,-19.86,9
6.31,-2.78,0.31,-4.98,-1.25,5.64,0.86,0.31,0.27,36.08,24.53,-14.46,9
4.86,-2.47,0.27,-3.37,-2.27,4.94,0.85,0.32,0.31,36.99,22.92,-5.16,9
4.0,-1.92,1.09,-3.33,-3.05,4.04,0.86,0.31,0.35,33.99,20.62,0.97,9
2.82,-2.31,1.68,-2.98,-3.72,3.29,0.88,0.31,0.4,25.65,16.1,6.27,9
1.88,-2.43,2.51,-3.53,-3.96,2.58,0.96,0.32,0.4,15.75,8.5,14.7,9
2.07,-1.84,4.98,-4.43,-3.68,1.96,1.08,0.45,0.35,-1.12,0.49,21.11,9
2.15,-1.6,6.51,-6.47,-2.27,2.51,1.08,0.58,0.19,-19.24,-12.07,21.8,9
3.76,0.66,8.9,-9.06,0.62,2.78,1.03,0.68,0.01,-29.4,-29.21,11.23,9
4.11,0.0,10.94,-10.55,1.21,2.7,1.05,0.46,0.09,-29.21,-29.89,9.42,9
4.43,1.37,12.12,-13.88,3.49,3.56,0.76,0.36,0.01,-21.33,-32.27,13.02,9
4.62,2.15,13.57,-14.2,3.64,2.78,0.68,0.39,0.02,-16.04,-42.05,11.32,9
4.9,1.8,13.76,-14.12,3.02,3.09,0.9,0.5,0.09,-30.52,-60.07,13.24,9
5.21,1.64,13.06,-15.14,3.02,3.96,1.12,0.47,0.16,-31.92,-57.73,8.84,9
6.66,1.29,12.16,-12.94,3.8,3.64,0.95,0.34,0.11,-4.17,-30.17,-5.16,9
7.6,0.9,10.7,-12.04,4.55,3.92,0.81,0.38,0.15,17.88,-6.92,-16.46,9
7.37,0.86,8.98,-10.15,4.31,4.04,0.84,0.47,0.19,26.81,2.41,-13.15,9
7.53,0.43,7.68,-10.04,5.09,4.47,0.87,0.4,0.14,34.16,10.73,-19.2,9
7.64,0.23,6.04,-9.02,6.35,5.25,0.9,0.37,0.12,38.07,26.57,-22.95,9
8.9,-1.01,5.02,-7.8,7.6,5.88,1.09,0.46,0.03,40.74,38.18,-13.34,9
10.15,0.43,5.57,-8.08,9.13,8.51,1.11,0.5,0.13,41.38,36.92,-4.85,9
9.92,0.54,5.6,-7.41,8.98,10.7,0.77,0.64,0.17,4.6,3.09,-2.79,9
9.41,0.66,6.35,-6.43,6.62,10.78,0.77,0.58,0.07,-31.27,-26.91,-5.15,9
7.92,-1.05,8.0,-9.29,4.7,10.86,0.98,0.41,0.09,-48.09,-34.98,-5.95,9
6.62,0.43,10.0,-12.19,3.02,9.33,1.0,0.38,0.16,-37.76,-22.68,-2.5,9
5.33,0.27,11.45,-14.43,2.54,6.82,0.93,0.54,0.11,-21.15,3.62,-1.98,9
4.04,0.62,12.19,-18.0,2.27,4.31,0.95,0.47,0.1,2.04,24.18,-1.16,9
2.82,0.82,12.08,-17.8,2.54,1.09,0.94,0.44,0.07,0.93,29.91,-1.04,9
2.51,0.98,12.08,-15.53,2.51,0.58,0.9,0.44,0.0,-7.47,28.55,-10.72,9
2.0,1.17,11.06,-13.45,2.51,-1.33,0.82,0.52,0.06,-12.98,25.98,-19.52,9
