d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
11.57,1.45,-7.1,-14.67,-1.25,-2.39,0.63,0.53,0.08,-79.23,-42.14,-11.04,1
6.0,1.84,-9.53,-8.98,0.7,-6.19,1.05,0.56,0.19,-61.57,-42.59,-3.89,1
1.21,1.29,-8.39,-5.02,0.43,-8.04,1.11,0.58,0.17,-16.59,-13.15,2.69,1
-2.66,-1.6,-8.19,-2.27,0.39,-9.41,0.95,0.58,0.04,20.94,10.6,5.66,1
-5.02,-5.21,-9.61,4.39,-2.62,-11.45,0.8,0.51,0.05,9.25,8.87,3.91,1
-10.51,-8.7,-11.45,8.0,-5.13,-9.92,0.75,0.4,0.09,-11.53,-5.22,2.4,1
-11.61,-7.88,-11.72,10.39,-4.15,-7.37,0.77,0.43,0.03,-17.37,-9.07,-6.75,1
-10.35,-6.62,-10.78,10.59,-4.27,-4.47,0.88,0.45,0.13,-12.11,-1.73,-11.73,1
-7.1,-4.23,-10.66,7.68,-3.13,-3.88,0.85,0.51,0.06,6.7,11.6,-10.67,1
-2.07,-2.62,-8.39,5.88,-2.47,-3.92,0.81,0.54,0.02,25.46,19.27,-7.26,1
0.54,0.07,-9.84,2.15,0.58,-5.06,0.84,0.54,0.03,35.09,27.05,-7.24,1
5.49,2.82,-8.35,-2.39,2.11,-8.47,0.84,0.56,0.01,40.11,33.37,-11.78,1
17.92,4.51,-10.23,-16.2,3.33,-6.19,0.82,0.56,0.04,45.22,28.87,-10.73,1
20.04,2.66,-11.33,-17.45,6.74,-6.59,0.96,0.45,0.04,56.24,27.07,2.09,1
20.04,2.19,-11.21,-20.08,2.15,-2.27,1.26,0.43,0.11,57.26,25.14,16.69,1
20.04,2.23,-5.29,-20.08,0.27,2.35,1.19,0.51,0.11,11.07,-1.39,8.29,1
19.26,1.05,-6.35,-20.08,0.35,1.56,0.74,0.54,0.14,-35.05,-20.99,2.2,1
14.9,2.27,-6.82,-15.72,0.23,-2.94,0.64,0.47,0.17,-64.31,-34.06,-7.66,1
9.25,3.05,-8.55,-10.43,0.58,-6.74,0.8,0.59,0.05,-68.66,-45.33,-11.14,1
1.41,2.62,-10.15,-3.49,1.01,-7.45,1.1,0.59,0.09,-53.42,-38.05,-13.51,1
-2.51,0.47,-8.35,2.31,0.23,-7.76,0.97,0.57,0.13,-15.05,-11.1,-1.85,1
-6.78,-3.88,-8.19,8.82,-2.11,-9.49,0.8,0.5,0.1,3.69,3.15,7.6,1
