d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
4.78,-7.17,13.37,-2.03,-2.39,-2.98,0.74,0.16,0.14,32.18,4.22,10.41,3
5.17,-7.06,9.96,-3.17,-1.76,0.7,0.72,0.15,0.21,52.25,23.74,9.84,3
7.84,-6.78,10.04,-2.58,-2.54,0.31,0.78,0.16,0.03,72.26,35.71,19.75,3
5.92,-7.76,7.57,-1.68,-5.6,1.45,0.91,0.43,0.29,52.28,32.26,19.06,3
7.13,-10.23,7.29,0.5,-8.86,1.45,1.35,0.38,0.56,7.11,6.71,12.35,3
14.43,-7.68,5.29,2.23,-9.49,4.35,1.33,0.5,0.34,-16.44,3.28,-1.43,3
8.15,0.98,5.49,-2.98,-7.02,18.63,0.92,0.41,0.2,-6.73,4.49,-23.1,3
2.15,-3.25,3.13,6.66,-3.84,14.35,0.82,0.13,0.16,7.89,3.96,-28.36,3
6.35,0.11,3.13,-6.59,-7.41,6.74,0.82,0.14,0.16,-1.76,6.02,-27.72,3
-2.35,0.82,2.07,0.19,-4.39,8.86,0.74,0.18,0.15,-15.94,0.76,-7.69,3
5.33,-3.45,0.23,0.19,-3.37,14.39,0.71,0.13,0.13,-28.92,-16.07,16.34,3
4.86,-3.8,-3.21,-1.92,-4.74,16.23,0.78,0.25,0.12,-35.93,-26.43,21.97,3
8.94,-5.09,-1.45,-2.47,-6.08,19.1,1.02,0.51,0.07,-39.58,-21.75,14.39,3
10.12,-5.72,1.09,-4.23,-6.62,15.72,1.68,0.59,0.12,-24.5,-20.49,12.73,3
3.6,-9.21,1.25,-2.62,-4.82,20.04,1.25,0.56,0.07,10.42,0.62,-4.23,3
6.51,-10.27,-4.0,-12.16,-3.92,18.51,0.9,0.4,0.03,25.07,35.2,-14.5,3
7.88,-16.0,-3.64,-6.23,-5.92,3.68,0.61,0.37,0.0,13.33,32.08,-8.58,3
5.37,-10.27,4.11,-4.04,-5.17,-1.17,0.75,0.09,0.05,16.7,6.36,1.92,3
7.1,-8.35,9.33,-2.07,-3.25,0.82,0.9,0.16,0.15,29.62,12.31,6.2,3
5.33,-7.53,8.59,-6.62,0.62,1.56,0.91,0.28,0.05,46.0,20.38,19.21,3
8.43,-8.15,12.35,-1.37,-1.49,0.31,0.87,0.45,0.23,37.33,9.92,27.59,3
8.35,-8.35,8.66,1.68,-4.86,3.21,1.22,0.39,0.4,8.85,-9.76,23.66,3
10.86,-9.25,7.49,1.49,-7.88,2.74,1.37,0.32,0.52,-7.35,-17.33,5.08,3
8.51,-6.35,6.51,2.58,-9.25,0.23,1.03,0.37,0.36,-14.17,-20.23,-4.01,3
4.51,-4.66,3.29,-3.8,-5.68,4.78,0.86,0.23,0.18,-10.88,-14.12,-13.59,3
