d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
-7.92,0.31,15.14,-2.94,9.61,-3.17,0.77,0.79,0.07,219.04,95.67,-48.23,10
-17.18,6.78,8.55,-3.21,6.59,-2.78,0.66,0.38,0.0,216.7,84.21,-43.13,10
-18.55,10.74,5.6,-3.84,3.21,-3.05,0.84,0.13,0.0,195.65,89.04,-2.33,10
-16.39,13.18,0.03,-4.07,1.17,-2.35,0.43,0.19,0.1,193.85,79.26,28.73,10
-13.61,12.19,-6.23,-4.15,0.11,0.35,0.14,0.18,0.03,216.16,64.81,21.72,10
-2.27,9.21,-17.33,-3.56,0.27,1.17,0.17,0.13,0.11,178.71,64.02,35.86,10
17.29,7.92,-20.08,-2.0,2.47,2.39,0.06,0.02,0.19,158.74,62.63,27.22,10
20.04,-2.43,-20.08,-3.45,7.76,1.52,0.13,0.02,0.2,144.06,66.21,14.83,10
20.04,-13.69,-12.59,-4.43,11.72,0.66,0.42,0.59,0.24,111.26,72.19,24.23,10
18.98,-11.68,2.58,-6.47,17.37,0.11,1.61,1.99,0.41,69.98,74.49,-27.95,10
20.04,-10.86,20.04,-7.64,20.04,0.15,1.84,0.26,0.23,98.02,23.29,-56.65,10
20.04,-8.11,20.04,-6.27,16.51,2.0,1.83,0.56,0.41,151.47,64.24,6.34,10
7.92,-9.45,20.04,-5.29,16.82,1.33,1.26,1.25,0.29,167.11,85.13,-2.09,10
1.49,-8.55,18.24,-4.74,15.45,0.0,1.2,1.05,0.14,194.66,89.24,-13.02,10
-9.68,-2.78,14.59,-4.11,11.21,0.07,1.16,0.69,0.09,186.77,93.5,-53.34,10
-17.41,1.68,6.0,-4.35,6.47,0.78,0.97,0.21,0.16,199.48,102.37,-25.69,10
-15.96,4.74,-1.17,-3.21,2.31,0.66,0.55,0.34,0.01,199.69,80.81,28.99,10
-16.2,7.49,-4.39,-3.09,1.09,-1.33,0.27,0.35,0.05,193.37,59.96,40.92,10
-8.27,6.9,-7.57,-3.76,1.09,0.15,0.18,0.17,0.07,180.77,51.93,35.69,10
-2.39,6.04,-14.55,-2.54,1.68,0.15,0.09,0.02,0.06,160.93,50.23,42.43,10
7.76,2.54,-16.71,-2.98,4.58,1.25,0.11,0.03,0.14,169.4,54.31,33.33,10
17.02,-5.64,-19.77,-3.56,9.96,0.7,0.23,0.21,0.29,154.36,67.24,36.24,10
16.12,-18.71,-18.43,-3.17,12.39,0.82,1.34,1.16,0.39,136.28,99.0,47.54,10
20.04,-14.55,1.56,-7.76,18.24,2.47,1.97,1.31,0.2,98.0,76.89,-68.89,10
16.74,-18.82,3.49,-6.86,17.53,0.43,1.85,0.91,0.09,185.52,87.56,-32.29,10
20.04,-10.43,20.04,-7.49,16.78,1.05,1.99,0.38,0.08,144.2,70.53,-34.04,10
6.98,-8.62,20.04,-7.53,15.25,0.39,1.02,0.97,0.34,107.55,65.63,-29.69,10
2.27,-3.76,20.04,-4.43,9.92,0.98,1.0,0.56,0.03,129.37,60.0,-19.32,10
-7.96,3.56,13.49,-2.07,6.43,0.5,0.8,0.37,0.19,150.42,83.97,-17.27,10
-12.9,9.17,6.27,-1.56,4.15,0.23,0.55,0.18,0.1,178.81,99.53,0.36,10
-17.37,12.47,5.45,-1.09,2.47,1.17,0.3,0.19,0.0,199.46,104.46,29.85,10
-19.22,6.35,-3.72,-1.13,0.66,0.43,0.19,0.24,0.1,193.94,99.76,27.98,10
-14.7,2.39,-6.47,-1.33,0.9,0.15,0.03,0.22,0.06,157.8,87.63,23.58,10
-4.19,-1.88,-16.78,-2.47,3.64,0.66,0.11,0.27,0.09,112.62,50.45,33.53,10
6.86,-6.11,-20.08,-5.21,9.06,2.03,0.3,0.62,0.43,82.87,-2.19,50.29,10
20.04,-8.98,-20.08,-7.21,15.37,5.13,1.99,1.16,0.07,119.44,-8.59,45.97,10
20.04,-12.7,-20.08,-7.37,19.14,4.47,1.99,0.31,0.47,109.56,101.47,-85.15,10
20.04,-15.33,-6.08,-4.9,18.9,3.88,1.37,0.61,0.06,169.59,88.55,-14.44,10
20.04,-11.8,5.06,-7.96,15.92,3.09,1.08,0.87,0.24,163.07,100.82,-14.98,10
17.53,-6.15,20.04,-2.98,11.14,1.84,0.64,0.93,0.26,168.19,94.62,-37.6,10
7.68,-3.25,20.04,-2.23,10.47,0.74,0.98,1.02,0.0,132.43,84.56,-38.72,10
-2.51,0.66,18.0,-2.58,10.12,0.98,1.1,0.69,0.05,173.31,90.27,-27.04,10
-14.04,6.04,7.6,-3.02,6.11,-2.19,0.9,0.19,0.03,233.2,102.31,17.08,10
-16.78,7.37,4.9,-3.21,2.35,-1.29,0.43,0.28,0.09,214.23,90.69,40.61,10
-12.67,5.92,0.15,-3.56,-1.09,-2.23,0.08,0.26,0.09,199.1,70.97,43.03,10
-12.55,3.37,-7.49,-3.17,0.11,0.74,0.12,0.09,0.05,190.62,58.15,46.0,10
-6.23,1.29,-12.51,-3.29,2.78,0.23,0.06,0.04,0.1,161.49,56.05,45.99,10
-1.45,-3.29,-16.82,-4.35,6.9,0.03,0.08,0.06,0.13,163.11,54.08,39.66,10
4.66,-5.29,-20.08,-6.39,12.35,1.84,0.51,0.66,0.21,125.74,59.89,56.44,10
11.92,-17.18,-20.08,-8.15,19.61,3.8,1.36,1.99,0.22,89.81,61.01,-12.67,10
20.04,-16.08,-10.86,-9.06,18.35,3.02,1.82,1.3,0.15,42.42,61.27,-118.58,10
20.04,-13.49,3.72,-10.7,17.22,2.66,1.99,0.25,0.32,153.75,67.45,16.02,10
20.04,-11.49,20.04,-7.06,17.69,0.58,1.74,1.19,0.1,132.04,69.92,8.32,10
13.02,-8.04,20.04,-5.33,13.18,-1.05,0.98,1.03,0.16,104.35,46.5,-19.53,10
2.9,-2.23,20.04,-4.86,8.55,0.35,0.87,0.19,0.01,131.46,51.85,2.89,10
-7.88,4.7,9.92,-1.72,4.0,0.86,0.67,0.08,0.14,192.29,76.98,29.81,10
-5.68,10.74,6.86,-1.96,1.76,-1.01,0.34,0.13,0.08,168.04,72.28,57.09,10
-19.37,9.96,6.11,0.23,2.15,0.47,0.24,0.21,0.02,152.6,64.63,32.03,10
-17.25,8.04,0.62,0.39,2.07,1.92,0.11,0.1,0.0,132.57,51.4,13.76,10
-11.72,4.47,-5.49,-3.53,1.64,2.62,0.0,0.08,0.02,115.64,40.17,1.15,10
1.33,2.15,-16.27,-2.94,2.78,2.86,0.03,0.05,0.03,96.53,22.82,19.34,10
17.8,-1.05,-20.08,-4.94,8.66,3.17,0.32,0.15,0.18,97.55,5.08,27.82,10
20.04,-8.9,-20.08,-6.51,16.59,3.37,1.99,0.8,0.34,107.2,12.81,25.72,10
20.04,-17.22,-17.02,-3.84,20.04,1.41,1.99,0.14,0.41,73.6,106.89,-66.33,10
20.04,-15.29,2.31,-6.98,19.96,1.21,1.54,0.74,0.25,192.75,93.16,-1.04,10
20.04,-10.04,15.57,-4.0,15.53,1.64,1.34,1.07,0.04,169.0,70.59,7.5,10
17.57,-4.55,20.04,-3.13,15.76,0.23,1.45,1.01,0.03,188.1,68.02,-20.53,10
4.94,-4.07,20.04,-4.55,14.59,0.82,1.48,0.72,0.05,220.81,97.53,-31.47,10
-3.96,-2.47,15.76,-2.15,8.86,0.39,0.8,0.51,0.06,252.42,108.36,-12.18,10
-10.47,7.17,7.06,0.86,1.8,-2.0,0.28,0.35,0.24,252.42,104.48,4.53,10
-14.51,9.45,2.03,-1.05,-1.88,-3.21,0.2,0.26,0.08,252.42,98.89,9.59,10
-11.8,9.72,-4.47,-1.8,0.19,-1.45,0.06,0.11,0.07,222.74,92.93,22.49,10
-6.78,5.64,-12.12,-1.8,0.74,-1.17,0.08,0.13,0.05,216.55,75.96,18.01,10
5.49,0.66,-16.2,-3.64,5.17,0.9,0.05,0.19,0.15,196.51,56.52,30.79,10
12.86,-6.78,-13.41,-5.6,11.33,0.0,0.1,0.58,0.29,165.49,45.27,59.15,10
20.04,-17.02,-20.08,-8.0,17.18,-1.17,1.31,1.99,0.12,138.32,36.59,146.67,10
20.04,-16.2,-7.76,-10.82,16.74,0.54,1.99,0.37,-1.56,168.01,-11.86,-80.53,10
20.04,-15.14,8.11,-10.63,15.69,1.09,1.63,1.05,0.48,149.88,77.95,-162.14,10
20.04,-16.47,20.04,-9.61,15.69,0.5,1.99,1.12,0.4,103.17,71.99,-16.3,10
20.04,-11.72,20.04,-8.19,15.33,0.62,1.43,0.98,0.01,176.46,50.99,-36.2,10
7.41,0.78,20.04,-7.1,12.63,0.0,1.01,0.58,0.25,145.68,48.21,1.99,10
-9.57,10.98,15.06,-4.51,7.21,0.86,0.8,0.31,0.48,219.97,43.21,16.38,10
-18.51,15.1,13.37,-4.11,2.98,0.19,0.65,0.21,0.03,214.31,79.6,22.71,10
-14.08,15.1,4.04,-2.43,1.29,0.62,0.21,0.42,0.12,207.75,84.69,28.14,10
-11.29,8.39,-7.53,-1.25,1.37,0.66,0.01,0.28,0.06,186.06,62.24,43.19,10
-4.11,3.76,-14.39,0.15,2.39,1.13,0.17,0.02,0.14,187.38,21.69,68.28,10
4.23,0.19,-16.04,0.15,4.07,1.56,0.13,0.22,0.18,157.78,-1.28,87.43,10
16.94,-8.78,-20.08,-3.21,11.1,5.57,0.54,0.06,0.5,142.58,36.45,19.7,10
20.04,-13.1,-11.76,-3.72,15.84,1.17,0.93,0.13,0.39,107.88,103.74,-58.14,10
20.04,-14.47,-6.19,-4.04,19.45,-1.05,1.92,1.62,0.33,28.52,172.08,-131.01,10
20.04,-12.04,18.31,-3.41,18.71,-3.29,1.9,0.55,0.65,204.52,56.85,10.03,10
19.77,-8.74,20.04,-5.41,17.76,0.35,1.99,0.36,0.15,242.02,59.08,6.11,10
11.57,-2.19,20.04,-3.76,15.21,0.27,1.21,1.31,0.43,249.04,81.64,-28.41,10
-7.17,1.41,20.04,-1.56,9.02,0.78,0.5,0.77,0.02,227.84,97.78,-25.1,10
