d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
6.19,20.04,0.82,-14.2,10.9,2.03,1.34,0.01,-1.28,-68.97,-101.62,38.15,7
4.86,13.92,-1.96,-12.94,20.04,11.96,1.51,0.24,-1.02,-38.12,-38.47,16.7,7
5.17,12.43,2.0,-20.08,20.04,5.72,1.12,0.04,0.57,27.95,-19.96,19.44,7
4.98,13.21,3.76,-20.08,20.04,14.35,1.02,0.12,0.63,-6.44,-19.62,7.63,7
2.23,9.13,0.31,-20.08,20.04,7.1,0.95,0.18,0.9,-19.41,9.72,4.27,7
0.9,7.49,0.11,-7.06,17.88,4.27,0.85,0.2,0.81,10.52,51.16,-12.57,7
1.49,7.84,1.17,-7.96,14.0,3.76,0.79,0.26,0.62,53.52,73.21,-10.49,7
3.96,7.33,0.94,-4.74,11.53,3.05,0.81,0.21,0.52,77.61,94.57,-25.36,7
4.66,7.76,0.27,-2.35,9.49,0.07,0.7,0.22,0.4,60.23,92.58,-52.95,7
6.0,8.62,0.78,-3.13,7.8,0.11,0.76,0.16,0.37,38.33,83.6,-43.06,7
7.17,10.15,-1.45,-3.09,7.72,0.54,0.93,0.03,0.43,37.29,78.77,-38.52,7
7.49,10.86,-3.8,-2.51,6.47,0.15,1.28,0.03,0.58,70.27,62.4,-18.71,7
8.19,10.86,-3.25,-1.13,5.25,0.0,1.54,0.12,0.52,133.42,52.15,3.55,7
11.65,10.63,-3.21,-3.84,3.96,0.15,1.4,0.4,0.29,199.22,46.55,28.03,7
12.19,10.86,-3.64,-5.29,3.41,0.11,1.09,0.28,0.05,187.49,56.3,13.32,7
15.21,11.06,-3.25,-5.57,4.43,0.07,1.1,0.41,0.39,207.33,54.29,17.13,7
11.29,10.0,-2.35,-5.96,5.49,1.6,0.9,0.55,0.35,225.05,68.69,5.47,7
13.84,8.47,-2.31,-7.92,8.31,4.58,0.83,0.37,0.2,184.49,23.92,32.3,7
12.43,6.86,-1.05,-4.27,8.86,1.29,0.81,0.29,0.05,191.92,26.53,14.33,7
10.66,4.9,-1.84,-6.59,9.8,0.74,0.74,0.28,0.09,219.16,40.43,5.86,7
8.7,4.27,-2.51,-4.31,10.43,0.31,0.72,0.26,0.2,240.33,48.88,1.9,7
6.23,2.43,-3.41,-5.53,10.35,0.66,0.69,0.37,0.28,233.61,46.55,3.38,7
6.62,0.86,-3.6,-4.55,9.92,-1.6,0.7,0.39,0.36,206.39,37.5,7.24,7
12.35,0.5,-2.54,-4.0,10.39,0.54,0.92,0.2,0.41,172.8,19.45,20.6,7
12.82,0.07,-2.62,-3.92,10.47,0.35,1.11,0.15,0.35,148.49,19.18,23.89,7
6.08,-2.11,-4.35,-3.84,9.96,-1.01,0.98,0.2,0.2,123.75,26.78,24.43,7
6.66,-4.31,-5.37,-4.47,10.0,0.07,0.93,0.15,0.15,110.1,29.37,38.27,7
8.62,-6.55,-4.82,-3.64,11.72,0.27,0.95,0.3,0.3,154.48,64.89,32.85,7
6.9,-8.43,-4.82,-1.84,11.53,0.35,0.81,0.24,0.29,199.68,98.7,18.63,7
11.76,-9.13,-2.62,0.9,10.35,1.29,1.09,0.48,0.28,204.68,103.65,45.76,7
9.06,-12.94,0.07,0.0,13.14,1.92,1.46,0.29,0.11,168.2,49.95,54.96,7
10.74,-13.41,3.72,-2.94,9.06,0.27,1.12,0.32,0.19,147.75,45.7,-9.88,7
8.39,-11.1,2.94,-4.86,9.37,0.07,0.97,0.51,0.04,134.79,29.62,-1.54,7
4.0,-7.1,1.45,-2.66,8.98,1.05,1.15,0.35,0.18,168.9,19.14,6.56,7
5.17,-2.86,1.88,-2.74,9.13,0.07,1.04,0.38,0.29,201.1,22.13,7.75,7
0.31,-1.33,-1.13,-2.66,9.25,-1.21,0.87,0.52,0.12,224.54,32.48,26.95,7
-1.29,0.39,-2.82,-2.54,9.96,-1.09,0.82,0.54,0.04,224.58,30.46,53.95,7
-1.84,0.7,-3.6,-2.39,11.33,0.94,0.84,0.49,0.13,207.16,27.86,70.5,7
-4.86,4.27,-6.86,-2.31,11.41,-1.21,0.77,0.45,0.04,190.9,41.06,67.42,7
-1.96,6.43,-5.68,-2.62,9.68,0.43,0.65,0.4,0.02,172.1,55.4,78.36,7
-2.43,7.29,-7.68,-2.35,8.0,0.15,0.55,0.32,0.07,177.75,60.52,97.3,7
-4.86,9.49,-8.9,-1.96,6.78,0.58,0.21,0.3,0.11,167.31,42.76,131.76,7
-2.66,12.27,-6.82,0.86,7.21,0.35,0.75,0.07,0.33,161.61,22.3,144.43,7
3.92,11.84,-3.8,0.58,14.63,-1.05,1.92,0.63,1.37,237.21,11.5,114.66,7
13.25,20.04,0.35,-2.23,13.96,-2.11,1.66,0.28,0.94,13.1,8.34,66.24,7
20.04,20.04,10.51,-2.78,11.61,0.98,1.18,0.23,0.82,12.42,8.09,49.29,7
20.04,20.04,20.04,-5.17,13.69,6.39,1.23,0.29,0.26,-44.99,2.41,42.66,7
20.04,20.04,11.96,-7.33,13.69,9.06,1.17,0.58,0.46,-19.21,8.76,46.44,7
15.37,14.08,8.98,-10.66,12.27,2.19,0.97,0.61,0.44,-4.38,-7.1,-15.45,7
12.0,13.72,4.9,-9.57,8.98,4.31,0.7,0.45,0.3,-50.78,-10.36,-54.58,7
7.84,9.1,1.72,-11.88,6.7,4.23,0.55,0.43,0.19,-80.42,-22.8,-55.06,7
3.49,9.29,1.8,-10.59,5.06,1.17,0.63,0.43,0.01,-102.82,-15.59,-70.87,7
4.86,8.04,-1.49,-10.94,5.49,1.49,0.69,0.33,0.0,-111.29,-3.31,-101.98,7
6.74,10.82,-1.33,-9.57,7.1,1.8,0.89,0.23,0.07,-107.44,-10.72,-110.46,7
4.74,7.96,-1.52,-10.98,8.23,0.94,1.27,0.11,0.13,-102.03,-26.07,-85.83,7
5.21,3.96,-1.68,-12.31,9.17,0.03,1.47,0.07,0.2,-120.93,-46.9,-79.23,7
4.43,1.37,0.15,-15.84,10.08,-2.0,1.27,0.19,0.3,-153.23,-75.43,-55.96,7
1.01,0.11,0.15,-17.69,11.25,-2.74,1.14,0.1,0.09,-172.08,-78.89,-16.56,7
0.35,0.27,0.78,-19.02,11.37,-1.64,1.0,0.57,0.04,-201.66,-54.27,-2.27,7
2.0,0.47,0.82,-18.2,10.98,-1.29,1.05,0.52,0.06,-185.18,-31.43,4.34,7
4.35,3.21,1.05,-15.18,8.31,-1.17,0.88,0.5,0.02,-150.54,0.81,-43.37,7
7.21,6.23,1.88,-12.19,6.7,0.03,0.79,0.38,0.0,-164.89,1.36,-49.54,7
1.37,7.88,-1.92,-9.41,3.25,0.58,0.76,0.49,0.0,-178.21,-14.78,-54.0,7
1.96,16.51,-2.58,-8.23,1.13,0.94,0.7,0.3,0.0,-190.16,-17.89,-55.62,7
7.13,19.65,-2.07,-6.35,-1.52,0.31,0.73,0.36,0.0,-178.57,-10.73,-45.11,7
13.21,16.2,-4.35,-5.92,-5.21,0.98,0.84,0.56,0.1,-178.6,-6.49,-48.01,7
11.1,12.0,-3.25,-7.45,-6.39,2.27,0.95,0.52,0.1,-178.84,-12.27,-58.72,7
