d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
4.86,8.7,-2.31,0.7,8.86,5.96,0.86,0.15,0.23,24.53,13.53,13.14,4
4.62,8.11,-1.72,-1.56,8.39,3.72,0.84,0.18,0.22,29.13,24.18,13.35,4
4.07,8.15,-1.56,-2.7,8.55,2.62,0.87,0.25,0.22,30.47,27.0,11.56,4
3.33,9.06,-1.13,-2.7,8.7,2.66,0.88,0.24,0.27,28.86,28.39,5.92,4
3.05,9.76,-1.09,-2.19,8.94,2.74,0.88,0.24,0.24,23.39,27.4,6.76,4
3.05,9.92,0.74,-2.35,9.13,3.49,0.97,0.26,0.16,17.46,20.53,10.47,4
2.66,11.53,0.94,-1.21,9.72,5.21,1.25,0.33,0.07,15.07,5.47,19.27,4
2.9,11.65,0.82,-1.13,10.35,5.17,1.12,0.22,0.01,24.65,-5.62,25.89,4
3.8,11.02,0.54,-1.72,9.76,4.58,1.0,0.37,0.18,22.91,-9.08,18.87,4
3.53,11.14,0.43,-4.31,9.33,5.6,0.77,0.21,0.22,3.44,-12.15,10.16,4
2.23,9.96,0.07,0.47,8.0,5.29,0.86,0.08,0.29,7.04,-7.85,0.23,4
1.56,9.8,0.47,0.86,9.17,5.21,0.94,0.18,0.21,14.77,4.06,0.98,4
1.17,9.96,0.74,-2.19,9.84,4.78,0.98,0.27,0.22,10.78,2.09,2.52,4
1.56,9.64,-1.29,-3.33,9.68,4.51,0.93,0.22,0.23,8.52,0.02,0.74,4
2.31,9.1,-1.52,-2.86,9.49,4.66,0.88,0.18,0.27,11.55,4.77,-6.07,4
3.09,8.43,-1.29,-2.58,8.86,4.35,0.84,0.2,0.28,10.28,8.76,-14.85,4
3.05,8.62,-1.68,-2.58,8.27,4.15,0.86,0.21,0.35,3.06,7.56,-19.76,4
3.13,8.62,-1.64,-2.62,7.84,4.04,0.87,0.18,0.34,-1.45,8.17,-18.92,4
2.86,8.74,-1.56,-2.58,7.84,3.8,0.89,0.19,0.34,-3.31,8.49,-18.3,4
3.02,9.53,-2.0,-2.58,8.04,3.92,0.95,0.21,0.32,-6.02,6.82,-16.42,4
2.9,10.19,-2.0,-2.51,8.39,3.8,0.99,0.2,0.28,-5.44,5.49,-14.22,4
3.05,11.33,-2.23,-2.94,9.61,3.88,1.15,0.24,0.18,-1.43,2.35,-6.89,4
3.53,11.8,-1.56,-2.94,10.94,4.9,1.25,0.37,0.05,1.27,1.49,0.02,4
3.09,11.8,0.86,-1.25,12.35,4.82,1.22,0.45,0.02,-4.42,-12.73,5.83,4
3.37,11.61,0.15,-3.84,11.33,2.54,1.08,0.35,0.03,10.58,-10.45,5.42,4
3.72,10.31,0.66,-3.41,10.0,1.72,1.13,0.13,0.03,40.17,18.08,10.42,4
2.58,9.68,1.56,-2.86,11.06,1.49,1.12,0.45,0.12,22.32,7.98,13.5,4
2.51,9.61,1.8,-2.54,9.76,0.47,0.97,0.38,0.11,1.45,-14.14,16.3,4
1.64,10.39,1.92,-2.94,9.45,0.19,0.94,0.31,0.21,4.33,-19.75,17.37,4
1.09,10.27,2.54,-2.54,9.49,0.23,0.96,0.32,0.26,10.32,-19.33,5.56,4
0.78,9.64,2.86,-2.27,8.31,0.5,0.85,0.32,0.2,18.62,-20.87,3.4,4
0.54,9.02,2.86,-2.43,8.19,0.66,0.81,0.35,0.17,18.47,-19.35,0.31,4
0.43,9.06,2.58,-2.54,8.43,0.27,0.84,0.33,0.14,11.11,-17.69,-5.85,4
0.03,9.21,2.66,-3.53,9.17,0.39,0.9,0.33,0.16,7.12,-11.52,-7.38,4
0.27,9.61,2.11,-3.56,9.84,1.13,1.04,0.3,0.12,7.91,-6.99,-5.42,4
