d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
2.0,-11.06,-12.67,-12.39,-10.12,-10.39,1.28,0.42,0.03,26.24,14.29,-7.63,6
-15.65,-11.72,-6.59,-1.52,-8.59,-7.64,0.88,0.44,0.02,45.46,42.75,-18.5,6
-19.92,-5.8,0.47,15.06,-9.17,0.23,0.63,0.36,0.0,-2.23,16.43,-20.57,6
4.62,-10.0,-15.53,6.15,-5.92,2.9,0.58,0.25,0.13,-30.16,-1.36,-18.33,6
13.61,-7.57,-6.9,1.92,-5.41,2.0,0.54,0.12,0.21,-8.76,-3.53,1.43,6
13.29,-6.74,-4.23,-5.25,2.86,0.58,0.67,0.01,0.11,34.36,0.1,29.44,6
7.29,-6.47,-3.02,-8.04,-4.62,-6.15,0.91,0.28,0.12,75.51,23.38,22.11,6
15.53,-9.29,0.0,-20.08,-10.12,-5.57,1.65,0.77,0.43,61.88,31.53,26.78,6
20.04,-9.25,-9.76,-20.08,-10.04,-8.94,1.72,0.62,0.51,2.81,12.28,5.72,6
2.86,-9.88,-15.49,-12.9,-8.55,-6.19,0.89,0.71,0.31,-26.63,-7.91,-9.49,6
-20.08,-9.57,-3.8,0.74,-8.31,-5.45,0.7,0.19,0.08,-14.51,-16.25,-12.46,6
-16.27,-3.92,-4.15,9.57,-6.86,-3.68,0.71,0.05,0.01,9.31,4.92,-6.82,6
1.6,-4.23,-18.0,12.86,-5.53,0.66,0.65,0.0,0.03,8.1,16.69,0.67,6
6.94,-3.88,-15.57,6.86,-5.64,1.92,0.69,0.19,0.06,-13.79,-3.79,15.65,6
20.04,-5.37,-5.13,3.76,-4.35,-2.19,0.68,0.34,0.0,-40.31,-36.32,23.26,6
6.62,-9.06,-4.23,0.94,-12.23,-14.82,1.02,0.52,0.01,-42.08,-55.36,29.81,6
12.08,-10.47,-4.82,-12.98,-10.51,-13.84,1.66,0.42,0.18,-19.48,-29.3,2.34,6
19.18,-10.74,-7.1,-20.08,-9.17,-10.04,1.54,0.51,0.04,19.49,18.62,-16.51,6
-3.96,-12.55,-14.16,-17.96,-8.11,-6.31,1.11,0.41,0.16,54.78,41.66,-5.78,6
-20.08,-10.59,0.58,-14.82,-7.68,-10.47,0.78,0.37,0.03,8.97,14.5,-6.38,6
-5.41,-6.15,-5.21,1.21,-8.55,-8.43,0.59,0.28,0.01,-26.7,-3.97,-14.27,6
1.8,-4.55,-16.78,17.29,-7.68,-1.29,0.54,0.21,0.23,-32.81,-1.91,-6.15,6
20.04,-6.98,-6.43,16.39,-5.37,1.88,0.63,0.0,0.27,-1.22,4.69,6.91,6
11.49,-6.27,-1.05,0.7,-5.96,-8.27,0.81,0.0,0.18,54.82,20.05,24.21,6
9.61,-8.59,-4.66,0.66,0.15,-16.31,1.4,0.49,0.26,80.15,34.16,23.46,6
20.04,-8.47,-7.92,-16.94,-3.56,-10.86,1.62,0.58,0.43,46.77,29.63,-1.22,6
13.29,-7.53,-16.82,-20.08,-6.04,-5.6,1.12,0.66,0.45,3.2,8.08,-2.47,6
-13.02,-11.06,-8.47,-16.98,-7.17,-9.76,0.88,0.52,0.17,-29.18,-6.12,-24.09,6
-15.65,-4.78,-2.94,-10.51,-7.72,-12.67,0.78,0.14,0.02,11.16,-11.08,-25.56,6
3.13,-4.35,-11.92,9.13,-9.33,-7.49,0.8,0.03,0.0,19.03,3.96,-13.33,6
14.67,-3.96,-7.84,16.12,-8.59,0.74,0.64,0.04,0.1,17.75,11.14,-14.98,6
20.04,-4.74,0.7,9.37,-6.98,3.88,0.58,0.2,0.19,-16.79,-4.35,6.68,6
20.04,-6.15,-1.64,0.82,-8.66,-2.27,0.65,0.26,0.22,-41.54,-32.94,21.66,6
19.88,-6.31,-8.86,-1.17,-17.33,-11.68,1.09,0.63,0.2,-50.27,-40.12,18.66,6
1.05,-10.66,-17.14,-13.57,-15.18,-12.59,1.82,0.78,0.25,-60.6,-29.62,-1.3,6
-20.08,-10.9,4.39,-18.55,-7.8,-9.84,1.55,0.37,0.08,-33.24,-8.4,-22.53,6
3.33,-10.19,-15.69,-13.92,-6.43,-4.31,1.02,0.57,0.12,28.18,27.73,-1.62,6
9.68,-8.11,-17.49,-13.33,-6.66,-6.23,0.7,0.39,0.0,19.52,21.42,-3.65,6
20.04,-5.6,0.07,-6.55,-6.23,-9.13,0.51,0.25,0.06,-20.65,-8.41,-10.88,6
13.61,-4.51,-8.62,4.9,-7.25,-6.35,0.57,0.04,0.25,-27.52,-19.91,0.18,6
1.17,-5.17,-15.53,11.8,-6.43,0.19,0.66,0.03,0.25,1.71,-9.83,27.18,6
-15.29,-7.72,-8.9,5.72,-6.7,4.51,0.78,0.16,0.0,39.4,8.63,32.93,6
-17.8,-8.43,-5.64,10.39,-11.25,1.45,1.34,0.6,0.6,48.29,27.31,10.83,6
3.84,-13.06,-20.08,-6.23,-6.31,-16.2,1.82,0.67,0.4,0.4,14.49,10.92,6
20.04,-8.82,-15.84,-10.12,-8.59,-13.65,1.22,0.68,0.28,-32.69,-13.36,-8.14,6
20.04,-6.74,-5.41,-20.08,-8.94,-2.74,0.95,0.28,0.12,-37.74,-25.3,-14.59,6
7.8,-8.9,-12.78,-15.1,-7.41,-2.66,0.81,0.07,0.07,19.49,2.36,-16.88,6
5.8,-5.96,-7.37,-10.15,-6.27,-10.19,0.54,0.01,0.02,33.59,24.14,-20.56,6
-2.03,-5.68,-6.51,0.07,-5.25,-9.29,0.48,0.09,0.17,33.23,25.0,-29.46,6
-10.86,-5.84,-1.6,11.68,-7.41,-3.49,0.48,0.24,0.17,-21.73,-1.66,-24.33,6
-10.78,-5.13,0.78,17.1,-6.27,3.53,0.74,0.37,0.12,-59.06,-33.14,-3.64,6
1.45,-9.61,-15.96,5.6,-12.31,0.62,1.21,0.72,0.07,-56.28,-49.98,32.05,6
13.84,-10.9,-12.0,-4.0,-14.0,-8.78,1.74,0.67,0.26,-27.53,-51.16,12.66,6
20.04,-10.0,-2.07,-12.67,-10.19,-12.43,1.5,0.49,0.01,64.39,5.72,-14.86,6
11.53,-9.64,-5.25,-12.12,-11.06,-10.12,1.06,0.49,0.08,69.37,51.03,-18.17,6
6.78,-8.23,-10.82,-14.08,-5.02,-1.33,0.7,0.55,0.09,-10.22,23.63,-19.3,6
-4.58,-8.11,-10.63,-13.8,-3.25,-4.23,0.57,0.11,0.05,-40.38,-2.3,-7.39,6
-20.08,-7.13,-1.09,-10.51,-5.64,-13.61,0.49,0.1,0.18,-17.73,-8.68,15.18,6
-11.25,-4.82,-7.92,7.37,-9.33,-9.53,0.65,0.11,0.3,-10.93,-6.36,36.91,6
7.92,-7.37,-11.33,20.04,-10.31,2.74,0.87,0.17,0.19,29.5,4.63,52.54,6
20.04,-11.1,-7.13,6.82,-12.82,6.55,1.21,0.47,0.45,60.98,32.85,23.5,6
16.67,-10.23,-8.19,-1.56,-13.8,-1.01,1.79,0.64,0.61,50.71,27.89,-2.34,6
13.18,-11.02,-9.96,-2.7,-13.88,-13.37,1.33,0.75,0.36,-12.53,12.56,-17.36,6
7.49,-10.31,-9.41,-4.07,-9.96,-11.21,1.01,0.3,0.05,-49.58,0.81,-22.95,6
-2.74,-9.57,-8.27,-16.16,-4.51,-3.33,0.84,0.06,0.07,1.64,-5.81,-8.5,6
-20.08,-5.84,-1.8,-15.21,-4.74,4.11,0.55,0.03,0.04,50.6,7.23,2.37,6
1.41,-3.8,-12.08,-20.08,-5.76,-8.35,0.45,0.0,0.04,67.91,21.89,-3.25,6
6.78,-3.68,-18.67,-5.68,-2.86,-17.06,0.4,0.18,0.09,-4.09,-2.2,0.67,6
20.04,-3.92,-1.56,16.74,-10.94,-4.51,0.51,0.38,0.17,-60.15,-29.07,0.03,6
17.84,-7.8,-6.62,16.94,-6.9,4.27,1.09,0.6,0.15,-79.35,-49.39,15.76,6
10.04,-12.94,-15.72,-6.7,-14.12,7.76,1.99,0.58,0.19,-61.23,-29.65,-4.38,6
-20.08,-14.27,0.74,0.19,-8.0,1.68,1.53,0.5,0.08,25.13,16.31,-22.56,6
-1.64,-9.76,-5.49,-6.23,-15.14,-15.1,1.02,0.59,0.21,56.78,39.5,-9.94,6
8.39,-10.39,-9.29,-5.96,-11.8,-16.71,0.76,0.47,0.01,-5.42,18.8,-18.1,6
18.0,-7.84,-3.21,-20.08,-2.98,0.19,0.61,0.18,0.02,-30.4,-1.1,-24.66,6
15.37,-4.55,0.78,-18.82,-6.78,-7.96,0.52,0.13,0.24,-19.5,-15.2,-8.3,6
11.72,-4.0,-10.35,-9.37,-7.72,-20.08,0.61,0.05,0.33,9.22,-10.36,8.66,6
7.25,-3.29,-14.55,9.41,-6.08,-8.51,0.73,0.11,0.12,70.57,10.37,24.85,6
-6.98,-7.57,-14.7,20.04,-9.33,2.51,0.99,0.39,0.15,65.72,14.7,28.5,6
-20.08,-14.82,-1.76,0.58,-14.04,5.06,1.7,0.63,0.63,26.04,13.01,17.47,6
-4.58,-11.1,-16.2,2.23,-9.96,1.92,1.36,0.92,0.47,-37.95,5.58,11.62,6
7.92,-9.72,-15.25,-5.53,-14.78,-14.2,1.21,0.52,0.28,-30.18,-10.78,-2.02,6
20.04,-10.55,-9.57,-8.0,-9.06,-11.45,1.05,0.23,0.06,7.84,-10.08,-10.92,6
20.04,-7.06,-4.23,-20.08,-6.66,0.47,0.84,0.0,0.07,26.78,6.22,-17.0,6
6.98,-7.57,-8.9,-18.04,-6.31,-7.25,0.56,0.04,0.01,51.55,28.4,-19.65,6
-1.17,-6.35,-11.02,-13.21,-6.86,-16.16,0.33,0.09,0.18,17.97,19.08,-14.26,6
-13.37,-6.08,-2.7,5.84,-6.08,-9.72,0.41,0.33,0.17,-24.32,-12.62,-15.53,6
-16.59,-5.76,0.11,20.04,-9.72,0.0,0.95,0.41,0.08,-72.72,-40.65,6.18,6
0.43,-10.98,-14.86,8.23,-12.47,4.43,1.72,0.66,0.09,-56.68,-36.68,25.78,6
20.04,-10.08,-9.68,-7.06,-10.43,-5.37,1.38,0.75,0.1,-15.52,-16.81,-2.95,6
20.04,-9.92,2.82,3.84,-6.08,-18.35,1.18,0.42,0.18,33.74,26.2,-18.58,6
10.66,-9.21,0.35,-11.84,-6.74,-12.04,0.85,0.6,0.06,21.16,30.62,-21.69,6
5.88,-7.84,-9.84,-20.08,-5.29,0.82,0.77,0.29,0.04,-24.83,3.41,-18.46,6
-4.94,-9.25,-10.86,-19.53,-7.02,-7.1,0.6,0.13,0.21,-9.72,-6.67,-10.46,6
-20.08,-7.53,0.35,-12.0,-6.74,-18.12,0.56,0.11,0.24,20.55,-4.47,-3.57,6
-6.19,-5.37,-10.94,11.25,-8.19,-8.31,0.67,0.12,0.17,41.84,11.65,7.67,6
4.7,-7.49,-12.04,20.04,-7.64,3.56,0.82,0.35,0.01,56.23,18.39,31.79,6
20.04,-11.33,-7.21,10.66,-11.49,2.11,1.41,0.71,0.44,36.62,11.78,31.67,6
20.04,-10.78,-10.35,-4.43,-9.68,-7.92,1.79,0.49,0.48,19.03,20.14,-2.17,6
9.68,-12.67,-13.96,-7.25,-8.98,-12.47,1.03,0.65,0.19,-1.5,1.11,-9.78,6
-6.19,-10.39,-10.31,-14.31,-6.23,-9.57,0.85,0.33,0.09,-19.57,-5.35,-28.06,6
-20.08,-8.31,-1.49,-15.88,-7.57,0.11,0.7,0.14,0.04,23.11,9.4,-28.46,6
-1.52,-5.6,-12.04,-11.29,-6.23,-3.92,0.61,0.08,0.06,27.33,14.57,-14.91,6
2.27,-2.39,-15.88,-9.57,-5.45,-10.94,0.56,0.16,0.1,4.52,-3.03,-1.27,6
20.04,-3.21,0.27,3.02,-4.98,-11.57,0.53,0.34,0.07,-35.47,-35.46,7.03,6
20.04,-6.08,-2.51,18.51,-10.9,-4.15,0.76,0.39,0.04,-54.56,-52.48,23.95,6
9.1,-8.43,-13.41,16.27,-12.27,4.9,1.59,0.68,0.03,-30.24,-33.61,31.99,6
-20.08,-12.74,-5.8,-4.7,-12.86,-1.25,1.68,0.78,0.11,-15.05,9.65,-13.59,6
-15.8,-8.0,2.7,0.82,-11.41,-8.74,1.27,0.61,0.22,21.89,25.66,-12.22,6
7.33,-11.17,-12.35,-12.7,-14.43,-13.18,1.01,0.52,0.1,0.24,19.9,3.35,6
6.31,-8.43,-12.67,-14.9,0.66,-2.7,0.71,0.32,0.0,-22.41,7.82,6.32,6
20.04,-4.27,2.66,-9.45,-6.04,0.86,0.53,0.09,0.22,-7.11,-15.17,12.68,6
13.45,-3.33,-1.05,-13.72,-7.64,-5.13,0.52,0.02,0.32,21.36,-21.83,18.83,6
10.27,-3.72,-9.41,-13.8,-5.49,-10.12,0.61,0.01,0.27,51.04,5.11,18.86,6
4.62,-6.23,-9.72,0.19,-5.37,-12.0,0.68,0.33,0.05,55.33,33.17,2.84,6
-8.7,-11.57,-6.11,20.04,-12.0,2.11,1.05,0.85,0.5,23.81,33.21,4.66,6
-18.24,-11.72,3.09,9.8,-11.92,4.07,1.99,0.49,0.48,31.49,25.08,2.99,6
3.29,-12.12,-10.35,-5.49,-9.96,-9.53,1.14,0.88,0.37,-19.2,6.86,0.6,6
2.47,-12.27,-16.82,7.64,6.08,-20.08,1.01,0.49,0.18,-32.6,-16.94,-4.57,6
15.72,-6.98,-9.1,-13.33,0.54,-7.57,0.84,0.21,0.06,31.71,-2.55,-19.48,6
20.04,-3.72,1.05,-20.08,-4.51,3.02,0.67,0.03,0.1,33.02,12.08,-14.81,6
14.78,-4.78,-8.35,-16.31,-5.8,-5.29,0.51,0.05,0.06,41.59,15.14,-11.03,6
10.04,-4.86,-14.7,-9.06,-6.31,-18.67,0.6,0.14,0.16,16.46,8.13,-6.26,6
-9.64,-6.0,-11.1,9.88,-6.23,-6.7,0.66,0.44,0.16,-21.53,-23.92,8.92,6
-20.08,-8.23,4.31,20.04,-7.53,4.9,1.07,0.51,0.14,-48.58,-45.22,22.72,6
1.29,-10.74,-4.07,-1.56,-13.65,-2.58,1.65,0.76,0.12,-51.85,-25.71,18.28,6
12.08,-12.27,-12.51,-5.09,-11.17,-16.35,1.51,0.55,0.01,-4.24,11.03,-2.4,6
13.69,-11.53,-4.82,-16.0,-3.02,-20.08,1.16,0.39,0.08,22.56,44.22,-13.81,6
18.43,-9.13,6.98,-20.08,-3.05,-3.53,0.88,0.42,0.1,4.42,39.46,-15.11,6
13.49,-7.49,-2.11,-13.72,-6.9,-3.09,0.68,0.33,0.0,-27.09,9.82,-20.52,6
11.33,-6.08,-8.51,-11.8,-8.82,-18.86,0.61,0.24,0.12,-36.12,-2.47,-13.73,6
-4.9,-7.06,-14.0,0.5,-5.88,-15.53,0.64,0.02,0.15,-3.2,-8.85,24.4,6
-20.08,-7.6,-1.6,14.78,-6.35,-1.33,0.82,0.09,0.12,39.02,-2.3,51.32,6
0.98,-9.53,-3.45,16.55,-6.82,5.53,0.9,0.41,0.18,48.19,16.98,38.43,6
5.06,-12.78,-15.33,0.54,-10.55,-10.19,1.22,0.93,0.47,8.44,11.36,35.38,6
5.68,-8.86,-11.45,-6.27,-9.17,-13.65,1.64,0.4,0.31,30.65,0.37,0.41,6
14.55,-9.21,-8.94,-14.86,-7.84,-11.96,1.15,0.35,0.19,0.57,-3.05,-16.44,6
11.53,-8.11,-6.9,-20.08,-7.02,-2.35,0.96,0.32,0.06,14.25,0.92,-12.61,6
15.53,-10.94,-7.33,-15.29,-8.23,-2.58,0.77,0.14,0.04,47.78,13.09,-11.81,6
13.21,-9.45,-13.96,-15.33,-6.27,-8.08,0.72,0.04,0.14,37.93,9.85,-13.75,6
-12.04,-5.92,-15.02,1.68,-5.64,-12.35,0.57,0.15,0.22,13.58,6.87,-13.69,6
-20.08,-5.37,2.94,20.04,-7.88,0.74,0.39,0.2,0.11,-23.79,-11.68,-2.71,6
-5.76,-5.76,-8.74,13.18,-8.55,3.64,0.56,0.36,0.06,-61.19,-33.3,1.62,6
14.04,-9.68,-13.65,-3.8,-8.15,-3.17,1.08,0.5,0.19,-47.72,-36.89,12.82,6
20.04,-12.08,0.86,-4.62,-10.51,-10.43,1.99,0.56,0.04,-17.23,-28.55,9.18,6
16.16,-12.0,0.5,-10.7,-20.08,-14.08,1.49,0.47,0.11,-27.6,-6.73,-17.17,6
10.23,-10.19,-2.19,-15.53,-9.92,-6.78,1.03,0.46,0.18,-13.86,25.96,-22.49,6
10.9,-7.8,-8.23,-14.39,-6.94,0.78,0.7,0.53,0.0,-8.3,31.79,-26.19,6
-20.08,-7.17,-2.78,-16.67,-7.76,-5.6,0.64,0.32,0.15,-24.78,6.1,-29.47,6
-11.41,0.58,-9.25,-12.0,-6.27,-13.96,0.64,0.12,0.23,-14.98,-4.92,-16.01,6
-1.72,-3.8,-13.29,9.1,-8.39,-10.51,0.54,0.06,0.2,7.47,0.39,18.49,6
20.04,-6.98,-4.86,17.88,-7.13,1.84,0.67,0.05,0.05,35.15,1.43,52.05,6
20.04,-7.33,-6.11,7.8,-8.86,4.23,1.09,0.4,0.42,20.42,2.11,36.68,6
14.67,-14.74,-19.77,-1.33,-14.04,-5.02,1.68,0.73,0.64,-27.95,5.76,14.19,6
-4.82,-13.76,-14.78,1.05,-13.65,-16.2,1.43,0.7,0.51,-35.41,7.76,-11.07,6
-20.08,-12.82,0.66,-9.37,-7.76,-9.1,1.25,0.51,0.14,-50.1,-9.38,-24.95,6
-1.64,-10.04,-12.27,-20.08,-6.15,-1.84,1.04,0.25,0.03,-14.11,-3.57,-11.54,6
4.04,-6.74,-12.7,-17.29,-6.98,-3.6,0.71,0.08,0.03,37.69,7.85,-6.67,6
20.04,-6.39,-3.84,-12.94,-5.49,-14.74,0.54,0.1,0.0,44.75,13.34,-3.72,6
20.04,-5.68,-3.76,6.9,-5.8,-15.72,0.48,0.08,0.11,10.13,-2.6,-3.43,6
15.25,-4.58,-10.63,20.04,-7.53,0.98,0.42,0.16,0.13,-24.71,-14.64,1.56,6
5.17,-3.64,-13.29,7.84,-4.04,3.33,0.55,0.27,0.12,-60.11,-31.35,7.37,6
-13.41,-8.19,-12.23,2.86,-10.63,-3.56,0.92,0.42,0.26,-47.05,-45.99,8.04,6
-20.08,-12.35,5.76,-10.74,-20.08,-14.43,1.9,0.82,0.03,-26.92,-53.9,6.19,6
0.43,-9.17,0.9,-8.43,-10.51,-8.86,1.71,0.53,0.08,-18.98,-8.28,-27.56,6
1.96,-9.64,-15.33,-7.1,-8.47,-6.66,1.1,0.52,0.19,24.38,32.53,-19.68,6
2.27,-7.76,-12.59,-20.08,-7.41,0.86,0.75,0.49,0.05,10.94,35.37,-26.81,6
16.55,-7.96,-6.35,-20.08,-7.92,-5.6,0.61,0.28,0.04,-25.22,6.85,-28.91,6
17.06,-7.45,-3.29,-10.35,-7.21,-15.76,0.61,0.11,0.16,-30.76,0.55,-16.24,6
12.74,-7.17,-9.84,10.74,-6.51,-12.23,0.54,0.03,0.18,-21.56,2.68,8.21,6
3.64,-4.07,-16.0,20.04,-4.62,2.15,0.6,0.11,0.0,8.83,2.96,42.85,6
-16.98,-8.55,-10.9,0.78,-6.98,4.98,1.05,0.48,0.48,21.53,6.43,42.34,6
-17.25,-11.49,2.78,0.7,-11.37,0.35,1.83,0.58,0.44,12.18,-3.23,30.79,6
1.21,-11.57,-2.51,-2.27,-8.19,-12.9,1.35,0.67,0.26,-21.98,-1.36,3.24,6
4.98,-10.04,-16.23,-4.11,-8.35,-11.33,1.08,0.46,0.05,-15.56,-19.68,-4.75,6
9.68,-8.19,-12.67,-16.35,-7.8,-4.55,1.01,0.19,0.01,55.26,3.85,-7.79,6
15.8,-7.53,-3.45,-20.08,-7.64,0.31,0.85,0.03,0.06,78.84,26.28,-12.33,6
20.04,-7.02,0.54,-20.08,-8.08,-10.63,0.57,0.11,0.12,49.12,15.63,-8.86,6
17.29,-6.08,-9.25,-9.25,-3.88,-17.53,0.39,0.19,0.2,6.25,2.97,-9.3,6
8.19,-3.6,-17.25,15.65,-7.06,-7.72,0.29,0.26,0.12,-23.72,-9.91,0.79,6
-10.39,-6.11,-8.94,14.12,-7.92,2.58,0.65,0.29,0.09,-49.99,-19.95,2.53,6
-20.08,-7.02,3.45,-2.31,-7.21,5.88,1.26,0.28,0.17,-24.18,-24.65,13.08,6
-4.62,-9.61,-2.0,0.7,-13.76,-2.66,1.99,0.85,0.11,-1.81,-19.12,19.43,6
4.94,-9.88,-12.12,3.6,6.47,-16.98,1.36,0.74,0.24,-3.98,-10.68,-2.89,6
6.39,-8.15,-14.9,-14.43,-10.0,-15.02,1.0,0.47,0.29,14.46,9.37,0.05,6
20.04,-8.47,-1.96,-20.08,-4.23,-1.29,0.94,0.35,0.07,-7.35,16.94,-14.14,6
18.63,-8.39,-1.6,-9.02,-4.7,0.03,0.71,0.24,0.1,-38.73,0.71,-25.57,6
14.16,-8.08,-10.43,-11.76,-7.49,-7.72,0.65,0.3,0.2,-33.02,-11.46,-18.35,6
0.86,-6.27,-14.35,-2.62,-7.57,-9.57,0.58,0.03,0.25,10.18,-11.59,-1.65,6
-15.57,-6.7,-5.21,10.0,-9.41,-4.55,0.63,0.03,0.11,54.68,1.08,25.98,6
-9.92,-7.96,4.98,18.63,-10.08,7.02,0.77,0.37,0.21,46.92,18.76,21.23,6
2.82,-13.72,1.41,5.57,-12.35,7.96,1.08,1.06,0.57,-32.54,-3.17,17.9,6
0.78,-13.61,-6.9,-5.57,-13.1,-2.39,1.91,0.47,0.36,-44.06,-17.96,-10.61,6
1.64,-9.88,-11.21,5.29,-10.98,-13.02,1.21,0.49,0.11,-7.53,-12.3,-16.53,6
5.68,-7.92,-11.25,-5.8,-5.6,-13.65,1.09,0.3,0.04,12.74,18.37,-29.28,6
20.04,-7.29,-2.9,-18.51,-3.92,-4.19,0.88,0.18,0.09,58.3,50.21,-42.1,6
20.04,-6.35,-3.17,-11.02,-4.7,0.11,0.7,0.11,0.1,63.06,44.92,-25.35,6
15.72,-6.39,-16.59,-16.39,-5.88,-4.27,0.54,0.11,0.06,24.29,16.1,-3.46,6
-9.72,-3.96,-10.55,-12.0,-4.07,-10.51,0.36,0.2,0.07,-7.21,-9.2,14.8,6
-18.86,-5.88,1.8,12.47,-8.66,-14.63,0.53,0.31,0.12,-18.1,-31.73,36.79,6
-7.8,-6.19,5.68,20.04,-13.72,-1.05,1.08,0.55,0.0,-5.96,-23.28,35.46,6
1.52,-9.1,-1.64,1.68,-9.57,10.23,1.93,1.11,0.38,2.09,-13.2,45.05,6
5.8,-10.47,-7.17,-2.9,-11.88,4.35,1.54,0.5,0.15,16.79,-11.74,-6.76,6
4.66,-10.78,-8.47,7.1,4.58,-15.06,1.18,0.53,0.35,36.53,22.2,0.24,6
17.22,-9.61,-4.15,-9.37,-8.43,-9.17,0.91,0.67,0.22,-1.86,11.32,-8.56,6
17.45,-7.8,0.7,-17.92,-6.55,-6.31,0.74,0.42,0.01,-54.08,-12.35,-23.59,6
14.51,-6.9,-2.58,-15.61,-5.45,0.47,0.7,0.07,0.18,-55.27,-32.58,-12.59,6
13.72,-6.35,-12.35,-15.92,-4.47,-7.49,0.7,0.1,0.24,-6.03,-27.23,29.4,6
-1.49,-4.62,-13.21,-5.64,-2.82,-13.92,0.53,0.01,0.24,49.01,-5.73,34.49,6
