d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
0.31,1.56,1.6,-7.02,-1.29,1.45,0.76,0.47,0.18,-32.99,-2.23,-8.53,9
0.03,0.7,0.39,-5.45,-2.19,1.8,0.83,0.44,0.2,-30.94,2.66,-6.65,9
0.03,-2.74,-1.56,-3.68,-2.7,2.54,0.93,0.36,0.33,-6.15,0.21,-1.27,9
0.94,-6.15,-4.0,-2.27,-2.82,2.19,0.76,0.54,0.33,20.18,0.48,-15.78,9
2.47,-5.68,-1.68,0.86,-2.11,3.41,0.6,0.59,0.26,22.92,3.02,-7.07,9
3.25,-6.04,-1.92,0.31,-3.29,4.78,1.0,0.63,0.12,12.47,-20.17,12.03,9
5.88,-5.76,0.9,0.98,-5.49,5.72,1.59,0.78,0.45,-22.86,-46.44,33.24,9
6.55,-4.35,3.02,0.82,-3.72,8.59,1.34,0.33,0.21,-43.47,-35.37,42.56,9
6.39,-3.76,2.39,0.82,-2.58,9.25,0.8,0.4,0.08,-46.62,-34.45,39.63,9
9.06,-2.62,3.41,0.11,-1.8,9.64,0.91,0.29,0.16,-62.76,-27.82,20.4,9
11.02,-2.19,5.57,-2.54,0.23,12.35,1.18,0.33,0.19,-27.31,-12.37,-7.01,9
12.43,-1.01,6.55,-3.29,0.78,13.53,1.28,0.04,0.11,3.09,-2.72,-17.75,9
12.31,0.03,7.64,-4.23,2.94,15.45,1.28,0.25,0.0,9.93,0.55,14.66,9
10.78,0.66,7.72,-5.06,3.33,14.86,0.9,0.35,0.08,18.33,14.32,23.53,9
10.15,0.07,7.84,-6.11,4.78,15.25,0.72,0.2,0.12,14.75,15.48,39.3,9
8.7,0.07,7.6,-6.39,3.53,12.74,0.71,0.11,0.02,23.42,25.98,32.68,9
7.49,0.11,7.25,-5.6,2.27,10.7,0.8,0.07,0.07,28.32,35.14,22.78,9
4.66,0.47,9.06,-5.09,2.54,11.37,0.91,0.02,0.23,56.39,39.93,5.14,9
6.04,0.31,12.35,-4.94,2.62,11.68,0.74,0.15,0.21,70.91,37.21,5.6,9
7.96,0.5,7.64,-3.96,2.23,13.37,0.7,0.16,0.2,51.78,15.63,12.83,9
7.53,0.23,7.21,-3.68,1.56,13.69,0.75,0.1,0.14,6.0,-16.27,1.93,9
11.33,0.54,10.63,-5.45,0.66,13.49,0.75,0.32,0.01,-53.89,-58.32,-3.05,9
11.45,1.56,13.88,-5.88,0.23,11.84,0.95,0.66,0.27,-109.51,-80.83,-24.36,9
10.23,0.35,13.14,-10.86,0.9,11.02,1.33,0.05,0.11,-12.93,-74.4,-14.13,9
8.08,0.0,15.49,-17.18,0.47,14.47,1.66,0.4,0.14,59.85,21.05,-43.03,9
5.37,0.19,14.23,-19.29,2.66,15.29,1.34,0.73,0.07,71.73,51.6,-56.46,9
3.68,0.03,12.23,-17.14,0.98,11.29,0.96,0.7,0.04,14.84,8.56,-39.83,9
1.37,1.29,10.23,-11.88,0.0,7.1,0.93,0.4,0.1,-25.33,0.43,-48.93,9
0.43,1.64,6.86,-7.76,-1.05,2.74,0.67,0.34,0.0,-21.57,15.92,-27.33,9
0.15,1.88,3.96,-4.39,0.82,0.86,0.65,0.3,0.06,-27.36,8.43,-5.75,9
0.27,1.52,1.84,-2.94,-1.56,0.15,0.72,0.3,0.1,-27.44,2.47,2.37,9
0.27,0.03,0.78,-2.15,-2.03,0.58,0.76,0.42,0.17,-22.47,-2.31,8.0,9
0.19,-1.41,0.07,-1.92,-2.62,1.21,0.79,0.48,0.22,-18.5,1.56,0.91,9
0.9,-4.07,0.7,-1.72,-2.82,2.9,0.86,0.53,0.11,-21.03,11.11,-5.32,9
1.92,-7.25,0.11,0.54,-3.17,3.72,0.98,0.52,0.05,-30.03,-3.1,0.38,9
3.09,-7.06,1.01,0.07,-3.64,4.82,1.04,0.56,0.03,-44.43,-29.69,2.24,9
4.7,-8.11,0.54,0.43,-4.74,6.19,0.96,0.64,0.02,-52.97,-36.39,7.34,9
6.51,-8.04,0.07,0.47,-5.6,7.8,1.47,0.31,0.2,-28.34,-27.2,24.0,9
7.33,-6.51,1.21,0.07,-5.09,9.92,1.38,0.19,0.24,-1.47,2.34,23.42,9
7.76,-5.96,0.58,0.23,-2.94,11.17,0.87,0.47,0.24,-14.81,0.38,15.51,9
8.35,-5.06,0.66,0.23,-2.47,8.74,0.99,0.32,0.2,-39.37,-14.97,2.41,9
7.96,-4.31,1.92,-2.31,1.6,12.9,1.13,0.07,0.04,-35.8,-24.13,5.09,9
8.7,-3.72,2.31,0.98,3.29,13.25,1.14,0.02,0.1,-30.79,-16.11,14.89,9
9.96,-3.6,3.25,-4.62,5.33,12.98,0.88,0.19,0.12,-3.8,-2.18,19.76,9
11.06,-2.86,5.53,-5.45,7.21,16.59,0.73,0.23,0.12,21.91,8.87,38.14,9
10.78,-2.74,5.96,-5.53,5.37,13.84,0.88,0.12,0.12,51.49,21.82,33.04,9
9.92,0.98,7.53,-4.94,5.37,12.67,0.98,0.11,0.13,75.65,47.05,8.61,9
7.68,0.27,7.21,-5.45,5.57,11.84,0.91,0.08,0.33,89.95,53.77,11.6,9
6.66,1.88,6.23,-5.09,4.78,10.39,0.93,0.26,0.23,89.81,42.05,21.73,9
2.23,3.45,7.25,-5.84,4.58,10.04,0.76,0.33,0.23,44.82,27.46,6.03,9
4.82,4.62,8.19,-6.39,2.98,9.49,0.79,0.28,0.19,1.55,13.82,-12.96,9
17.22,5.64,12.78,-6.55,3.13,9.88,0.93,0.37,0.13,-4.29,16.88,-27.73,9
10.08,2.19,5.41,-7.02,2.39,8.86,1.24,0.27,0.32,2.96,14.04,-11.19,9
10.66,4.23,6.47,-7.64,2.94,10.0,1.29,0.19,0.05,11.3,-6.98,-7.72,9
8.0,5.02,3.56,-7.49,2.23,8.94,0.91,0.16,0.05,35.02,-10.61,1.98,9
7.45,5.33,3.25,-7.25,1.45,8.94,0.8,0.28,0.19,28.29,-8.04,-1.08,9
6.86,5.09,5.49,-7.29,2.11,10.12,0.84,0.31,0.28,16.92,6.91,-13.72,9
6.78,3.88,6.66,-7.57,2.62,11.37,0.85,0.3,0.21,0.85,5.63,-3.91,9
6.19,2.94,8.9,-6.59,3.09,13.53,1.01,0.09,0.04,-17.65,-6.01,11.63,9
4.31,0.0,8.94,-4.55,3.53,15.45,0.96,0.02,0.06,0.15,-9.59,36.39,9
6.11,0.23,12.12,-1.33,4.39,17.06,0.88,0.1,0.16,18.65,-15.62,41.26,9
10.08,0.43,10.0,0.27,4.0,16.86,0.75,0.33,0.13,8.3,-17.57,36.76,9
15.14,0.19,8.98,0.5,3.02,15.76,0.8,0.33,0.12,-10.75,-5.22,7.98,9
18.59,0.07,6.0,-1.64,2.54,14.23,1.12,0.14,0.22,-5.63,-1.91,-17.23,9
19.02,-1.01,4.98,-2.35,1.09,13.49,1.55,0.13,0.29,35.75,23.91,-36.94,9
15.53,-1.01,2.11,-1.6,0.86,12.08,1.19,0.46,0.38,44.62,37.38,-43.33,9
10.78,-2.15,0.7,0.98,0.7,9.41,0.86,0.51,0.45,25.4,25.5,-28.34,9
7.92,-2.94,-1.17,2.15,0.07,8.0,0.76,0.23,0.39,17.34,13.54,-19.24,9
5.68,-2.27,-1.8,1.8,0.78,5.6,0.71,0.11,0.26,19.13,15.75,-23.74,9
4.07,-1.25,-1.8,2.47,-2.58,4.04,0.86,0.18,0.17,19.96,18.77,-22.95,9
1.96,0.94,0.19,0.62,-5.13,2.66,1.07,0.23,0.23,27.65,21.95,-3.3,9
0.9,-2.03,0.74,0.86,-7.06,3.09,1.1,0.3,0.46,42.91,22.84,15.85,9
0.5,-3.72,1.8,-2.43,-8.47,3.02,1.29,0.65,0.56,24.37,5.36,27.64,9
-1.25,-4.62,4.11,-3.76,-7.02,6.23,1.63,0.51,0.07,-42.69,-21.2,24.59,9
-2.11,-3.37,5.64,-4.74,-4.9,5.21,0.86,0.14,0.0,10.75,-6.74,5.41,9
-1.49,-2.0,7.37,-5.21,-3.84,4.66,0.53,0.25,0.03,39.93,20.71,39.29,9
0.62,-1.92,8.94,-8.31,-2.82,6.59,0.65,0.56,0.02,20.78,10.06,37.92,9
1.45,-1.6,8.98,-9.53,-3.09,7.49,0.93,0.57,0.03,-30.77,-30.33,14.64,9
2.07,0.98,8.39,-8.78,-3.09,7.92,1.04,0.42,0.06,-45.02,-48.21,0.32,9
3.72,0.43,8.59,-7.92,-1.96,6.47,0.87,0.31,0.11,-33.17,-55.46,9.36,9
4.51,0.94,7.96,-8.86,0.82,7.76,1.03,0.22,0.19,-20.18,-42.37,12.5,9
5.64,2.31,10.08,-9.21,1.01,8.31,0.89,0.23,0.22,-10.53,-15.15,-10.65,9
5.02,2.31,8.78,-9.57,1.01,8.82,0.88,0.33,0.17,-12.97,-9.23,-14.04,9
4.82,2.62,8.78,-9.96,1.76,10.08,1.0,0.34,0.12,-6.64,-7.41,-19.36,9
5.02,2.66,7.96,-8.98,1.72,10.78,0.99,0.29,0.11,2.69,-1.17,-14.13,9
5.8,2.39,6.7,-7.88,2.27,11.45,0.95,0.26,0.12,1.88,2.47,13.27,9
7.13,3.13,8.43,-7.8,2.98,12.04,0.88,0.25,0.15,-2.22,4.29,28.01,9
