d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
7.76,-8.78,2.94,-10.12,-5.64,11.92,1.82,0.13,0.71,252.42,124.93,6.72,5
7.68,-9.72,2.27,-10.35,-6.82,9.88,1.67,0.73,0.15,203.94,79.12,29.85,5
9.02,-8.15,0.5,-10.0,-6.98,4.35,1.0,0.31,0.31,100.7,5.83,16.27,5
9.02,-6.35,-4.82,-10.55,-8.0,-4.15,0.75,0.38,0.36,56.0,10.98,6.84,5
11.92,-5.13,-9.72,-9.06,-9.33,-12.39,0.52,0.3,0.27,81.96,34.54,10.05,5
11.68,-3.05,-10.08,-7.37,-9.17,-11.84,0.48,0.25,0.5,92.45,54.48,-13.49,5
10.15,-1.6,-5.29,-5.68,-7.64,-5.33,0.78,0.43,0.16,80.54,36.78,-6.28,5
8.7,-1.49,1.92,-5.13,0.5,9.02,1.59,0.4,0.14,19.18,0.4,42.82,5
18.71,13.65,20.04,20.04,9.49,20.04,1.48,0.14,0.19,37.97,-20.33,39.5,5
-3.6,-11.29,-9.1,2.62,-6.15,-1.92,0.8,0.57,0.02,75.53,-13.93,69.95,5
6.9,-3.13,1.13,-5.92,-3.49,7.25,0.77,0.09,0.17,86.46,-9.14,42.47,5
8.78,-8.35,0.82,-10.04,-2.78,6.47,0.75,0.19,0.34,142.2,17.1,30.85,5
1.8,-7.17,-3.76,-9.53,-2.03,3.68,0.98,0.14,0.26,209.96,68.39,17.28,5
4.62,-7.02,-1.8,-9.33,0.43,3.76,0.82,0.51,0.17,252.42,109.75,19.11,5
5.76,-7.25,-2.58,-8.7,0.19,4.43,0.74,0.47,0.1,252.42,134.34,47.46,5
6.66,-7.49,-3.56,-10.94,3.17,5.53,0.85,0.56,0.08,252.42,143.32,54.76,5
12.23,-9.06,0.54,-16.35,3.72,2.03,1.05,1.36,0.52,252.42,161.08,73.11,5
15.72,-10.19,-1.25,-20.08,2.19,-2.03,1.08,1.31,0.22,252.42,152.47,52.32,5
17.41,-7.57,-3.17,-20.08,1.84,0.7,0.72,0.96,0.08,252.42,100.17,76.66,5
18.16,-6.27,-4.11,-20.08,2.66,-4.0,1.3,0.68,0.07,252.42,69.85,104.45,5
16.12,-6.19,-7.57,-20.08,1.49,-4.04,1.25,1.16,0.28,252.42,118.23,101.06,5
13.8,-5.29,-7.17,-18.98,1.6,-3.29,1.0,1.41,0.26,252.42,152.87,125.5,5
13.61,-5.92,-9.41,-18.2,0.39,-5.06,0.84,1.69,0.34,252.42,163.48,146.17,5
15.57,-5.53,-8.39,-17.84,-1.21,-3.96,0.42,1.99,0.34,252.42,121.4,154.12,5
15.29,-3.76,-7.64,-17.14,-4.39,-3.8,0.35,1.73,0.43,252.42,48.32,130.4,5
15.88,-3.05,-7.92,-15.61,-4.94,-4.62,0.5,1.51,0.64,252.42,14.66,93.1,5
14.2,0.07,-7.53,-13.06,-3.17,-3.68,0.45,0.97,0.67,252.42,20.02,64.78,5
12.23,0.23,-6.62,-11.37,-1.17,-2.11,0.39,0.42,0.4,252.42,40.34,48.55,5
11.25,-2.35,-7.57,-12.39,0.35,0.31,0.22,0.56,0.02,252.42,66.16,59.57,5
11.84,-3.41,-8.59,-11.57,-1.84,0.15,0.27,1.03,0.0,252.42,111.14,119.84,5
14.63,-5.88,-7.57,-15.29,-3.6,2.7,0.87,0.99,0.73,252.42,67.75,144.2,5
16.35,-5.6,-3.37,-14.86,0.47,2.39,1.92,0.74,0.14,252.42,86.77,21.51,5
14.82,-5.09,0.94,-13.21,-2.35,0.66,1.15,1.02,0.32,252.42,99.02,-76.23,5
14.59,-2.54,-3.17,-10.59,-5.09,-1.76,0.39,1.15,0.4,252.42,44.69,-26.97,5
12.63,-1.84,1.92,-10.82,-6.59,-1.92,0.63,0.84,0.74,243.61,40.29,-3.78,5
11.25,-3.17,3.17,-10.08,-7.76,1.17,0.97,0.48,0.83,216.42,44.9,13.38,5
11.57,-4.35,2.82,-10.51,-10.66,2.0,1.14,0.35,0.65,252.42,76.91,3.55,5
12.98,-3.92,6.04,-10.12,-10.74,1.17,0.99,0.4,0.52,252.42,101.5,0.8,5
11.68,-4.47,1.21,-10.0,-13.45,-3.49,0.41,0.9,0.06,200.17,53.34,1.35,5
10.78,-4.55,-3.49,-9.33,-13.72,-7.29,1.53,0.08,0.21,35.39,-22.46,11.17,5
12.7,-2.11,-3.96,-8.47,-12.23,-5.53,0.74,0.34,0.05,35.37,32.71,1.76,5
10.43,0.03,-2.94,-6.51,-10.0,-3.72,0.48,0.73,0.02,6.15,44.81,29.47,5
6.11,0.86,2.58,-3.29,-2.74,4.07,0.88,0.7,0.06,13.33,41.24,5.5,5
20.04,0.94,12.27,-20.08,-3.53,5.6,0.98,0.51,0.39,47.91,0.3,28.02,5
-2.74,-6.74,-9.88,-5.41,-1.8,-6.9,1.23,0.03,0.08,-12.37,-16.54,87.03,5
4.39,-3.49,4.47,-12.27,3.64,10.23,0.91,0.41,0.37,49.27,24.21,23.03,5
1.45,-12.04,-4.55,-7.37,0.66,6.94,0.83,0.61,0.14,67.6,7.81,27.51,5
6.55,-10.12,-2.54,-10.19,0.82,6.94,1.98,0.14,0.03,192.07,23.04,56.65,5
7.8,-10.74,-1.45,-6.86,7.45,12.27,1.08,0.35,0.56,239.48,82.97,34.66,5
8.94,-9.92,-2.98,-7.45,6.55,7.84,0.75,0.59,0.27,227.53,44.23,68.04,5
7.13,-8.31,-3.33,-10.82,8.39,1.49,0.79,0.51,0.13,252.42,39.88,60.5,5
11.65,-7.57,-6.43,-16.74,7.6,1.09,0.67,0.53,0.13,252.42,62.28,51.82,5
13.65,-6.35,-6.31,-20.08,4.35,-1.37,0.75,0.48,0.13,252.42,45.79,69.71,5
16.43,-6.82,-7.13,-20.08,2.07,0.9,1.82,1.07,0.35,252.42,81.55,69.91,5
17.69,-5.68,-6.55,-20.08,0.19,0.23,1.26,0.89,0.12,252.42,146.44,43.19,5
16.67,-2.54,-3.17,-19.92,0.31,0.11,0.38,1.06,0.11,252.42,109.51,44.1,5
12.47,-1.64,-7.88,-12.51,3.96,-2.66,0.29,0.61,0.01,252.42,74.64,39.87,5
10.98,0.66,-7.37,-11.96,3.64,-4.19,0.29,0.95,0.23,252.42,119.02,65.82,5
12.98,-3.8,-8.9,-15.37,3.37,-3.25,0.58,1.31,0.42,252.42,75.89,136.95,5
15.41,-2.27,-9.53,-16.71,3.96,-4.55,1.03,0.59,0.07,252.42,50.41,78.41,5
