d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
-2.19,-3.76,-2.7,-1.45,-3.88,-3.25,0.77,0.44,0.08,-4.79,-8.27,-3.07,1
-3.25,-4.7,-4.43,2.35,-5.06,-5.06,0.92,0.38,0.13,-11.18,-1.17,-4.59,1
-3.6,-4.74,-4.74,2.0,-4.55,-4.66,0.9,0.42,0.16,-1.87,10.15,-3.48,1
0.39,-2.62,-3.64,0.54,-3.76,-3.96,0.92,0.44,0.16,5.34,16.69,-3.06,1
2.78,-1.56,-5.02,-1.45,-2.66,-2.74,0.9,0.41,0.16,20.41,19.11,-12.61,1
4.11,-1.8,-4.15,-2.78,0.78,-1.37,0.88,0.38,0.12,30.45,21.27,-19.14,1
18.24,0.86,-2.74,-12.78,0.54,2.54,1.04,0.37,0.02,30.96,19.69,-24.27,1
20.04,-3.53,0.54,-17.18,1.45,1.45,1.21,0.36,0.22,10.12,5.8,-9.99,1
20.04,-2.31,0.94,-20.08,2.23,4.43,1.06,0.38,0.27,-16.86,-14.18,14.22,1
20.04,-2.39,6.7,-20.08,0.74,1.96,0.83,0.5,0.08,-56.11,-29.36,22.3,1
20.04,-1.33,0.98,-16.31,-1.56,-1.17,0.82,0.54,0.11,-71.26,-35.08,17.42,1
16.35,0.74,-2.39,-10.63,-2.15,-3.09,0.93,0.51,0.32,-58.76,-36.74,-1.5,1
8.08,0.98,-3.21,-6.55,-2.82,-5.02,1.06,0.37,0.22,-19.69,-17.96,-11.33,1
1.33,0.15,-4.58,-3.88,-2.94,-5.64,0.92,0.47,0.17,7.78,-1.66,0.66,1
-1.29,-1.72,-4.51,0.62,-3.29,-6.27,0.73,0.48,0.1,-1.85,-7.99,2.66,1
-4.31,-2.9,-4.94,2.27,-3.45,-6.59,0.8,0.38,0.13,-11.96,-5.99,3.47,1
-6.04,-4.9,-6.66,2.86,-3.64,-6.43,0.86,0.44,0.16,-7.62,7.77,-1.61,1
-7.49,-5.96,-7.8,2.54,-3.02,-5.33,0.88,0.47,0.11,-4.12,10.36,2.37,1
-4.07,-3.8,-6.35,0.7,-2.27,-3.53,0.91,0.48,0.16,-3.68,10.31,3.21,1
0.31,-1.09,-5.84,-2.0,-1.13,-2.54,0.96,0.43,0.17,6.89,17.84,-7.91,1
4.9,0.82,-4.07,-5.09,1.6,1.09,1.17,0.3,0.05,29.16,24.79,-5.38,1
20.04,-1.64,1.64,-13.25,2.7,3.25,1.23,0.27,0.26,24.42,16.98,-1.62,1
20.04,-3.13,5.64,-20.08,5.41,5.64,0.91,0.33,0.35,-15.59,-14.83,10.3,1
20.04,-4.04,9.72,-20.08,1.88,6.19,0.67,0.48,0.06,-51.76,-31.74,25.85,1
