d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
-3.17,-2.66,-1.29,0.78,-1.49,14.31,0.73,0.25,0.03,29.32,4.73,-5.17,3
-6.7,-6.78,-11.25,-3.84,-3.68,11.21,0.9,0.27,0.01,18.99,3.05,-8.85,3
-1.72,-7.17,-11.02,-6.62,-5.57,8.23,0.98,0.25,0.04,9.28,7.63,-9.31,3
13.49,-1.05,-1.09,-8.43,-6.98,-2.31,0.96,0.24,0.11,0.17,4.38,-1.09,3
0.0,-4.39,1.8,2.74,-7.64,-4.0,0.97,0.33,0.11,0.09,3.78,6.19,3
10.63,-5.45,0.19,-4.23,-4.82,-4.55,0.88,0.33,0.08,0.63,8.99,5.56,3
3.76,-4.23,6.35,2.31,-5.02,-7.72,0.9,0.44,0.03,-2.2,11.26,6.53,3
0.07,-4.04,12.08,-3.33,9.57,-4.55,1.03,0.32,0.09,-5.77,14.64,-3.96,3
0.43,-2.27,16.0,-2.0,6.66,6.23,1.17,0.3,0.18,-8.21,18.48,-9.81,3
3.45,-2.62,19.26,-2.74,5.96,6.08,1.17,0.29,0.18,-9.19,3.86,2.39,3
3.45,-2.54,17.53,-4.98,6.0,6.82,1.0,0.28,0.1,-4.34,-3.73,4.02,3
1.64,-2.31,18.0,0.82,2.35,7.88,0.83,0.25,0.02,1.79,-7.39,-1.65,3
2.31,-3.02,18.47,15.18,3.41,6.15,0.72,0.23,0.04,-5.37,-5.31,-16.94,3
5.53,-7.29,15.25,20.04,1.8,20.04,0.69,0.29,0.04,-13.41,-10.72,-21.43,3
0.78,-5.6,11.02,-13.45,0.58,20.04,0.86,0.27,0.0,-8.92,-11.73,-13.73,3
-4.04,0.07,6.74,-4.82,1.21,20.04,0.95,0.35,0.02,-6.44,-24.05,-2.45,3
-4.7,0.19,6.7,1.25,0.66,17.76,1.17,0.41,0.07,-5.53,-34.29,7.24,3
1.49,4.47,5.53,-1.33,1.41,20.04,1.43,0.42,0.2,6.5,-21.33,15.86,3
1.64,2.47,11.45,1.25,2.82,20.04,1.24,0.51,0.14,26.62,4.82,8.08,3
1.92,3.92,9.33,0.15,0.54,17.37,0.92,0.43,0.09,34.42,16.11,-3.14,3
-4.9,1.25,0.5,2.43,4.62,19.77,0.63,0.36,0.0,27.9,12.15,-12.75,3
-1.25,-4.51,-9.25,-7.13,-4.11,9.84,0.66,0.33,0.05,20.97,8.76,-21.03,3
1.96,-5.68,-14.0,-6.47,-7.25,5.92,0.95,0.27,0.01,17.88,15.91,-14.66,3
13.41,-5.33,-5.13,2.43,-6.39,0.23,1.08,0.33,0.13,12.36,19.88,0.01,3
7.41,-5.09,-1.05,-1.84,-5.96,-5.09,0.99,0.3,0.09,-2.75,10.76,8.54,3
0.19,-4.94,-1.25,-4.98,0.35,-5.37,1.01,0.36,0.16,-3.24,7.97,15.65,3
4.19,-5.21,2.15,0.03,-1.56,0.58,0.95,0.45,0.15,-10.35,16.95,15.39,3
0.15,-4.07,6.08,-4.0,1.09,-1.13,0.92,0.38,0.15,-25.76,15.35,10.66,3
2.58,-2.11,14.59,-5.09,6.43,0.66,1.1,0.3,0.22,-29.61,4.94,0.66,3
4.9,0.39,13.72,6.0,2.86,8.39,1.09,0.3,0.2,-21.28,2.95,-3.63,3
8.74,-4.55,16.12,-2.03,2.58,5.96,0.87,0.26,0.18,-17.13,6.35,-7.09,3
7.17,-4.0,20.04,-3.76,1.25,4.55,0.74,0.21,0.16,-16.39,4.07,-16.75,3
6.35,-7.49,17.73,-1.29,4.51,6.39,0.75,0.22,0.1,-25.0,2.22,-23.75,3
0.23,-5.84,18.51,16.63,6.04,20.04,0.86,0.25,0.02,-33.95,-7.78,-26.65,3
2.43,-3.45,15.37,3.29,2.31,18.31,1.04,0.33,0.1,-19.18,-9.95,-20.27,3
0.78,-5.09,10.15,-1.92,2.47,20.04,0.99,0.21,0.1,-2.29,-12.24,-11.89,3
-4.86,-2.23,7.49,0.82,3.29,20.04,1.03,0.49,0.01,3.85,-28.58,11.24,3
4.86,1.6,3.76,-1.25,2.82,18.63,0.95,0.43,0.06,2.5,-31.46,13.64,3
0.7,4.74,5.41,0.15,5.33,18.24,1.07,0.46,0.02,6.94,-24.74,9.31,3
-1.37,3.49,8.66,0.39,5.64,19.49,1.22,0.47,0.08,19.84,0.74,9.22,3
1.37,5.13,7.49,0.11,-2.27,14.98,0.98,0.46,0.06,21.97,7.9,0.59,3
-4.82,0.39,-1.21,-5.84,0.19,12.23,0.75,0.39,0.04,23.72,2.96,-9.0,3
-2.11,-5.57,-6.31,-5.29,-3.29,8.35,0.76,0.37,0.03,24.07,-1.13,-5.47,3
4.15,-4.74,-11.33,-6.39,-8.08,5.17,0.95,0.33,0.01,22.02,6.43,-1.78,3
7.64,-5.33,-4.7,-2.0,-8.47,4.66,0.96,0.34,0.04,15.54,13.82,-1.1,3
12.31,-6.23,0.86,-1.8,-7.13,0.62,0.91,0.32,0.07,7.84,1.76,1.5,3
1.68,-6.04,2.78,-2.43,-5.33,-3.17,0.95,0.35,0.14,10.38,-4.68,8.25,3
3.88,-6.59,2.47,-1.21,-1.17,0.7,0.95,0.39,0.17,6.7,11.72,8.58,3
3.41,-5.96,3.88,1.13,-3.72,0.5,0.91,0.43,0.19,-13.6,14.22,13.88,3
0.19,0.94,10.7,-1.41,1.37,-1.49,1.09,0.41,0.19,-26.77,2.02,13.53,3
5.49,-2.27,14.16,-3.72,2.47,0.58,1.29,0.37,0.17,-19.62,-7.39,9.89,3
6.35,-1.96,14.0,1.92,3.25,7.49,1.05,0.33,0.13,-8.47,-5.33,0.6,3
5.84,-2.66,17.73,-1.52,2.47,4.9,0.84,0.3,0.1,-5.66,0.41,-6.06,3
7.45,-4.98,20.04,-4.43,3.72,4.19,0.73,0.25,0.06,-11.46,1.12,-12.39,3
4.11,-4.98,15.96,12.31,5.76,13.29,0.8,0.23,0.04,-25.69,0.85,-16.23,3
1.49,-3.17,15.29,10.12,5.13,20.04,0.73,0.21,0.0,-34.13,-6.12,-13.88,3
4.98,-1.21,8.15,-6.43,3.72,20.04,0.83,0.45,0.0,-19.26,-14.29,0.61,3
-4.94,-2.54,10.63,0.62,0.7,20.04,0.95,0.37,0.0,-2.9,-20.23,10.95,3
2.94,1.25,4.7,-2.03,2.07,20.04,1.15,0.42,0.04,-7.4,-29.4,15.57,3
2.78,4.0,5.53,-1.41,3.88,19.77,1.33,0.5,0.04,-19.2,-30.49,20.16,3
0.47,1.21,8.74,1.17,4.43,18.35,1.3,0.49,0.13,-7.92,-15.21,15.92,3
1.45,1.64,6.94,-1.41,1.76,18.35,0.99,0.41,0.17,4.2,2.66,4.92,3
-1.21,-1.01,0.66,-4.0,-2.07,14.86,0.75,0.35,0.07,11.94,1.81,0.94,3
-1.09,-5.76,-2.62,-5.06,-4.74,10.08,0.67,0.33,0.13,12.79,0.35,-7.05,3
5.37,-4.9,-5.41,-5.25,-8.74,5.33,0.78,0.31,0.12,11.85,2.87,-8.66,3
9.92,-4.86,-2.35,-3.6,-7.84,2.11,1.05,0.32,0.05,18.77,14.19,-7.78,3
7.49,-5.06,-1.72,0.35,-8.39,-2.74,1.04,0.31,0.04,11.15,18.18,-10.23,3
4.31,-3.6,-1.37,0.39,-6.39,-3.49,1.02,0.26,0.14,3.26,6.92,0.85,3
0.23,-6.08,0.03,-4.0,0.62,-3.49,0.96,0.34,0.14,4.34,8.58,6.7,3
1.21,-3.13,5.41,-1.96,1.41,2.0,0.81,0.37,0.13,-2.94,11.45,10.34,3
1.6,-3.53,6.62,-3.8,2.78,1.21,0.86,0.34,0.12,-9.06,9.74,6.99,3
5.33,-3.6,10.35,0.07,2.62,0.7,1.25,0.31,0.16,-12.88,3.78,7.4,3
11.17,-4.15,14.2,6.27,3.05,1.25,1.23,0.32,0.15,-6.37,-2.47,17.1,3
6.51,-4.19,16.23,-7.25,5.53,4.47,1.01,0.32,0.05,0.95,-1.98,16.61,3
7.29,-6.27,17.8,-8.35,3.92,7.29,0.85,0.25,0.09,12.32,0.89,-5.48,3
6.11,-4.94,19.49,1.68,5.33,13.06,0.76,0.22,0.11,11.65,1.58,-22.88,3
7.13,-6.43,14.86,8.11,6.78,19.84,0.8,0.25,0.1,0.35,2.94,-23.47,3
4.58,-3.29,14.94,0.9,2.03,20.04,0.9,0.23,0.01,-4.52,-3.11,-23.2,3
2.51,-4.94,12.23,-1.21,2.31,20.04,0.88,0.29,0.02,1.8,-8.05,-17.58,3
4.39,0.66,4.07,1.45,3.17,20.04,0.9,0.37,0.02,9.58,-21.31,-6.3,3
3.84,2.27,4.98,-3.25,5.92,20.04,0.97,0.39,0.04,-4.74,-27.8,0.11,3
2.47,2.35,7.21,0.66,4.74,18.12,1.0,0.47,0.0,-14.85,-26.09,6.39,3
3.21,4.62,5.8,0.54,6.59,19.65,1.29,0.47,0.19,-14.92,-21.34,16.31,3
1.25,1.49,5.33,-1.37,1.13,18.55,1.29,0.48,0.24,7.4,-8.11,15.9,3
-4.82,-1.13,1.52,-5.17,-2.98,10.9,0.98,0.44,0.04,19.15,-3.72,6.32,3
-3.84,-5.06,-3.09,-5.84,-6.04,6.82,0.77,0.43,0.02,7.33,9.14,-6.79,3
2.78,-4.23,-2.39,-5.37,-8.98,4.0,0.61,0.38,0.09,-2.8,21.02,-12.69,3
3.96,-4.39,-2.27,-2.98,-8.39,0.27,0.75,0.35,0.11,2.58,28.02,-12.32,3
10.98,-5.29,0.74,-2.98,-8.51,-3.49,1.07,0.37,0.07,11.12,26.77,-6.57,3
10.0,-4.0,0.11,-1.72,-5.02,-3.88,1.14,0.32,0.02,14.97,20.35,-7.36,3
-3.84,-5.33,0.58,0.9,-1.45,0.39,1.02,0.28,0.05,16.75,11.44,1.55,3
4.35,-5.33,2.23,0.66,0.94,3.8,1.0,0.32,0.04,17.27,6.49,14.01,3
0.82,-4.94,4.04,-4.39,1.33,3.13,0.93,0.31,0.05,10.46,8.0,13.31,3
2.7,-3.8,5.17,-5.13,1.92,2.62,0.84,0.34,0.11,9.15,13.37,5.63,3
2.54,0.35,11.17,-2.98,1.29,3.21,0.85,0.38,0.14,1.43,3.34,3.82,3
6.86,-3.05,16.12,5.92,0.86,4.39,1.09,0.37,0.17,-3.37,-5.72,4.3,3
8.7,-2.27,19.8,-2.9,3.17,4.55,1.25,0.32,0.19,-2.87,-9.6,3.08,3
2.78,-3.64,20.04,-7.45,6.08,7.41,1.08,0.32,0.22,0.85,-5.49,2.59,3
6.43,-4.39,18.75,9.61,6.51,16.47,0.79,0.28,0.14,-5.89,-2.17,-2.49,3
2.07,-4.43,15.72,11.57,0.03,18.0,0.73,0.3,0.14,-15.68,-1.17,-7.27,3
5.64,-5.64,12.51,-3.56,1.09,20.04,0.79,0.25,0.06,-23.51,-1.04,-14.41,3
3.92,-3.33,8.55,-3.8,0.94,20.04,0.97,0.23,0.06,-14.16,-6.07,-16.75,3
1.33,-1.72,5.76,-2.98,2.94,20.04,1.08,0.34,0.12,0.79,-10.3,-11.07,3
2.23,0.31,8.31,-3.33,4.0,18.12,1.08,0.33,0.03,7.69,-20.83,-1.17,3
6.23,2.94,4.74,-2.15,4.15,18.78,1.02,0.36,0.1,1.18,-22.48,9.45,3
2.47,1.17,8.78,-3.56,4.39,18.82,0.95,0.47,0.11,-20.79,-14.5,12.94,3
0.7,0.74,7.64,-2.39,-1.01,12.27,0.88,0.41,0.03,-40.73,-9.04,12.5,3
0.39,1.21,3.25,-4.82,-2.03,12.12,1.07,0.4,0.16,-31.15,-7.53,14.12,3
-2.19,-1.88,-1.56,-7.45,-7.33,7.06,1.11,0.45,0.15,-6.37,-8.47,12.49,3
-1.56,-4.04,-4.04,-4.11,-9.76,5.06,1.01,0.42,0.04,0.91,-4.07,7.83,3
3.8,-5.68,-6.7,-3.41,-9.8,0.9,0.85,0.38,0.0,0.61,8.67,2.85,3
7.13,-5.72,-4.7,-2.9,-8.62,-3.21,0.74,0.38,0.04,-7.76,18.8,-5.0,3
8.62,-5.49,0.7,0.74,-6.94,-2.98,0.78,0.38,0.08,-3.39,27.6,-12.07,3
-1.92,-5.92,0.98,1.09,-2.11,0.31,0.96,0.42,0.06,1.26,24.77,-14.54,3
