d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
-9.06,-6.7,-4.86,-4.15,20.04,-1.29,1.35,0.58,0.38,164.69,0.03,14.62,10
-5.41,-9.13,-14.2,-4.19,12.7,1.25,1.04,0.44,0.08,134.83,20.51,-7.52,10
1.6,-10.04,-14.23,-2.54,5.88,3.76,0.69,0.38,0.02,92.6,43.82,-20.45,10
5.64,-10.43,-11.33,-1.21,4.86,3.92,0.49,0.38,0.22,66.44,49.43,-19.17,10
11.92,-10.39,-7.68,-1.13,7.1,2.74,0.45,0.35,0.53,61.03,23.6,-3.59,10
8.82,-12.63,-3.25,-2.11,9.57,0.27,0.86,0.44,0.5,111.62,19.79,15.5,10
6.62,-11.84,0.5,-2.11,15.14,-3.68,1.68,0.31,0.26,184.91,39.27,35.84,10
14.16,-12.98,5.76,-2.54,16.31,-3.56,1.3,0.39,0.08,223.65,61.73,10.89,10
5.49,-9.1,5.09,0.94,12.67,-3.21,1.15,0.34,0.13,201.33,53.51,18.66,10
7.8,-6.66,7.92,0.94,13.02,0.43,1.06,0.26,0.23,153.89,39.48,3.07,10
0.62,-5.49,9.57,0.11,10.59,1.96,1.0,0.27,0.14,127.17,45.07,0.08,10
1.17,-3.6,7.17,0.27,5.72,3.56,0.91,0.21,0.03,128.8,49.33,-9.25,10
0.54,-1.21,5.21,0.35,4.86,2.82,0.72,0.15,0.05,138.61,46.43,-3.3,10
-6.9,0.58,1.68,-2.07,2.7,2.47,0.64,0.14,0.04,132.26,40.5,4.66,10
-7.45,-1.13,-5.53,-2.39,6.23,1.92,0.52,0.11,0.09,119.1,38.74,5.47,10
-13.21,-5.76,-11.8,-2.58,5.17,1.6,0.36,0.07,0.0,92.96,26.06,-5.49,10
-9.25,-8.15,-16.2,-2.62,3.76,1.21,0.49,0.26,0.09,51.0,2.45,-6.1,10
-9.13,-9.68,-20.08,0.43,8.9,-1.13,1.99,0.64,0.49,42.13,-13.77,15.89,10
2.0,-13.06,-18.2,-2.74,14.16,-1.33,1.62,0.59,0.08,105.2,14.77,-22.69,10
9.13,-10.9,-6.0,-7.92,20.04,-3.33,1.22,0.54,0.08,144.38,40.01,16.08,10
19.77,-14.39,-2.35,-8.19,11.61,0.82,1.16,0.56,0.03,139.36,49.92,-4.44,10
20.04,-12.35,7.64,-5.8,6.94,2.11,0.85,0.49,0.0,130.84,60.67,-18.33,10
9.64,-9.68,11.1,-1.56,6.35,4.47,0.69,0.48,0.23,124.17,60.16,-19.32,10
1.92,-7.41,10.31,1.05,5.72,3.96,0.64,0.46,0.36,145.45,52.21,-18.14,10
-2.47,-4.39,12.55,1.01,8.51,1.21,0.69,0.45,0.4,207.36,67.72,-12.5,10
-5.06,-3.05,9.41,-1.21,11.14,-2.39,1.1,0.49,0.21,250.09,73.27,-6.56,10
-5.13,0.7,4.86,-2.19,12.12,-4.58,1.3,0.45,0.06,252.42,89.62,-11.25,10
-9.96,0.15,0.62,-3.56,12.19,-5.37,1.09,0.55,0.26,248.23,67.38,10.11,10
-9.17,0.27,-5.06,-1.76,12.47,-4.27,1.17,0.37,0.36,203.46,52.13,9.11,10
-7.33,-2.07,-13.14,-1.92,12.16,-2.66,1.1,0.36,0.29,165.97,57.61,0.66,10
-1.92,-2.19,-15.72,-4.31,8.31,-1.17,0.87,0.26,0.22,134.84,58.22,-6.32,10
1.49,-5.57,-20.08,-1.64,6.08,2.7,0.65,0.1,0.03,117.14,65.47,-2.5,10
7.25,-9.41,-17.37,-1.17,3.33,4.31,0.49,0.27,0.08,100.33,66.77,21.02,10
5.49,-9.02,-10.47,-1.96,3.53,3.37,0.45,0.32,0.15,83.89,55.6,30.98,10
20.04,-10.78,-3.53,-1.25,5.45,1.29,0.6,0.34,0.19,95.15,43.52,32.18,10
20.04,-11.61,6.04,0.82,7.64,-1.92,0.96,0.25,0.1,123.62,36.62,42.14,10
13.18,-10.94,15.02,-1.41,12.0,-3.6,1.72,0.57,0.05,163.94,31.64,22.18,10
3.37,-10.78,16.16,-2.43,15.76,-3.21,1.21,0.66,0.11,161.92,5.39,20.82,10
-2.51,-7.53,16.43,-3.84,16.94,-2.0,1.01,0.56,0.19,152.6,-13.47,24.17,10
-6.19,-5.88,10.98,-2.7,13.57,0.0,1.13,0.51,0.15,148.68,-8.22,-4.28,10
-6.86,-2.82,5.64,0.94,13.72,2.19,1.24,0.39,0.07,174.53,54.43,-30.28,10
-9.33,0.9,0.11,0.62,8.59,3.8,0.84,0.48,0.03,173.1,87.15,-40.44,10
