d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
2.39,10.08,0.86,-2.11,9.92,1.92,1.0,0.23,0.02,-5.37,-2.16,-1.66,0
2.23,9.53,0.98,-1.92,9.8,1.96,0.99,0.22,0.02,-3.91,-3.62,0.91,0
2.11,8.98,0.94,-1.96,9.68,1.84,0.97,0.22,0.02,-1.23,-2.64,0.79,0
2.35,9.1,0.94,-1.76,9.76,1.96,0.97,0.22,0.02,0.31,0.72,-1.27,0
2.47,9.33,0.78,0.86,10.12,2.23,1.04,0.24,0.02,-1.76,0.19,-1.68,0
2.66,10.0,0.86,0.5,10.7,2.15,1.07,0.24,0.01,-3.24,1.11,-2.25,0
2.86,10.19,1.17,0.66,10.82,1.88,1.03,0.24,0.01,-3.02,0.73,0.59,0
3.09,9.88,1.01,0.7,10.27,1.96,0.97,0.24,0.01,-3.99,0.42,-1.85,0
2.98,9.41,1.05,0.86,9.49,1.8,0.93,0.23,0.0,-5.73,0.89,-4.38,0
2.66,9.06,0.98,-1.21,9.02,1.68,0.95,0.22,0.01,-6.53,0.4,-5.23,0
2.54,9.1,1.09,-1.21,9.06,1.49,0.97,0.23,0.0,-7.69,-1.51,-3.52,0
2.43,9.37,1.25,-1.33,9.41,1.49,0.99,0.22,0.0,-9.63,-4.56,-1.26,0
2.15,9.33,1.41,-1.6,9.53,1.25,0.96,0.22,0.02,-12.06,-6.52,0.2,0
1.49,9.61,2.23,-1.72,9.41,1.56,0.94,0.25,0.01,-13.67,-6.55,0.53,0
1.49,10.12,2.51,-1.56,10.08,1.56,0.96,0.29,0.03,-14.59,-5.24,-4.08,0
2.39,9.96,2.62,-1.72,10.43,1.68,1.0,0.31,0.05,-17.05,-3.62,-8.76,0
1.84,9.72,2.03,-1.64,10.39,1.52,1.0,0.34,0.07,-18.18,-3.9,-10.84,0
1.17,9.57,1.49,-1.52,10.15,1.33,1.02,0.35,0.09,-15.94,-5.26,-8.72,0
2.35,9.68,1.37,-1.52,10.47,1.21,1.07,0.34,0.12,-10.91,-4.93,-5.14,0
2.43,9.88,1.72,-1.6,10.74,1.13,1.09,0.31,0.08,-6.36,-4.65,-1.73,0
0.98,9.64,2.54,-1.49,10.7,1.09,1.04,0.31,0.01,-4.97,-2.65,0.37,0
1.13,8.78,2.94,-1.64,10.0,1.05,0.94,0.31,0.02,-9.69,-1.14,0.53,0
2.31,7.92,2.39,-1.8,9.37,0.98,0.9,0.31,0.06,-15.43,-3.06,-1.56,0
3.53,8.59,2.11,-1.88,9.21,1.05,0.95,0.29,0.09,-14.19,-5.85,-2.77,0
3.92,9.25,1.37,-1.84,9.37,1.09,1.0,0.31,0.1,-7.18,-7.37,-1.14,0
3.88,9.61,1.29,-1.96,9.88,1.01,1.01,0.31,0.1,0.29,-7.0,2.56,0
2.7,9.8,1.49,-2.11,10.31,0.98,1.01,0.32,0.1,4.21,-4.1,2.7,0
3.17,9.57,2.27,-2.03,10.43,0.82,1.01,0.32,0.07,3.52,-1.24,1.04,0
2.58,9.33,2.47,-1.96,10.12,0.43,1.0,0.32,0.04,0.4,0.62,1.53,0
1.8,9.1,2.58,-1.6,9.88,1.05,0.98,0.3,0.05,-2.56,-2.33,4.06,0
1.92,8.86,1.8,-1.09,9.64,1.05,0.98,0.3,0.07,-4.54,-5.03,6.67,0
2.39,9.37,1.56,-1.41,9.84,1.37,0.97,0.3,0.08,-3.8,-6.16,7.43,0
2.43,9.8,1.88,-1.56,9.92,1.29,0.98,0.3,0.09,-3.28,-6.15,5.95,0
2.27,9.8,1.96,-1.88,10.04,1.25,0.98,0.31,0.09,-3.52,-6.29,4.75,0
1.76,9.41,2.03,-1.96,9.88,1.25,0.97,0.29,0.09,-4.0,-6.26,3.0,0
1.92,9.1,2.11,-1.72,9.76,1.21,0.97,0.3,0.12,-2.78,-5.83,2.47,0
1.64,8.94,2.31,-1.56,9.76,1.33,0.96,0.3,0.12,0.5,-5.01,1.81,0
1.8,9.1,2.19,-1.41,10.04,1.29,1.0,0.28,0.12,2.51,-3.9,2.29,0
2.74,10.04,2.43,-1.33,10.82,1.17,1.09,0.27,0.08,6.48,-1.63,3.37,0
1.29,10.66,2.62,-1.56,11.1,1.09,1.06,0.28,0.03,4.52,0.45,2.63,0
1.49,9.84,1.21,-1.72,10.31,1.05,0.96,0.26,0.04,-1.27,-2.14,1.09,0
2.35,9.06,1.33,-1.52,9.49,1.13,0.92,0.24,0.08,-2.73,-2.28,0.77,0
2.51,8.86,0.86,-1.68,9.1,1.45,0.92,0.23,0.1,0.75,0.66,-2.55,0
2.47,8.82,1.17,-1.52,9.13,1.13,0.98,0.23,0.09,1.36,-1.63,-2.26,0
2.27,9.57,1.45,-1.76,9.76,1.09,1.02,0.23,0.1,4.3,-2.65,0.52,0
2.31,9.88,1.64,-1.84,10.27,0.94,1.03,0.25,0.09,7.42,0.59,2.31,0
2.15,10.08,1.72,-1.88,10.47,0.86,1.0,0.25,0.08,6.91,2.95,0.9,0
2.07,10.04,1.33,-1.68,10.35,0.98,0.98,0.25,0.07,4.62,5.37,-1.07,0
1.68,9.57,1.37,-1.37,10.08,1.17,0.97,0.25,0.06,3.55,6.77,-1.48,0
1.84,9.17,1.41,0.9,9.84,1.33,0.99,0.26,0.06,3.0,6.53,0.94,0
2.11,9.49,1.29,0.74,9.84,1.64,1.01,0.26,0.04,2.84,5.4,0.25,0
1.88,9.53,1.37,0.82,10.0,1.76,1.0,0.26,0.06,3.58,4.54,1.4,0
1.84,9.8,1.33,0.39,9.92,1.84,0.99,0.25,0.06,4.46,4.11,1.23,0
1.72,9.64,1.37,0.31,9.96,1.84,1.0,0.25,0.06,6.53,4.5,1.13,0
1.76,9.53,1.37,0.74,9.92,1.68,1.0,0.26,0.06,8.21,4.54,1.47,0
2.19,9.61,1.29,-1.33,9.96,1.41,1.0,0.25,0.05,9.83,4.32,1.61,0
2.47,9.53,1.33,-1.56,10.04,1.41,1.01,0.25,0.05,12.63,4.63,2.47,0
2.51,9.61,1.17,-1.49,10.12,1.29,0.99,0.25,0.03,14.3,5.18,3.17,0
2.62,9.64,1.09,-1.6,10.35,1.56,0.99,0.23,0.01,14.25,5.46,2.18,0
2.62,9.88,0.78,-1.41,10.23,2.11,0.98,0.22,0.0,15.17,5.68,2.2,0
2.66,9.96,0.82,-1.33,10.04,2.31,1.0,0.24,0.0,19.11,7.53,2.93,0
2.74,10.12,0.94,-1.41,10.0,2.47,1.01,0.22,0.02,16.9,7.79,0.01,0
2.82,10.04,1.01,-1.29,9.96,2.7,1.04,0.23,0.02,15.57,7.21,-3.95,0
2.82,9.76,0.9,-1.92,10.0,2.35,1.03,0.23,0.0,14.72,5.49,-3.28,0
2.74,9.57,0.82,-2.19,9.68,2.19,1.0,0.25,0.0,15.69,4.49,-1.04,0
2.82,9.21,0.98,-2.15,9.41,1.88,0.97,0.22,0.02,13.65,4.16,0.63,0
2.74,9.13,0.78,-1.96,9.1,1.76,0.97,0.21,0.04,9.95,3.53,0.72,0
2.82,9.06,0.94,-1.96,9.13,1.52,0.98,0.22,0.03,6.27,2.63,1.25,0
