d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
7.49,5.6,10.47,1.56,-1.84,0.11,0.97,0.32,0.12,19.01,4.25,-9.72,8
6.98,4.98,7.6,0.54,0.15,1.09,0.83,0.28,0.11,10.34,2.85,-11.74,8
5.41,4.31,6.27,0.62,3.17,3.05,0.85,0.29,0.15,0.34,0.0,-13.1,8
4.19,4.07,4.04,-1.13,8.11,5.06,0.91,0.26,0.05,-8.65,0.11,-11.3,8
1.8,2.62,1.72,-3.09,14.0,9.88,0.9,0.33,0.03,-12.96,0.68,-6.43,8
1.52,0.98,0.35,-4.98,16.47,14.31,0.92,0.26,0.03,-14.73,-9.61,-1.75,8
0.03,0.7,-1.45,-4.94,16.98,17.37,0.93,0.24,0.07,-8.21,-11.12,8.46,8
0.27,-2.43,-3.29,0.86,12.27,20.04,1.0,0.28,0.04,-6.76,-8.39,11.11,8
0.15,-2.74,-3.92,-4.04,16.08,20.04,1.12,0.33,0.09,-13.85,-1.07,3.37,8
1.29,-2.23,-4.0,-3.84,16.59,20.04,1.18,0.39,0.13,-10.6,12.24,-4.27,8
3.64,-2.15,0.03,-7.1,15.18,17.18,1.01,0.41,0.07,-9.86,18.11,-10.88,8
2.31,-1.17,1.33,-7.37,13.41,12.82,0.93,0.36,0.04,-10.12,17.41,-9.92,8
3.72,0.11,3.56,-6.66,11.45,8.47,0.92,0.3,0.03,-3.84,17.62,-8.72,8
3.6,1.33,6.35,-6.15,9.57,5.64,0.93,0.32,0.04,5.8,16.34,-3.76,8
10.98,4.62,9.57,-3.64,6.78,3.92,0.95,0.29,0.15,4.52,0.43,9.83,8
9.96,5.84,9.96,0.43,4.39,2.0,0.96,0.31,0.16,1.31,-13.69,17.08,8
15.18,5.96,14.23,2.62,0.98,0.5,0.95,0.32,0.12,0.05,-12.85,23.24,8
10.31,7.57,17.49,1.64,-3.6,-1.6,0.91,0.33,0.09,-5.11,-3.97,8.92,8
12.0,6.94,18.08,1.21,-4.82,-1.33,1.04,0.29,0.01,-3.34,-2.91,-7.9,8
10.04,6.62,16.51,1.45,-3.88,-1.56,1.15,0.27,0.03,11.97,0.89,-16.0,8
12.16,6.31,14.74,1.09,-3.09,0.35,1.03,0.26,0.08,20.85,6.37,-15.82,8
9.37,5.76,11.02,0.58,-1.45,2.15,0.89,0.3,0.16,16.33,5.09,-9.84,8
9.84,6.39,7.84,0.47,1.29,2.7,0.85,0.29,0.16,3.91,4.82,-10.08,8
6.55,4.98,5.41,-3.09,5.68,5.53,0.92,0.28,0.11,-6.94,3.73,-12.8,8
4.11,4.19,3.53,-3.33,9.53,9.61,0.9,0.25,0.04,-5.21,4.82,-13.59,8
2.66,2.86,1.49,-2.82,13.96,13.65,0.83,0.33,0.05,-2.6,-4.71,-1.69,8
0.11,0.07,-1.6,-4.19,16.94,16.47,0.99,0.36,0.01,-3.23,-22.91,12.83,8
-1.21,-2.23,-2.9,-3.92,13.29,20.04,1.18,0.35,0.09,0.95,-18.44,9.24,8
-2.78,-3.37,-3.53,-3.25,11.37,20.04,1.13,0.38,0.1,4.3,-6.48,5.28,8
-1.64,-4.0,-4.43,-2.86,10.98,20.04,1.04,0.38,0.04,6.87,4.0,0.62,8
6.23,0.07,-1.01,-3.49,12.27,19.18,0.87,0.38,0.0,-4.92,11.63,-10.86,8
4.94,0.07,0.98,-4.43,11.25,13.57,0.83,0.33,0.04,-14.16,9.34,-11.4,8
2.31,0.47,3.41,-5.76,8.7,8.98,0.9,0.34,0.02,-12.42,9.16,-11.55,8
5.02,1.41,4.7,-5.41,5.64,6.08,0.94,0.3,0.03,-8.07,1.85,-5.23,8
5.6,2.07,6.31,-5.09,4.7,4.86,1.02,0.32,0.04,0.05,-6.1,3.72,8
9.96,3.96,7.06,-2.27,2.47,4.19,0.93,0.32,0.05,3.93,-7.09,8.6,8
10.47,5.29,10.04,0.94,0.66,2.07,0.88,0.35,0.06,8.46,-11.23,16.25,8
11.53,6.43,14.86,1.84,-2.94,-1.37,1.0,0.33,0.04,8.2,-10.1,17.35,8
7.8,8.55,17.18,1.8,-4.39,0.31,1.18,0.3,0.06,6.01,-7.83,12.82,8
11.14,7.29,17.84,0.66,-5.64,-1.6,1.02,0.28,0.08,7.98,1.71,-5.7,8
9.06,6.94,16.51,1.88,-4.7,0.39,0.88,0.28,0.06,7.83,5.2,-16.71,8
8.19,5.68,13.49,0.03,-2.27,0.07,0.82,0.27,0.07,4.52,8.7,-26.35,8
7.76,5.64,10.63,0.03,0.31,1.52,0.83,0.28,0.1,-2.31,6.35,-25.83,8
8.59,7.06,7.84,-1.17,2.94,2.82,0.9,0.32,0.05,-7.45,2.13,-20.42,8
7.53,5.96,7.41,-2.39,7.02,9.57,0.93,0.32,0.07,-10.66,1.32,-14.36,8
5.33,5.13,4.35,-5.49,8.59,7.49,0.99,0.43,0.07,-11.11,-12.42,1.24,8
2.78,3.53,1.21,-5.8,15.8,9.96,1.17,0.46,0.05,-13.73,-29.27,12.72,8
0.35,0.43,0.5,-3.13,17.73,13.84,1.15,0.42,0.15,1.49,-26.96,13.13,8
0.86,-1.68,-1.6,0.78,15.25,18.2,0.98,0.38,0.06,20.68,-17.4,13.89,8
0.54,-3.56,-2.35,-3.09,16.39,20.04,0.85,0.38,0.13,19.13,4.35,4.35,8
1.52,-2.7,-2.11,-3.88,15.92,20.04,0.8,0.37,0.06,8.85,22.69,-6.29,8
4.78,0.43,-1.76,-6.78,15.92,20.04,0.94,0.38,0.06,-1.23,29.89,-8.34,8
5.06,-1.21,0.74,-7.37,14.67,15.02,1.0,0.33,0.06,-2.66,28.15,-7.33,8
3.33,0.86,2.0,-5.57,11.65,8.55,0.97,0.31,0.05,2.6,17.21,6.95,8
3.29,0.23,4.94,-6.66,10.12,4.31,1.0,0.32,0.13,8.2,9.14,12.47,8
6.04,1.17,5.72,-4.11,8.31,3.17,0.92,0.36,0.16,3.27,3.68,12.11,8
8.47,2.7,7.6,-2.23,4.7,4.62,0.91,0.37,0.13,1.63,0.9,13.49,8
6.66,5.37,6.98,1.76,0.11,0.07,0.88,0.35,0.12,1.49,0.66,9.7,8
13.72,4.66,13.21,2.23,-4.15,0.78,0.99,0.36,0.07,-1.17,-2.19,6.74,8
10.82,6.94,15.65,1.76,-4.31,0.86,1.12,0.33,0.1,2.99,0.94,0.54,8
11.33,6.59,20.04,0.66,-4.58,-2.51,1.05,0.28,0.12,5.29,6.47,-9.06,8
9.17,5.8,18.75,2.0,-3.96,-1.17,0.9,0.26,0.13,-1.03,7.08,-14.23,8
12.31,7.96,16.04,0.23,-2.62,0.35,0.85,0.23,0.12,-6.42,7.27,-21.03,8
8.27,7.68,12.55,0.74,0.7,2.58,0.82,0.28,0.04,-7.0,6.52,-23.69,8
7.6,5.57,7.64,-1.56,2.51,6.0,0.84,0.29,0.0,-6.34,2.43,-17.05,8
5.17,5.76,3.92,-5.13,6.08,10.31,0.87,0.36,0.03,-4.88,-2.65,-9.31,8
3.64,3.56,1.25,-1.76,8.98,12.82,1.01,0.43,0.02,-1.7,-15.02,4.39,8
1.37,0.35,-1.25,2.23,11.65,17.06,1.08,0.44,0.02,2.17,-15.27,9.9,8
-1.05,-2.03,-3.17,-2.58,14.35,19.65,1.21,0.44,0.08,5.55,-14.79,19.75,8
-2.58,-3.25,-4.9,-7.76,14.35,20.04,1.15,0.43,0.06,13.07,0.72,14.08,8
-2.31,-3.6,-4.62,-7.96,12.7,20.04,0.9,0.41,0.0,11.82,17.17,-4.19,8
3.17,0.7,-1.33,-7.21,11.1,18.86,0.79,0.38,0.0,1.11,21.63,-11.82,8
6.66,0.5,0.47,-7.41,9.45,13.41,0.86,0.33,0.0,-1.97,16.33,-8.03,8
2.86,0.66,1.92,-6.51,7.72,8.51,0.93,0.34,0.01,0.2,10.27,-2.4,8
2.58,1.6,4.31,-6.0,6.19,6.19,0.86,0.32,0.06,3.56,4.06,2.89,8
4.51,2.03,6.19,-4.74,4.7,4.11,0.89,0.35,0.11,4.0,-6.23,10.6,8
8.94,4.35,9.13,-1.68,1.29,2.39,0.98,0.33,0.11,9.04,-9.69,15.5,8
11.41,5.37,12.12,0.03,-2.47,0.94,0.95,0.37,0.15,9.59,-4.2,16.37,8
13.45,8.59,17.25,3.41,-6.08,0.43,0.99,0.43,0.12,1.71,-6.68,12.4,8
17.41,7.25,17.84,1.88,-6.43,-2.15,1.11,0.33,0.09,-1.73,-2.94,1.79,8
2.23,5.6,20.04,2.15,-6.55,-1.25,1.07,0.3,0.15,2.94,3.34,-12.97,8
8.59,5.21,17.25,0.9,-4.55,1.45,0.94,0.33,0.21,4.03,3.33,-16.23,8
9.84,5.64,14.47,0.19,-2.62,2.9,0.83,0.35,0.15,-1.0,2.98,-21.07,8
7.49,6.47,11.1,0.07,0.27,7.37,0.82,0.33,0.16,-14.73,-4.42,-16.07,8
7.25,4.82,7.02,-1.33,4.43,7.57,0.91,0.26,0.09,-19.84,-2.49,-9.62,8
4.23,5.17,4.07,-2.98,8.62,11.68,0.86,0.34,0.06,-19.24,-1.16,-3.2,8
2.94,2.62,0.39,0.54,9.92,15.21,0.86,0.38,0.03,-18.62,-10.89,1.2,8
0.15,0.7,0.82,-1.68,11.37,15.65,0.93,0.46,0.02,-11.48,-20.32,8.24,8
-1.21,0.5,-2.94,-6.47,13.72,19.45,1.11,0.44,0.1,0.15,-22.04,13.71,8
-2.39,-5.02,-5.37,-7.92,12.08,20.04,1.22,0.39,0.13,5.75,-10.72,12.96,8
0.7,-3.33,-3.45,-5.06,10.19,18.51,1.04,0.42,0.0,10.83,5.59,6.09,8
2.35,-2.31,-2.35,-4.74,10.31,17.1,0.88,0.41,0.05,1.8,15.11,-2.36,8
2.35,0.94,1.01,-5.06,8.86,14.39,0.72,0.37,0.0,-8.34,20.16,-11.53,8
1.41,-2.82,1.6,-5.6,7.49,9.25,0.84,0.34,0.04,-9.63,16.71,-8.96,8
3.64,0.43,3.84,-4.47,5.25,7.29,1.04,0.28,0.0,0.16,10.62,0.21,8
3.72,1.45,7.21,-3.37,2.74,5.17,1.07,0.34,0.07,8.06,-1.0,13.69,8
9.92,4.0,10.86,-1.96,0.35,4.35,0.91,0.31,0.09,14.78,-7.47,23.9,8
12.55,4.23,12.19,-1.37,-2.07,1.92,0.85,0.38,0.14,19.42,0.35,21.6,8
11.88,5.25,17.18,1.76,-5.64,1.96,0.98,0.41,0.17,8.68,2.37,13.37,8
14.31,5.6,18.47,0.74,-5.09,0.94,1.1,0.41,0.11,2.59,5.77,2.67,8
9.92,5.88,17.69,0.94,-5.64,0.35,1.13,0.33,0.09,9.93,3.99,0.06,8
7.02,5.21,16.71,0.78,-4.82,1.92,1.02,0.29,0.17,12.79,0.55,-3.9,8
10.08,4.98,12.63,0.58,-2.27,4.55,0.83,0.25,0.18,10.12,2.04,-10.6,8
8.0,4.9,9.61,0.66,0.03,6.78,0.76,0.28,0.17,-1.86,2.08,-16.17,8
5.8,4.7,7.29,-1.05,2.86,6.94,0.82,0.3,0.13,-14.28,0.12,-17.69,8
4.19,3.25,4.51,-1.76,9.72,5.21,0.88,0.34,0.08,-19.21,0.43,-17.24,8
2.19,1.88,2.03,-1.8,9.8,9.72,0.86,0.34,0.01,-18.78,-4.97,-7.85,8
2.15,0.94,0.03,0.15,10.9,13.72,0.94,0.36,0.01,-6.36,-14.89,8.06,8
1.33,-2.39,-2.51,-6.27,12.31,17.14,1.12,0.44,0.06,7.36,-17.32,21.71,8
0.15,-2.78,-3.76,-6.08,14.2,19.73,1.36,0.45,0.14,15.06,-14.98,27.27,8
0.03,-2.62,-3.6,-5.96,12.7,19.88,1.13,0.41,0.05,23.92,3.45,10.2,8
3.84,-1.13,0.78,-4.19,12.63,20.04,0.86,0.4,0.04,16.91,16.42,-1.3,8
3.33,-1.45,0.9,-4.43,11.1,16.59,0.81,0.33,0.04,0.18,15.6,0.39,8
2.74,0.39,2.78,-6.19,8.7,11.45,0.89,0.26,0.01,0.24,15.11,0.34,8
4.55,0.27,4.66,-6.19,7.33,8.62,0.9,0.25,0.0,9.09,12.97,4.5,8
4.94,3.76,6.23,-6.0,5.68,6.27,0.9,0.32,0.09,11.18,1.7,15.78,8
7.49,4.35,7.76,-4.11,5.53,4.55,0.98,0.31,0.14,12.29,-5.09,20.08,8
9.76,5.09,10.51,-1.84,2.66,2.78,0.91,0.32,0.13,11.39,-2.99,15.34,8
10.08,5.92,10.94,0.9,0.5,3.13,0.91,0.38,0.13,8.43,-1.07,13.4,8
10.66,5.72,16.98,2.78,-6.62,0.47,1.14,0.32,0.04,5.29,-5.81,18.61,8
13.14,8.78,18.0,1.52,-4.58,-2.11,1.26,0.27,0.1,9.94,-4.23,6.45,8
10.04,6.98,18.43,0.5,-5.53,-1.41,0.94,0.2,0.14,11.12,6.37,-10.72,8
9.33,7.88,17.02,0.86,-4.55,1.49,0.77,0.21,0.19,3.68,12.11,-21.82,8
10.94,7.37,11.53,0.23,-1.56,3.09,0.77,0.23,0.14,-9.58,11.29,-27.27,8
6.39,7.25,9.72,0.11,0.23,7.76,0.89,0.28,0.09,-20.54,6.59,-26.6,8
5.64,6.11,7.92,0.15,3.09,9.21,0.99,0.3,0.05,-18.58,4.48,-25.84,8
3.37,6.08,4.82,0.7,8.7,5.88,0.87,0.36,0.03,-19.34,-3.43,-22.39,8
1.52,3.13,1.76,-1.17,15.76,10.43,0.87,0.33,0.02,-17.17,-16.51,-11.01,8
0.43,0.98,0.19,-8.15,16.74,14.82,0.97,0.37,0.0,1.26,-11.97,1.5,8
0.62,-1.33,-2.23,-4.0,8.11,19.73,1.13,0.4,0.09,9.58,-6.8,10.99,8
-1.8,-2.54,-4.9,0.23,10.31,20.04,1.24,0.48,0.05,9.23,-7.81,15.46,8
-2.23,-4.07,-6.08,0.5,10.43,20.04,1.09,0.44,0.03,8.46,2.98,4.48,8
0.98,-1.8,-4.11,-7.06,14.35,20.0,0.9,0.41,0.05,4.95,16.3,-6.23,8
4.74,0.15,0.94,-7.06,11.41,14.86,0.9,0.36,0.05,-4.2,15.65,-2.85,8
2.66,0.47,2.47,-4.62,7.57,9.21,0.93,0.29,0.02,-5.01,11.55,0.77,8
4.19,0.66,4.07,-7.13,6.62,5.88,0.89,0.31,0.05,-2.53,3.66,9.62,8
2.35,3.88,8.19,-6.59,5.09,3.76,0.94,0.3,0.09,-1.75,-7.1,23.41,8
7.6,4.82,12.78,-1.84,4.62,3.29,0.92,0.28,0.11,4.9,-9.18,27.38,8
11.72,5.17,14.82,1.49,0.07,0.0,0.84,0.31,0.12,8.71,-11.62,25.36,8
13.02,7.68,18.98,1.45,-4.27,0.19,0.92,0.3,0.11,4.14,-12.69,16.58,8
13.06,7.41,19.45,0.35,-5.49,-2.31,1.11,0.25,0.08,6.33,-6.97,-1.47,8
11.33,8.7,20.04,1.45,-5.29,-3.02,1.13,0.27,0.14,10.13,0.87,-15.36,8
6.27,6.82,17.06,0.66,-3.76,0.74,0.96,0.25,0.17,6.88,2.84,-23.51,8
