d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
4.78,5.6,-3.64,-7.57,12.67,-2.86,1.22,0.29,0.13,-161.21,-62.51,-9.09,7
4.35,6.23,-2.78,-5.53,14.39,-2.82,1.31,0.38,0.18,-186.08,-61.71,9.36,7
5.06,7.41,-3.29,-8.66,14.0,-2.47,1.32,0.45,0.41,-192.84,-33.97,9.55,7
6.19,9.53,-3.21,-13.14,15.14,-2.39,1.27,0.36,0.26,-168.91,-15.44,13.08,7
6.9,10.74,-2.0,-18.39,13.45,-3.41,1.18,0.3,0.04,-144.93,0.95,15.43,7
6.31,14.78,2.35,-16.9,12.78,-5.8,1.01,0.38,0.0,-160.95,12.02,10.82,7
9.96,7.8,1.68,-17.02,12.35,-6.7,0.75,0.31,0.06,-188.55,4.63,5.36,7
6.82,9.64,0.98,-14.2,9.8,-6.47,0.72,0.31,0.14,-202.07,3.65,-3.2,7
5.41,8.59,-4.27,-11.45,9.45,-4.0,0.82,0.35,0.18,-199.08,12.27,-16.65,7
3.41,9.1,-3.72,-7.76,6.78,-1.92,0.97,0.42,0.18,-195.03,18.2,-35.9,7
0.11,9.1,-3.45,-4.74,4.9,0.66,1.04,0.44,0.06,-195.86,9.89,-46.36,7
0.11,9.72,-2.23,-2.43,-3.6,-2.54,1.04,0.51,0.02,-211.51,-14.13,-39.02,7
4.15,12.19,-3.13,0.27,-6.04,-2.66,0.96,0.46,0.0,-219.3,-30.93,-31.99,7
2.62,10.43,0.74,-3.56,-5.49,-2.35,0.79,0.52,0.05,-224.04,-22.25,-38.21,7
1.29,8.51,0.39,-2.11,-5.53,0.19,0.66,0.59,0.09,-236.33,-26.09,-48.93,7
0.5,8.43,0.03,-4.94,-6.47,1.88,0.64,0.59,0.13,-240.7,-48.24,-63.51,7
2.39,10.12,0.0,-8.08,-5.72,3.56,0.92,0.42,0.07,-226.41,-72.02,-49.85,7
12.16,11.96,-2.98,-10.23,-3.49,6.94,1.3,0.58,0.08,-207.04,-61.82,-61.27,7
5.06,11.41,-4.15,-8.98,-2.51,6.66,1.31,0.53,0.11,-203.76,-65.87,-25.81,7
2.0,10.04,-5.09,-5.33,-2.47,6.59,1.2,0.55,0.03,-201.28,-70.98,-3.92,7
3.21,8.39,-6.08,1.52,-3.72,5.92,1.02,0.47,0.06,-178.18,-65.36,0.74,7
4.66,7.49,-5.84,7.29,-6.08,5.37,0.88,0.38,0.11,-157.66,-58.51,3.79,7
5.17,6.9,-4.39,6.31,-8.7,4.98,0.79,0.31,0.01,-146.53,-56.46,13.94,7
4.98,6.35,-3.96,6.43,-9.25,2.23,0.85,0.33,0.05,-145.28,-55.83,28.09,7
3.92,7.45,-2.43,3.72,-9.76,1.84,0.91,0.39,0.05,-156.16,-57.46,30.55,7
6.04,8.43,0.58,3.09,-8.55,2.62,0.99,0.42,0.0,-155.31,-54.61,28.51,7
5.21,8.55,-2.43,5.8,-7.37,2.0,0.98,0.41,0.03,-144.02,-47.5,18.95,7
5.88,10.04,-1.76,4.86,-5.29,0.39,0.91,0.39,0.06,-128.5,-47.01,9.95,7
7.8,10.0,0.66,5.29,-3.25,-1.21,0.85,0.37,0.09,-115.48,-54.91,16.34,7
4.82,8.47,-2.15,9.21,1.68,-4.11,0.77,0.35,0.04,-96.33,-62.32,24.28,7
4.27,7.21,-2.51,8.55,4.86,-7.21,0.61,0.12,0.0,-81.63,-78.41,31.08,7
0.0,8.47,0.62,15.14,7.88,-6.7,0.75,0.07,0.06,-80.82,-93.88,24.45,7
1.88,10.19,-2.23,7.13,14.12,-5.37,1.56,0.1,0.62,-103.46,-90.57,25.3,7
2.9,11.57,-6.31,4.62,20.04,-10.74,1.65,0.49,0.84,-74.18,-87.09,39.03,7
2.78,13.41,-6.86,-20.08,20.04,-18.55,1.15,0.07,0.45,-22.01,-114.5,58.37,7
1.13,10.66,-5.72,-20.08,20.04,-12.55,0.81,0.02,0.54,-23.44,-104.66,61.85,7
0.35,8.59,-4.04,-18.24,20.04,-8.0,0.79,0.12,0.5,-46.06,-68.64,46.53,7
1.41,9.72,-1.37,-16.55,20.04,-2.78,0.83,0.07,0.61,-65.31,-38.88,33.25,7
0.07,12.59,2.31,-16.59,17.33,0.31,0.88,0.08,0.89,-61.08,-31.25,24.16,7
0.54,11.57,2.19,-10.55,13.25,0.7,0.78,0.06,-1.03,-33.65,-16.88,14.74,7
