d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
3.68,7.53,-2.78,0.86,-9.53,0.35,0.92,0.37,0.05,-176.93,-57.88,-25.76,2
7.29,10.43,-2.78,1.8,-10.23,0.5,1.34,0.43,0.06,-162.87,-49.33,-21.69,2
7.45,11.1,-2.31,0.7,-11.41,-2.98,1.24,0.44,0.03,-150.72,-43.27,-11.34,2
5.29,9.88,-1.92,-4.23,-10.31,-4.19,1.08,0.41,0.0,-136.64,-37.11,2.51,2
4.43,9.57,-1.56,-2.39,-8.82,-3.33,1.02,0.3,0.08,-126.28,-27.25,6.42,2
4.47,7.57,-1.09,-6.86,-6.08,-2.54,0.96,0.29,0.02,-112.15,-10.88,9.01,2
2.98,7.72,-1.41,-5.09,-5.33,-1.09,0.93,0.3,0.03,-100.81,-2.73,11.32,2
3.21,7.21,-1.92,-4.35,-4.04,3.45,0.88,0.24,0.02,-100.63,-5.14,13.57,2
4.39,7.84,-1.37,-4.78,-2.0,2.35,0.87,0.18,0.0,-93.92,-9.42,12.54,2
5.09,9.25,-1.37,-3.76,4.55,7.21,1.03,0.23,0.04,-81.7,-12.17,12.42,2
5.96,10.04,0.35,-14.78,6.55,9.13,1.0,0.28,0.11,-75.67,-7.11,4.33,2
6.35,9.84,1.09,-20.08,11.72,14.12,0.88,0.25,0.14,-74.56,-8.18,5.52,2
5.49,10.35,0.23,-20.08,0.58,17.76,0.89,0.23,0.07,-66.79,-16.56,4.73,2
4.47,9.96,0.19,-20.08,-3.64,15.02,0.81,0.19,0.04,-62.79,-12.49,-3.54,2
3.76,8.39,0.62,-15.57,1.33,11.33,0.78,0.13,0.08,-67.24,0.63,-21.88,2
2.86,9.41,-1.41,-8.19,0.19,7.25,1.1,0.24,0.12,-77.64,0.28,-18.78,2
3.68,11.57,-2.7,1.05,0.98,4.0,1.75,0.32,0.07,-81.65,1.26,-24.36,2
5.17,12.63,-3.8,1.76,-2.11,-2.0,1.19,0.19,0.07,-65.76,-18.91,-7.98,2
4.94,9.06,-3.33,10.7,-5.29,-3.53,0.82,0.14,0.07,-23.43,-33.61,7.96,2
3.49,7.17,-2.7,15.37,-6.66,-4.47,0.75,0.13,0.11,-4.07,-32.23,8.98,2
2.74,7.53,-2.27,17.57,-9.1,-2.98,0.87,0.07,0.08,0.63,-9.68,-4.94,2
2.94,7.92,-2.03,11.84,-7.06,-8.0,0.99,0.14,0.03,9.71,7.53,-11.65,2
3.84,9.13,-2.66,5.84,-4.15,-6.15,1.09,0.2,0.02,20.78,-1.84,-10.04,2
5.09,10.31,-2.66,5.76,-3.76,-4.47,1.07,0.19,0.03,31.11,-9.32,-12.92,2
6.74,10.39,-2.51,4.94,-1.92,-4.43,1.05,0.17,0.07,46.59,-4.33,-13.36,2
7.33,10.12,-1.6,1.8,0.23,4.94,0.99,0.21,0.02,54.81,2.35,-16.65,2
6.98,8.98,0.66,-2.47,7.88,13.21,1.03,0.26,0.0,47.59,3.54,-13.62,2
7.37,9.84,-1.29,-20.08,19.1,20.04,1.15,0.42,0.03,36.7,-3.9,-2.61,2
5.25,10.31,-2.19,-20.08,4.78,20.04,1.09,0.3,0.09,36.23,-16.94,9.14,2
4.27,9.68,-2.43,-20.08,-6.98,16.31,0.99,0.2,0.24,56.61,-23.21,15.55,2
4.11,9.29,-1.88,-12.98,1.41,9.76,0.9,0.24,0.22,78.47,-13.56,10.84,2
2.98,9.02,-1.29,-3.45,0.31,5.72,0.98,0.31,0.24,90.78,0.73,8.88,2
2.43,9.37,-1.41,0.58,-2.27,2.19,1.1,0.28,0.19,107.49,11.08,8.21,2
2.62,8.9,-1.41,2.39,-2.47,1.76,1.05,0.22,0.12,125.91,7.89,15.53,2
2.43,9.21,-1.88,0.11,-3.76,1.64,0.94,0.3,0.13,136.81,-7.14,12.53,2
2.9,10.15,-2.11,0.78,-3.84,1.84,0.93,0.32,0.18,149.23,-1.31,0.83,2
3.37,9.68,-1.88,0.07,-3.76,1.45,0.89,0.33,0.12,160.26,16.14,-11.05,2
3.49,9.21,-2.0,0.11,-3.49,0.74,0.88,0.31,0.02,165.04,24.24,-18.85,2
3.49,8.86,-1.8,0.43,-1.33,0.23,0.9,0.31,0.04,157.93,26.27,-24.46,2
3.88,8.9,-1.92,0.78,3.33,-1.25,0.94,0.28,0.09,144.94,26.92,-26.91,2
2.58,10.04,-2.07,-4.47,9.88,-5.21,1.08,0.3,0.13,131.85,26.93,-24.69,2
3.76,10.74,-1.72,-14.2,13.96,-5.13,1.3,0.3,0.0,121.96,33.84,-11.37,2
3.33,11.45,-2.58,-20.08,10.12,-9.02,1.22,0.25,0.15,129.7,49.86,7.18,2
6.39,10.31,-3.49,-20.08,14.74,-8.78,0.9,0.26,0.19,147.15,42.17,24.23,2
7.29,10.59,-4.07,-16.74,9.84,-4.47,0.9,0.3,0.29,150.29,22.71,22.72,2
10.12,12.51,-4.51,-17.22,9.72,-4.04,0.97,0.28,0.37,162.04,26.4,11.85,2
11.25,14.16,-4.51,-10.47,9.61,-3.88,0.9,0.35,0.37,191.4,51.57,9.57,2
14.98,15.25,-5.21,-9.76,9.92,-4.58,0.87,0.35,0.25,210.0,71.96,8.78,2
18.08,14.82,-6.23,-8.27,9.06,-4.98,0.89,0.36,0.07,206.5,69.43,4.87,2
18.39,12.9,-5.21,-10.55,9.8,-5.6,0.95,0.25,0.0,182.3,56.05,0.76,2
17.33,14.04,-3.76,-8.94,8.74,-4.15,0.96,0.24,0.0,148.61,47.28,-4.52,2
14.63,12.19,-2.51,-5.53,9.33,-3.41,1.04,0.24,0.09,132.07,37.27,-3.22,2
10.04,10.51,-1.92,-3.49,11.53,-3.56,1.08,0.23,0.16,134.16,33.91,-10.99,2
3.84,5.96,-2.39,-3.76,10.98,-3.09,0.97,0.26,0.13,136.77,33.04,-10.81,2
2.47,-1.25,-2.94,-4.07,10.23,-2.51,0.98,0.37,0.11,130.79,33.34,-8.5,2
0.82,-2.94,-3.33,-4.19,9.88,-1.52,1.05,0.44,0.17,133.83,36.66,-13.94,2
0.86,-4.19,-5.06,-3.49,10.23,0.58,1.09,0.43,0.15,150.49,38.64,-12.6,2
0.58,-3.49,-5.53,-2.39,11.17,0.7,1.08,0.4,0.03,158.07,20.79,-6.69,2
-1.17,-2.27,-6.31,-2.0,10.98,0.03,0.99,0.36,0.18,146.5,6.95,-4.79,2
0.31,-2.78,-5.13,-1.33,10.0,0.0,0.92,0.24,0.18,122.38,13.04,-4.5,2
0.62,-3.21,-1.45,-1.25,8.9,0.07,0.78,0.24,0.12,89.56,24.56,-7.28,2
2.27,-3.8,0.74,-1.6,7.96,0.66,0.69,0.19,0.03,58.81,28.07,-8.53,2
1.29,0.66,2.23,-1.64,7.6,1.88,0.99,0.15,0.0,48.32,15.79,2.83,2
7.49,-1.88,6.98,-1.56,11.45,5.17,1.6,0.13,0.12,54.95,5.72,-7.32,2
20.04,6.94,3.68,-5.17,13.65,1.6,1.14,0.2,0.05,67.81,7.68,-6.54,2
20.04,0.9,4.39,-5.68,11.06,0.58,0.86,0.26,0.02,76.71,7.95,0.56,2
20.04,-9.21,4.11,-3.84,9.17,0.0,0.8,0.25,0.0,56.54,2.14,11.8,2
18.0,-1.92,3.56,-1.72,9.13,0.35,0.88,0.22,0.0,30.36,4.73,9.15,2
5.09,-2.62,2.94,0.11,9.64,1.41,1.08,0.18,0.07,22.23,11.27,9.27,2
0.03,-1.8,0.62,0.74,10.15,1.25,1.12,0.25,0.11,32.05,15.33,6.3,2
-5.06,-1.49,0.5,0.54,10.82,1.45,1.1,0.28,0.14,45.79,16.84,1.99,2
-8.31,-3.6,-3.13,0.94,10.94,0.35,1.04,0.3,0.09,48.84,19.04,-6.78,2
-16.0,-6.35,-6.19,-2.39,10.55,0.27,0.95,0.28,0.0,35.65,18.54,-10.7,2
-17.06,-9.37,-9.25,-2.66,9.37,0.0,0.87,0.24,0.02,19.46,18.94,-12.12,2
-17.18,-8.23,-8.39,-2.27,8.47,0.78,0.83,0.22,0.03,3.56,16.49,-15.96,2
-13.76,-5.09,-5.45,-1.52,8.04,1.29,0.92,0.22,0.01,-9.31,10.83,-16.07,2
-6.08,-1.84,-2.47,-1.45,8.78,1.56,1.2,0.19,0.08,-14.27,1.79,-9.43,2
-2.31,1.21,-1.88,-1.8,9.76,0.54,1.28,0.18,0.17,-29.84,-7.39,-3.36,2
7.6,14.12,4.11,-2.74,11.25,0.15,1.12,0.2,0.14,-53.37,-17.39,-2.79,2
20.04,18.63,-1.05,-4.98,10.35,0.78,0.94,0.22,0.03,-54.45,-13.68,3.01,2
20.04,8.08,0.54,-5.92,9.25,1.21,0.85,0.22,0.03,-38.81,-13.06,7.94,2
14.47,2.58,0.86,-4.35,9.25,0.94,0.9,0.21,0.11,-40.73,-23.45,10.98,2
7.41,2.47,0.19,-2.39,10.12,0.27,1.0,0.17,0.14,-61.5,-31.35,7.79,2
2.51,4.11,1.05,0.15,10.98,0.39,1.08,0.19,0.12,-79.13,-30.16,10.01,2
1.56,3.96,1.72,2.47,11.14,1.68,1.08,0.24,0.08,-88.61,-32.56,13.18,2
0.66,5.21,1.17,2.43,9.96,2.39,1.04,0.29,0.05,-98.04,-39.36,20.79,2
0.54,10.74,0.03,1.17,8.74,2.86,1.02,0.32,0.04,-113.15,-47.01,28.5,2
3.72,17.65,0.86,0.07,8.7,1.68,0.98,0.32,0.03,-128.44,-52.81,34.63,2
13.53,20.04,-2.51,0.39,9.41,1.17,0.95,0.28,0.12,-137.56,-49.07,39.3,2
10.15,20.04,0.03,-2.19,10.59,0.9,0.92,0.21,0.2,-143.22,-38.07,34.53,2
3.92,20.04,1.76,-4.15,11.96,0.74,0.93,0.2,0.18,-143.86,-29.76,25.13,2
5.8,20.04,0.58,-5.25,11.84,0.19,0.94,0.2,0.15,-144.61,-22.01,15.55,2
3.13,19.26,-3.09,-4.62,11.06,0.9,0.98,0.26,0.14,-142.95,-13.04,4.74,2
2.31,14.08,-3.8,-2.66,10.78,-1.13,0.97,0.28,0.17,-148.24,-10.72,-4.11,2
2.19,12.63,-3.56,-1.33,10.78,0.94,0.97,0.27,0.19,-151.12,-12.4,-6.42,2
2.31,11.72,-5.25,0.39,10.55,0.5,0.97,0.28,0.2,-149.36,-12.22,-6.11,2
2.51,10.31,-6.86,0.27,10.15,0.58,0.97,0.34,0.2,-141.18,-9.21,-10.72,2
2.31,8.59,-7.49,0.5,10.23,0.31,1.01,0.34,0.22,-137.99,-9.74,-17.99,2
2.0,8.08,-6.66,-1.09,10.04,0.7,1.03,0.31,0.18,-137.18,-17.15,-24.59,2
2.58,6.82,-5.02,-1.68,9.33,0.82,0.97,0.3,0.2,-136.15,-25.67,-24.81,2
2.94,7.72,-3.41,-2.31,8.98,0.19,0.92,0.3,0.23,-143.27,-36.33,-20.95,2
2.39,7.21,-2.9,-3.56,9.41,0.62,0.94,0.28,0.19,-142.78,-42.34,-16.36,2
2.51,7.96,-2.94,-3.6,11.8,-1.92,1.08,0.27,0.04,-135.05,-44.19,-9.61,2
3.56,2.94,-3.84,-5.96,14.0,-4.04,1.1,0.34,0.07,-136.43,-44.85,-11.2,2
6.27,9.21,0.35,-5.53,13.25,-2.7,0.92,0.37,0.11,-165.34,-47.68,-9.84,2
7.6,9.29,0.39,-8.39,12.59,-2.43,0.9,0.34,0.02,-182.73,-47.31,0.95,2
10.35,11.61,1.17,-12.43,13.65,-3.37,0.9,0.32,0.13,-176.23,-40.24,-1.72,2
9.37,12.43,0.39,-13.33,14.47,-5.72,0.9,0.33,0.19,-157.08,-34.91,-5.33,2
-1.05,13.72,0.15,-14.12,12.98,-5.76,0.97,0.31,0.22,-139.16,-34.28,-4.09,2
