d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
1.56,8.08,0.98,0.7,7.57,0.11,0.94,0.3,0.3,-25.15,-3.31,-13.75,4
0.94,8.59,0.43,0.82,8.35,0.03,0.99,0.29,0.26,-8.47,4.8,-7.2,4
1.68,9.64,0.19,-1.05,9.76,0.31,0.95,0.34,0.18,1.73,11.84,-9.18,4
2.74,10.04,0.39,-1.25,10.51,-1.01,0.97,0.33,0.08,-5.6,11.31,-9.7,4
2.23,8.98,0.7,-2.03,9.8,-1.37,0.9,0.33,0.01,-15.48,11.76,-11.93,4
2.51,8.55,1.05,-2.47,9.13,0.0,0.93,0.32,0.02,-29.98,1.77,-10.34,4
2.66,9.92,0.86,-3.17,8.74,0.39,1.17,0.31,0.08,-37.88,-11.23,-4.91,4
3.56,12.94,2.9,-3.02,10.94,0.54,1.09,0.4,0.01,-41.63,-20.32,2.68,4
2.15,12.94,2.11,-2.86,12.08,2.15,1.0,0.4,0.16,-44.76,-23.76,10.58,4
1.96,10.98,2.66,-2.62,11.92,2.98,0.97,0.34,0.23,-37.75,-18.09,3.22,4
2.03,9.84,2.58,-1.56,12.0,2.47,0.98,0.33,0.18,-22.39,-8.75,0.5,4
1.01,8.31,2.94,0.19,11.06,1.01,0.95,0.36,0.18,-14.27,-3.86,1.14,4
-1.68,7.57,3.21,0.19,10.7,0.47,0.92,0.38,0.19,-19.32,-1.31,3.21,4
0.03,8.04,2.54,0.58,10.7,1.09,0.92,0.35,0.19,-19.85,3.24,1.25,4
2.07,8.66,2.35,0.43,10.0,1.01,0.93,0.35,0.2,-13.64,7.31,1.71,4
2.19,8.23,1.49,0.03,9.41,1.21,0.9,0.37,0.24,-9.75,9.11,3.19,4
2.43,8.78,1.21,0.23,8.9,0.9,0.89,0.38,0.23,-3.02,11.06,1.82,4
2.9,9.06,1.88,-1.21,8.82,0.9,0.88,0.43,0.25,4.78,13.92,-2.75,4
3.76,9.37,2.54,-1.8,9.1,0.5,0.89,0.46,0.25,6.39,12.76,-7.19,4
2.86,8.51,4.9,-1.84,10.19,0.0,0.96,0.41,0.24,10.17,11.23,-8.23,4
