d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
-7.72,-9.68,-11.84,-7.13,-8.35,-7.76,0.79,0.36,0.01,20.04,8.52,-20.49,6
-20.08,-10.7,4.04,7.53,-9.92,-10.59,0.73,0.24,0.06,17.52,8.36,-13.06,6
-2.9,-8.11,7.02,12.9,-10.12,-4.74,0.7,0.26,0.03,21.07,11.63,0.5,6
0.62,-7.96,5.53,8.11,-8.43,2.23,0.72,0.34,0.05,20.8,0.04,21.82,6
-3.49,-10.04,2.54,8.66,-9.21,3.09,0.9,0.48,0.13,11.59,-15.49,32.11,6
-7.8,-10.04,-2.9,9.96,-9.06,1.72,1.25,0.51,0.2,0.15,-16.39,18.61,6
-3.49,-10.82,-8.82,8.11,-10.08,0.58,1.28,0.45,0.19,0.38,-3.89,-8.95,6
2.62,-12.51,-9.29,3.76,-10.98,-5.88,1.05,0.37,0.08,-4.37,9.19,-20.65,6
6.59,-9.53,-7.25,-2.86,-11.37,-9.45,0.79,0.33,0.01,-4.18,9.31,-25.52,6
13.14,-8.78,0.5,-12.82,-10.31,-7.25,0.64,0.3,0.03,-8.34,5.56,-28.82,6
15.37,-7.8,2.86,-17.33,-10.66,-2.74,0.63,0.25,0.0,-21.81,1.54,-18.88,6
13.88,-9.41,-1.56,-11.88,-9.72,-1.64,0.68,0.34,0.05,-29.02,-7.32,-5.63,6
12.31,-10.82,-10.82,-7.92,-9.25,0.39,1.03,0.51,0.03,-22.97,-15.42,10.83,6
2.9,-10.35,-15.29,-6.94,-8.04,-2.19,1.56,0.55,0.13,-10.69,-16.46,15.62,6
-4.86,-12.78,-11.06,-9.57,-8.11,-4.94,1.23,0.53,0.08,18.22,-2.34,3.94,6
-7.92,-11.61,-5.57,-5.06,-10.08,-5.96,1.02,0.44,0.05,36.75,14.51,-14.88,6
-8.66,-10.55,2.35,4.98,-11.88,-5.29,0.75,0.45,0.01,25.64,17.32,-28.73,6
-5.68,-8.27,2.82,8.31,-11.29,-2.94,0.68,0.3,0.0,15.28,10.05,-15.11,6
-1.33,-7.02,1.05,12.23,-11.21,2.51,0.72,0.27,0.01,21.81,12.17,-4.57,6
-3.56,-9.06,-1.88,11.8,-9.21,5.13,0.72,0.38,0.03,22.17,8.9,7.97,6
2.51,-8.31,-1.64,5.8,-8.55,4.78,0.88,0.47,0.16,15.48,-7.45,22.87,6
12.39,-9.49,1.29,0.19,-8.66,3.96,1.13,0.55,0.18,7.62,-11.62,18.24,6
16.9,-8.55,1.68,2.62,-9.41,2.54,1.23,0.54,0.19,-1.93,-7.95,2.35,6
11.65,-8.94,-3.17,4.0,-9.21,2.23,1.16,0.5,0.08,-5.85,8.82,-13.14,6
8.31,-10.82,-7.1,3.37,-11.29,4.98,0.97,0.4,0.05,-5.99,18.79,-17.42,6
3.25,-12.19,-9.53,-2.03,-11.14,2.62,0.79,0.37,0.08,0.76,21.81,-16.59,6
0.78,-10.15,-8.62,1.76,-5.96,5.84,0.66,0.32,0.07,-16.57,13.49,-13.44,6
-4.27,-8.11,-3.96,-5.68,-6.66,8.39,0.68,0.34,0.08,-33.4,2.16,-4.2,6
-7.57,-9.02,1.49,-1.76,-7.64,8.11,0.7,0.34,0.0,-40.01,-8.61,-4.88,6
-6.82,-8.19,2.7,0.78,-8.47,4.9,0.79,0.42,0.07,-35.12,-14.78,0.83,6
-5.17,-8.39,0.07,-1.49,-10.66,2.07,1.32,0.58,0.07,-12.22,-22.14,20.98,6
-2.31,-7.57,-3.49,2.35,-11.88,-5.06,1.39,0.69,0.16,0.95,-11.01,16.14,6
0.19,-10.12,-2.19,-7.41,-12.78,-6.35,1.01,0.44,0.1,40.96,-5.64,19.07,6
9.25,-7.92,3.33,-10.51,-10.74,4.27,0.94,0.38,0.1,48.9,14.56,-8.52,6
12.08,-9.13,5.13,-15.29,-5.37,10.19,0.81,0.41,0.0,31.28,19.63,-19.25,6
17.84,-9.21,-1.96,-13.37,-7.02,5.29,0.77,0.32,0.05,20.05,13.02,-3.81,6
7.8,-9.96,-7.21,-8.0,-9.45,0.07,0.81,0.24,0.03,22.95,7.33,8.3,6
4.11,-12.67,-10.98,-8.19,-10.78,-8.31,0.72,0.31,0.08,25.6,5.82,11.2,6
-3.33,-10.9,-11.49,-2.86,-9.8,-14.7,0.81,0.44,0.15,12.72,0.81,14.93,6
-6.59,-10.7,-7.45,15.61,-10.94,-11.06,1.05,0.47,0.18,7.1,-3.65,15.09,6
-7.96,-10.12,0.11,20.04,-11.02,0.78,1.16,0.49,0.1,0.77,9.39,-4.1,6
-7.25,-8.94,5.41,12.16,-11.53,1.68,1.19,0.61,0.14,-5.73,10.53,-3.01,6
-4.94,-11.96,3.92,5.96,-11.1,2.94,1.05,0.41,0.16,7.07,14.94,-1.93,6
-3.17,-10.98,0.98,-2.51,-8.94,1.6,0.8,0.35,0.15,1.79,19.79,-5.65,6
-2.58,-11.41,-7.06,8.9,-9.84,3.37,0.68,0.36,0.18,-14.42,17.02,-10.65,6
-3.6,-10.74,-12.47,8.23,-8.59,3.96,0.77,0.36,0.16,-32.34,6.11,-9.25,6
5.6,-8.51,-8.23,6.27,-8.19,1.49,0.86,0.33,0.07,-44.07,-7.25,-4.04,6
14.82,-5.41,0.7,-1.29,-7.49,-9.37,0.95,0.34,0.05,-37.97,-20.86,2.49,6
9.25,-7.33,2.47,-13.25,-10.74,-18.43,0.95,0.41,0.02,-14.3,-19.95,10.3,6
6.78,-6.62,2.39,-17.53,-11.25,-14.08,1.04,0.52,0.04,6.42,-18.49,22.58,6
5.8,-9.8,0.86,-20.08,-5.64,-1.6,1.2,0.55,0.07,10.17,-11.43,16.47,6
14.08,-10.9,-4.31,-9.92,-9.29,0.0,1.06,0.44,0.05,15.29,-6.17,0.92,6
8.08,-9.96,-8.27,-5.45,-10.04,-1.21,0.91,0.38,0.01,15.55,-1.3,-7.53,6
4.43,-11.57,-7.8,-14.0,-6.98,-7.17,0.83,0.37,0.04,10.64,-1.3,-7.82,6
-5.02,-9.45,-6.98,-6.51,-6.39,-11.72,0.86,0.24,0.0,14.06,-2.91,-2.37,6
-17.69,-10.15,3.53,8.11,-10.43,-15.45,0.72,0.21,0.0,26.35,1.28,4.08,6
-6.15,-9.88,5.06,20.04,-10.63,-6.19,0.64,0.36,0.05,33.42,0.35,17.32,6
0.19,-8.08,2.66,14.55,-9.29,4.58,0.85,0.57,0.15,12.75,-8.2,28.54,6
-5.25,-9.64,1.6,6.86,-8.59,3.29,1.41,0.62,0.17,-11.88,-14.77,12.71,6
-5.88,-9.96,-4.78,10.08,-9.13,0.98,1.29,0.49,0.17,-7.22,0.08,-20.23,6
-4.82,-12.63,-11.88,10.12,-12.86,-7.45,1.05,0.34,0.07,3.17,12.09,-20.31,6
5.84,-12.16,-15.53,0.07,-10.04,-11.37,0.82,0.34,0.05,5.65,13.0,-12.17,6
16.71,-8.7,-6.82,-10.94,-11.53,-15.29,0.69,0.28,0.04,-7.24,8.55,-15.3,6
12.27,-9.53,1.25,-18.9,-10.82,-6.08,0.64,0.28,0.06,-20.78,0.0,-8.27,6
7.53,-7.92,0.47,-17.88,-9.37,0.94,0.7,0.33,0.02,-29.07,-5.6,-2.3,6
9.72,-7.88,-1.37,-9.49,-8.23,0.11,0.8,0.41,0.03,-35.08,-16.72,-2.08,6
9.84,-8.94,-5.76,-6.47,-7.64,0.19,1.35,0.51,0.1,-20.67,-22.3,12.03,6
11.45,-7.02,-13.61,-15.72,-6.9,-9.29,1.4,0.62,0.14,4.07,0.3,5.67,6
-3.17,-10.98,-14.94,-2.94,-12.23,-15.45,1.13,0.47,0.05,28.11,6.16,8.5,6
-10.0,-10.23,-5.53,9.8,-12.78,-9.68,0.89,0.4,0.01,28.44,14.18,-12.62,6
-17.14,-9.88,3.6,16.2,-12.74,0.62,0.75,0.36,0.04,12.2,10.66,-19.67,6
-9.45,-9.13,5.45,7.84,-9.57,3.6,0.78,0.25,0.03,5.57,3.92,-4.78,6
-1.8,-9.37,3.13,3.17,-8.86,4.23,0.69,0.28,0.01,14.69,4.42,4.44,6
-4.86,-9.84,0.58,7.13,-8.04,3.25,0.66,0.35,0.04,11.56,-3.18,14.63,6
-1.41,-10.82,-7.92,12.74,-11.14,0.03,0.9,0.47,0.13,4.09,-12.91,22.4,6
4.78,-11.41,-12.43,4.31,-9.13,-11.53,1.28,0.48,0.16,2.06,-10.17,19.11,6
