d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
0.94,-6.0,2.07,-4.58,-8.19,0.0,1.0,0.33,0.11,-31.73,5.48,-19.65,9
2.86,-6.04,2.07,-5.17,-8.47,1.05,0.9,0.34,0.05,-28.81,10.31,-20.19,9
3.17,-7.1,0.66,-3.53,-8.66,0.23,0.87,0.43,0.0,-35.51,8.96,-20.98,9
2.39,-6.86,0.23,-3.41,-8.04,1.05,0.85,0.43,0.06,-50.67,6.34,-26.18,9
4.23,-6.55,0.07,-3.25,-7.29,0.47,0.87,0.43,0.09,-56.31,6.58,-33.02,9
2.31,-7.37,-1.72,-1.09,-6.31,1.13,0.88,0.46,0.17,-49.03,2.9,-36.68,9
1.49,-7.68,-2.27,-2.43,-5.57,1.92,0.96,0.53,0.19,-43.84,-6.92,-22.79,9
1.96,-7.68,-1.84,-3.29,-5.6,3.33,1.03,0.53,0.2,-34.11,-14.55,-14.82,9
2.54,-8.23,-4.0,0.98,-5.25,3.6,0.92,0.52,0.19,-20.79,-16.1,-5.27,9
-1.21,-10.04,-5.45,0.39,-5.02,4.66,0.92,0.5,0.13,-13.73,-18.14,6.11,9
-2.51,-11.06,-8.62,0.82,-6.04,5.13,1.0,0.48,0.12,-3.95,-15.95,15.21,9
0.94,-9.68,-8.47,0.7,-6.66,6.19,1.02,0.33,0.06,-2.5,-9.56,14.17,9
3.33,-8.86,-8.0,-1.37,-5.8,7.02,1.12,0.31,0.01,0.63,3.73,12.6,9
6.86,-8.82,0.54,0.9,-6.27,9.8,1.1,0.39,0.11,-4.73,-8.66,8.14,9
6.08,-12.12,1.96,-1.72,-5.13,10.59,1.06,0.37,0.05,0.57,-28.68,8.21,9
0.07,-9.96,5.37,-2.54,-6.31,11.57,0.99,0.23,0.01,18.1,-21.86,15.01,9
10.7,-6.19,5.13,-2.66,-6.11,12.19,0.89,0.2,0.01,28.83,-17.85,10.11,9
11.29,-4.66,4.43,-4.43,-4.66,13.06,0.89,0.27,0.02,31.1,-11.2,8.96,9
9.21,-6.39,5.57,-4.94,-4.94,13.06,1.0,0.3,0.06,36.1,1.68,3.65,9
9.84,-4.9,5.06,-4.98,-2.94,13.61,1.02,0.24,0.11,38.49,12.76,0.34,9
8.0,-3.92,4.27,-5.09,-2.86,12.74,0.93,0.31,0.17,31.87,8.37,4.66,9
8.86,-3.56,5.8,-4.62,-2.7,12.19,0.87,0.29,0.15,25.52,1.22,13.01,9
5.92,-3.25,5.29,-3.29,-3.8,11.17,0.81,0.29,0.07,16.84,1.47,12.69,9
3.8,-2.86,6.7,-2.39,-4.31,11.1,0.94,0.31,0.0,12.44,11.65,9.21,9
3.21,-3.56,7.96,-2.39,-5.06,10.12,1.36,0.47,0.21,7.71,4.31,1.36,9
4.86,-2.27,9.72,-5.17,-4.07,10.9,1.23,0.31,0.21,19.96,-12.1,2.3,9
4.7,-1.13,8.82,-4.94,-3.37,9.64,1.0,0.23,0.0,48.72,3.6,22.3,9
3.56,-1.29,9.84,-4.62,-4.66,10.12,0.88,0.28,0.15,51.97,10.59,28.76,9
4.86,-2.7,8.94,-7.29,-2.94,11.37,0.8,0.23,0.17,27.19,9.82,11.68,9
7.76,-4.23,9.92,-5.64,-3.37,12.51,0.97,0.24,0.09,0.81,-1.52,0.07,9
11.45,-5.53,9.88,-1.72,-3.33,15.18,1.07,0.16,0.01,-6.46,0.56,-3.52,9
