d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
3.8,-1.45,-8.78,-1.45,-5.49,-4.86,0.96,0.34,0.11,-3.62,4.54,7.43,1
-4.39,-1.13,-9.88,10.15,-6.39,-8.94,0.85,0.39,0.01,-10.34,-14.05,27.47,1
-10.39,-5.09,-17.06,13.88,-13.72,-13.33,0.79,0.37,0.03,-8.49,-20.49,26.66,1
-14.16,-5.37,-16.94,10.9,-12.67,-11.65,0.85,0.39,0.06,-1.53,-20.39,16.5,1
-10.39,-6.59,-15.18,10.0,-10.78,-7.53,0.97,0.41,0.07,8.57,-7.84,8.95,1
-5.53,-4.04,-13.8,5.84,-7.8,-6.39,1.0,0.42,0.01,12.17,10.02,0.38,1
-3.05,0.7,-12.47,1.17,-5.21,-6.39,0.93,0.43,0.03,7.71,17.2,-3.62,1
2.47,2.51,-9.02,-7.29,-1.49,-1.72,0.87,0.41,0.06,3.78,15.48,-7.14,1
16.67,5.76,-1.13,-16.74,2.62,3.29,0.83,0.38,0.02,2.07,9.67,-5.94,1
20.04,7.13,5.76,-20.08,0.31,4.82,0.87,0.41,0.05,5.01,5.43,-4.48,1
20.04,6.39,13.21,-20.08,2.62,8.27,0.96,0.45,0.04,10.88,4.08,3.92,1
20.04,-2.43,9.06,-20.08,0.74,6.55,1.14,0.43,0.02,16.55,0.64,8.5,1
17.92,0.11,0.58,-10.9,-2.51,1.49,1.24,0.36,0.13,16.39,0.16,3.79,1
13.21,-1.33,-3.13,-9.61,-7.29,-2.47,1.04,0.32,0.13,3.9,5.22,0.24,1
5.76,0.19,-5.45,-4.0,-2.94,-3.6,0.88,0.35,0.09,-8.39,0.83,9.65,1
2.35,-1.56,-8.08,5.45,-7.17,-7.57,0.81,0.35,0.02,-14.51,-11.52,18.91,1
-6.7,-3.56,-16.23,10.94,-14.7,-13.18,0.83,0.3,0.09,-5.98,-16.47,17.95,1
-12.74,-7.17,-19.49,9.21,-13.06,-12.55,0.88,0.35,0.02,6.7,-14.12,6.39,1
-10.74,-7.53,-18.86,10.23,-12.23,-8.86,0.95,0.42,0.0,7.36,-8.58,0.16,1
-7.33,-4.9,-14.55,7.68,-7.92,-7.33,1.0,0.4,0.02,1.18,0.5,-4.06,1
-2.51,0.15,-11.02,1.33,-4.86,-7.6,0.95,0.37,0.01,4.96,9.31,-7.01,1
8.08,3.72,-5.33,-7.17,0.39,-3.49,0.91,0.4,0.05,7.53,10.18,-5.48,1
20.04,2.7,5.41,-20.08,4.9,1.45,0.89,0.34,0.04,1.4,2.97,0.68,1
20.04,6.27,9.76,-20.08,3.17,4.55,0.89,0.38,0.02,-1.53,-2.74,1.89,1
20.04,0.62,12.04,-20.08,0.58,10.9,0.95,0.41,0.04,0.81,-6.89,9.15,1
18.78,-1.88,2.78,-18.94,-2.0,5.49,1.16,0.4,0.03,1.98,-10.59,12.6,1
15.72,-1.33,-3.49,-12.0,-2.39,1.72,1.22,0.32,0.09,-3.86,-3.1,-6.52,1
8.86,-2.19,-6.7,-5.64,-2.98,-1.45,0.98,0.3,0.1,-18.89,2.7,-4.37,1
5.02,0.66,-8.04,0.07,-3.53,-6.31,0.89,0.32,0.0,-23.76,0.7,10.54,1
-2.35,-2.19,-12.12,14.59,-11.1,-12.94,0.83,0.31,0.12,-22.82,-7.2,16.23,1
-11.61,-4.98,-13.84,13.06,-12.98,-13.88,0.89,0.32,0.12,-5.19,-11.15,10.93,1
-13.02,-5.92,-18.86,14.55,-12.43,-8.39,0.91,0.34,0.04,10.17,-6.28,2.85,1
-12.31,-5.96,-16.08,10.47,-8.15,-5.6,0.95,0.39,0.02,7.0,-1.33,0.3,1
-4.62,-2.98,-13.33,5.45,-5.76,-5.84,0.95,0.37,0.0,-1.47,8.46,-7.06,1
-1.84,1.25,-11.21,-2.39,-1.8,-7.21,0.88,0.36,0.0,0.68,18.09,-14.43,1
10.0,4.86,0.0,-11.45,3.88,2.35,0.89,0.39,0.01,0.88,16.89,-17.37,1
20.04,8.11,7.25,-20.08,7.53,1.8,0.92,0.34,0.02,-4.15,8.82,-19.14,1
20.04,5.84,10.31,-20.08,2.78,4.11,1.0,0.38,0.01,-5.15,3.1,-10.17,1
20.04,-1.56,8.0,-20.08,-2.07,8.62,1.2,0.44,0.02,2.29,-7.43,10.69,1
19.29,-2.39,0.94,-15.61,-2.94,5.29,1.15,0.35,0.04,3.35,-8.19,8.75,1
14.16,-1.52,-4.86,-9.88,-3.09,0.0,1.01,0.34,0.08,-5.45,-10.68,11.01,1
8.86,-1.37,-7.13,-6.15,-4.86,-2.94,0.9,0.34,0.04,-9.04,-6.75,8.78,1
2.35,-1.76,-7.37,-3.49,-4.27,-4.15,0.84,0.33,0.02,-10.97,-3.07,6.69,1
-1.68,-1.92,-9.72,9.41,-6.82,-8.74,0.92,0.33,0.04,-9.4,-6.04,6.59,1
-10.98,-4.31,-12.86,11.49,-14.23,-13.37,0.94,0.34,0.07,0.0,-3.96,0.08,1
-13.1,-7.53,-16.9,10.86,-13.06,-11.02,0.89,0.35,0.02,9.78,-3.52,-2.53,1
-10.23,-6.62,-15.61,10.82,-10.0,-6.66,0.9,0.37,0.01,11.97,-2.35,-4.82,1
-6.31,-3.96,-12.86,5.57,-6.62,-5.25,0.91,0.35,0.01,9.67,5.13,-10.11,1
-3.72,0.5,-10.31,1.37,-4.82,-5.37,0.89,0.36,0.0,7.71,12.89,-16.13,1
9.64,2.9,-8.62,-11.49,0.78,1.17,0.91,0.38,0.04,2.83,10.24,-17.3,1
18.35,5.02,0.82,-16.31,2.66,3.8,0.93,0.36,0.06,0.42,3.96,-15.46,1
20.04,5.64,7.72,-20.08,5.25,4.7,1.07,0.39,0.02,-5.34,-3.72,-5.81,1
20.04,2.23,9.96,-20.08,9.17,8.66,1.18,0.46,0.08,-5.68,-11.62,7.79,1
20.04,0.66,4.31,-19.57,-1.05,5.76,1.1,0.41,0.06,-13.84,-15.17,12.61,1
16.71,2.0,-1.21,-11.41,0.07,1.21,0.96,0.37,0.03,-22.45,-14.38,15.29,1
7.41,0.9,-4.62,-6.11,-1.68,-4.27,0.89,0.34,0.03,-21.28,-5.59,12.76,1
2.62,0.15,-5.13,-1.09,-2.86,-6.51,0.86,0.35,0.07,-17.46,0.55,10.6,1
0.11,-1.05,-8.82,3.49,-4.47,-8.94,0.96,0.32,0.07,-8.87,-2.32,11.53,1
-8.23,-3.88,-13.88,16.86,-12.0,-15.18,0.96,0.33,0.07,2.12,0.8,7.46,1
-10.63,-5.8,-16.67,12.27,-13.1,-14.47,0.88,0.33,0.05,12.98,1.36,5.01,1
-12.51,-7.57,-17.69,9.64,-9.8,-8.51,0.9,0.36,0.01,18.23,1.5,1.78,1
-6.94,-5.41,-13.8,9.88,-7.53,-6.51,0.91,0.34,0.0,15.59,8.36,-5.2,1
-2.94,-2.15,-12.98,2.0,-4.74,-5.84,0.89,0.33,0.0,11.22,13.57,-12.91,1
2.58,1.29,-9.33,-2.23,-1.96,-7.57,0.88,0.38,0.02,9.13,13.05,-17.51,1
8.59,3.88,-5.53,-12.78,-2.54,0.07,0.96,0.37,0.05,6.59,10.32,-18.21,1
20.04,9.45,2.54,-20.08,6.39,3.09,1.1,0.32,0.04,3.29,3.63,-12.07,1
20.04,10.12,8.08,-20.08,4.62,5.06,1.22,0.36,0.04,-4.11,0.61,-2.85,1
20.04,2.62,8.47,-20.08,-1.6,7.92,1.04,0.4,0.06,-8.13,-15.72,21.02,1
18.67,0.07,1.96,-14.9,0.43,2.62,0.98,0.39,0.0,-5.02,-24.19,35.3,1
15.37,0.31,-4.47,-10.35,-3.92,-2.35,0.94,0.43,0.01,-2.69,-14.05,28.3,1
10.7,-1.13,-7.57,-5.41,-4.86,-3.96,0.92,0.36,0.01,-3.5,2.51,12.96,1
0.98,0.58,-9.8,0.62,-4.43,-5.06,0.91,0.3,0.02,0.55,11.6,0.65,1
-3.8,-3.56,-12.16,10.47,-11.14,-12.19,0.89,0.27,0.05,5.18,14.79,-4.76,1
-7.72,-5.29,-16.39,11.33,-11.37,-12.86,0.86,0.29,0.04,12.14,11.09,-7.69,1
-13.02,-7.49,-16.59,10.0,-12.31,-9.84,0.87,0.31,0.01,19.33,4.37,-9.1,1
-10.0,-5.92,-14.31,12.31,-8.7,-6.35,0.92,0.34,0.03,17.3,1.9,-8.1,1
-4.78,-3.45,-10.47,5.21,-5.13,-4.58,0.95,0.33,0.04,6.75,4.44,-9.42,1
-3.13,1.33,-9.37,-2.54,-2.27,-5.45,0.96,0.31,0.0,3.85,11.71,-19.44,1
12.55,7.41,0.47,-14.59,5.41,2.62,0.96,0.36,0.04,-1.05,13.05,-18.69,1
20.04,6.27,4.7,-20.08,6.08,4.07,1.09,0.35,0.08,-4.63,1.87,-14.21,1
20.04,4.82,8.55,-20.08,2.23,6.51,1.18,0.4,0.1,-9.96,-8.26,0.17,1
20.04,-1.56,6.86,-20.08,0.98,9.37,1.04,0.42,0.04,-15.44,-21.35,25.32,1
17.65,-1.17,0.15,-13.96,-1.68,1.96,0.98,0.38,0.01,-16.16,-23.4,33.84,1
12.39,0.11,-2.9,-9.68,-3.84,-1.09,0.94,0.37,0.0,-8.36,-9.72,20.53,1
3.8,0.82,-6.31,-4.82,-2.47,-3.05,0.91,0.35,0.02,-2.37,2.58,7.34,1
2.82,-1.56,-9.13,0.82,-4.27,-5.45,0.92,0.31,0.01,0.96,8.86,0.09,1
-5.13,-2.07,-11.72,11.21,-10.31,-12.16,0.93,0.28,0.02,-1.63,10.83,-4.17,1
-12.59,-5.84,-18.24,13.02,-11.96,-12.43,0.86,0.29,0.03,2.92,8.72,-5.19,1
-11.53,-7.21,-17.37,11.29,-12.23,-8.82,0.85,0.32,0.02,14.23,2.73,-4.71,1
-9.72,-6.19,-14.78,10.15,-8.19,-6.31,0.89,0.34,0.0,16.95,1.56,-6.08,1
-5.49,-3.29,-11.41,4.31,-6.62,-4.86,0.93,0.35,0.0,12.64,6.27,-11.1,1
0.35,0.31,-12.0,-2.82,-4.11,-6.94,0.95,0.38,0.03,8.76,12.6,-17.12,1
8.11,6.23,-7.72,-15.21,-5.76,0.82,1.04,0.4,0.1,0.77,9.25,-16.52,1
20.04,6.78,4.58,-20.08,1.64,8.86,1.13,0.29,0.09,-2.86,6.56,-17.88,1
20.04,0.78,9.29,-20.08,1.29,10.04,1.16,0.35,0.06,-10.6,-9.91,4.73,1
20.04,0.54,9.68,-20.08,0.15,10.9,1.05,0.37,0.06,-15.49,-26.49,27.75,1
16.43,-2.31,3.05,-11.33,-1.72,6.66,0.96,0.36,0.01,-18.6,-25.99,32.88,1
12.59,-1.09,-2.39,-7.72,-2.47,1.13,0.87,0.36,0.01,-12.79,-14.24,18.18,1
6.78,0.9,-4.11,-5.25,-3.49,-2.66,0.87,0.34,0.07,-1.09,-3.15,4.38,1
2.78,-2.03,-8.74,1.68,-4.94,-4.9,0.96,0.31,0.05,10.54,3.66,-1.59,1
-2.86,-3.41,-11.96,9.37,-12.16,-11.96,0.95,0.33,0.02,12.17,7.71,-4.75,1
-7.68,-6.23,-17.14,7.06,-12.08,-12.47,0.9,0.32,0.0,12.4,7.22,-5.01,1
-8.47,-6.51,-18.35,8.7,-11.92,-9.88,0.87,0.33,0.0,17.71,4.21,-4.51,1
-8.31,-6.43,-16.39,7.21,-9.06,-7.53,0.89,0.35,0.01,19.39,5.76,-4.58,1
-5.41,-2.62,-12.78,3.72,-6.86,-6.43,0.92,0.34,0.01,15.48,11.05,-8.37,1
0.54,0.11,-9.92,0.94,-4.62,-6.78,0.9,0.35,0.0,14.21,16.74,-17.23,1
11.25,1.52,-2.11,-7.68,0.23,0.47,0.95,0.38,0.03,11.57,15.5,-21.67,1
20.04,4.58,5.13,-17.22,6.31,5.57,1.15,0.31,0.07,10.27,8.67,-9.57,1
20.04,3.56,6.27,-20.08,-1.21,5.84,1.26,0.35,0.1,9.28,3.85,-2.22,1
20.04,-2.03,5.09,-20.08,0.47,10.59,0.9,0.36,0.1,-6.07,-14.29,19.28,1
17.53,0.47,1.37,-16.12,0.11,5.13,0.89,0.42,0.02,-11.57,-26.3,26.72,1
14.12,0.5,-2.9,-9.37,-1.01,0.66,0.92,0.38,0.05,-7.72,-10.68,10.88,1
6.55,0.66,-7.49,-5.45,-2.35,-2.11,0.97,0.37,0.02,-5.69,5.93,-4.13,1
0.82,-2.78,-11.53,-3.6,-4.11,-5.21,1.05,0.34,0.01,-3.57,6.4,-4.16,1
-2.03,-2.94,-10.63,4.51,-4.78,-8.08,0.98,0.36,0.01,-4.91,1.47,4.06,1
-3.53,-4.04,-15.76,13.45,-12.98,-14.43,0.89,0.32,0.04,-2.73,0.53,4.76,1
-15.06,-5.8,-18.86,10.39,-11.96,-13.61,0.82,0.3,0.04,5.22,1.43,-2.46,1
-12.12,-6.43,-16.82,9.13,-11.53,-8.9,0.87,0.33,0.01,11.86,2.06,-4.46,1
-5.84,-3.37,-12.74,7.64,-7.84,-6.98,0.92,0.36,0.02,9.36,2.82,-3.58,1
0.47,0.27,-12.51,2.39,-5.13,-6.35,0.99,0.34,0.03,7.54,6.95,-8.47,1
5.68,4.82,-9.72,-3.88,-3.76,-6.7,1.02,0.39,0.0,10.39,13.08,-14.58,1
19.53,9.72,2.19,-17.14,3.8,-1.68,1.1,0.31,0.1,6.2,11.34,-12.75,1
20.04,11.21,11.41,-20.08,5.6,2.07,1.05,0.26,0.09,0.12,6.76,-8.18,1
20.04,4.78,10.66,-20.08,0.86,6.59,1.0,0.37,0.07,-6.56,-12.13,12.9,1
20.04,0.11,4.62,-19.18,3.45,4.15,0.95,0.37,0.0,-13.8,-26.28,23.37,1
19.1,-1.09,-4.31,-12.12,0.66,0.82,0.97,0.35,0.02,-13.72,-24.18,18.22,1
12.82,0.07,-6.9,-6.55,-3.8,-2.86,0.96,0.36,0.04,-14.03,-9.65,7.08,1
4.62,0.27,-9.21,-4.51,-4.7,-4.51,1.02,0.35,0.02,-14.28,-3.3,6.98,1
0.11,-1.8,-11.14,0.86,-3.56,-5.68,1.02,0.32,0.07,-9.5,0.83,6.79,1
