d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
4.55,-5.06,7.29,-5.41,-8.86,4.39,0.8,0.3,0.05,30.97,-8.97,-9.25,3
4.7,-5.8,3.25,-8.23,-9.76,7.68,0.83,0.21,0.07,58.79,0.31,-2.95,3
4.55,-4.51,2.86,-8.62,-10.94,7.37,0.79,0.36,0.05,48.0,-7.33,5.5,3
2.11,-2.19,2.43,-6.51,-12.16,10.59,0.91,0.49,0.0,34.04,-17.88,8.88,3
0.47,0.03,3.96,-4.15,-11.25,13.96,1.28,0.34,0.06,25.04,-9.34,12.89,3
0.98,1.21,2.54,-4.86,-11.37,14.35,1.36,0.49,0.13,26.88,17.66,3.75,3
-2.98,0.78,0.07,-5.8,-10.43,13.53,1.0,0.63,0.17,1.12,14.37,-1.91,3
0.62,-3.13,1.01,-4.98,-10.31,11.65,0.93,0.48,0.15,-34.86,6.11,-11.05,3
2.62,-4.94,4.31,-2.35,-9.33,9.76,0.89,0.3,0.09,-40.5,17.5,-19.23,3
0.43,-5.64,6.19,-1.68,-8.04,7.1,0.77,0.32,0.13,-36.0,29.05,-13.78,3
0.39,-6.62,8.86,-1.6,-5.68,1.49,0.65,0.34,0.18,-53.56,16.36,-12.9,3
0.0,-7.06,7.84,-1.45,-3.68,0.82,0.78,0.38,0.16,-68.15,-6.46,4.14,3
2.74,-6.11,9.96,0.98,-1.45,2.9,1.08,0.39,0.04,-66.92,-18.33,19.11,3
1.76,-5.29,12.63,-1.21,0.78,5.49,1.28,0.47,0.14,-51.77,-11.57,17.6,3
0.5,-4.31,13.92,-4.35,1.09,7.96,1.1,0.54,0.13,-21.17,-10.72,16.99,3
2.54,-3.64,14.39,-2.39,0.27,7.41,0.83,0.57,0.11,9.96,-6.3,10.11,3
2.31,-3.09,15.37,-5.06,0.03,5.72,0.87,0.36,0.04,37.07,14.89,-7.46,3
1.84,-3.05,14.0,-7.49,0.23,5.29,0.83,0.4,0.06,42.68,25.02,-26.61,3
1.29,-3.13,11.76,-6.66,-2.03,5.33,0.75,0.43,0.08,25.09,4.78,-26.27,3
3.17,-3.05,9.21,-6.11,-4.55,3.76,0.72,0.47,0.11,25.48,-4.77,-11.89,3
6.23,-4.31,6.78,-6.59,-6.31,5.17,0.7,0.43,0.13,43.51,-1.0,0.34,3
5.41,-4.62,5.25,-7.96,-9.37,7.96,0.89,0.36,0.12,60.36,1.63,0.34,3
2.43,-4.19,3.09,-7.49,-9.76,15.21,1.1,0.4,0.01,63.16,-8.02,5.54,3
3.53,-2.66,2.98,-7.6,-10.98,16.51,1.14,0.6,0.19,53.36,-24.42,20.62,3
1.29,-2.03,3.09,-6.59,-12.39,16.12,1.32,0.47,0.27,44.33,-16.92,27.89,3
0.43,-3.13,2.43,-6.23,-10.47,15.18,1.02,0.47,0.24,7.91,0.61,17.98,3
