d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
-9.92,-10.23,-19.77,-2.23,17.37,3.84,1.34,1.13,0.29,145.49,88.88,47.05,10
-5.06,-17.29,-20.08,-4.07,20.04,3.13,1.99,0.14,0.4,236.94,130.56,-61.17,10
5.06,-16.67,-20.08,-3.68,18.82,3.29,1.15,1.13,0.21,107.7,85.34,-45.13,10
20.04,-3.53,-5.13,-2.58,8.51,2.82,0.97,0.11,0.0,72.98,12.96,4.36,10
19.77,0.47,11.41,0.78,4.62,2.58,0.5,0.55,0.26,45.86,7.27,-9.36,10
20.04,5.29,-3.96,0.15,9.1,3.25,0.9,0.79,0.46,42.88,10.24,-2.91,10
13.06,5.84,20.04,-2.0,9.49,2.03,1.04,0.53,0.5,72.68,36.05,-10.46,10
2.66,3.68,19.53,-3.33,10.9,0.47,0.93,0.43,0.18,140.0,73.58,-24.45,10
-6.39,3.53,13.06,-3.41,8.9,0.54,0.64,0.65,0.14,161.03,75.98,-24.58,10
-13.29,3.41,5.33,-2.54,7.64,1.8,0.55,0.59,0.05,155.31,74.92,-30.78,10
-10.63,1.41,0.5,-1.29,7.45,1.72,0.62,0.48,0.12,145.58,72.42,-13.83,10
-8.86,0.31,-4.51,-2.78,6.31,0.74,0.66,0.22,0.37,117.55,66.21,-14.92,10
-10.12,-3.13,-6.98,-4.04,5.02,0.82,0.46,0.17,0.3,95.13,50.34,-15.68,10
-11.57,-6.31,-8.19,-4.19,3.96,1.13,0.31,0.25,0.25,80.17,42.43,-6.33,10
-6.66,-9.68,-13.25,-3.17,4.27,0.98,0.39,0.48,0.28,89.6,49.79,-6.81,10
-9.61,-17.25,-15.21,0.39,11.76,1.6,0.72,0.96,0.21,95.2,55.63,39.21,10
-9.29,-20.08,-15.76,-2.0,20.04,5.92,1.99,0.5,0.32,252.42,45.05,10.23,10
6.78,-18.08,-9.53,-1.37,20.04,5.29,1.88,1.7,0.45,178.86,123.25,-79.69,10
20.04,-9.96,2.78,-1.41,17.76,4.74,1.97,0.03,0.28,31.22,16.45,-7.69,10
20.04,-5.41,1.84,0.7,9.37,3.6,1.19,0.48,0.08,16.73,24.16,2.41,10
20.04,6.74,6.43,-3.76,6.7,3.13,0.65,0.24,0.12,45.46,12.63,-6.1,10
8.62,3.41,19.65,-2.27,5.53,5.37,0.29,0.31,0.2,31.44,2.84,12.85,10
0.78,3.25,11.88,-10.55,5.76,6.27,0.26,0.2,0.29,23.26,-3.97,28.24,10
-5.92,5.64,4.23,-2.86,6.82,4.07,0.96,0.55,0.67,33.93,0.31,46.37,10
-14.16,4.31,-1.8,1.05,10.43,2.82,1.5,0.38,0.36,121.1,56.54,4.72,10
-14.16,1.29,-4.23,0.58,13.14,1.09,0.77,0.45,0.35,163.3,88.1,-43.96,10
-13.61,-3.02,-7.57,0.98,10.94,-1.09,0.6,0.64,0.26,153.5,83.11,-40.88,10
-11.02,-2.98,-8.55,-1.6,6.94,0.66,0.46,0.36,0.21,140.25,98.46,-12.94,10
-8.66,-5.76,-11.84,-1.88,3.33,1.21,0.33,0.23,0.17,136.27,89.5,-7.36,10
-5.72,-9.25,-15.41,-1.49,2.58,2.58,0.26,0.28,0.29,121.32,69.95,-21.46,10
0.7,-12.23,-16.94,-1.13,5.64,2.19,0.48,0.53,0.22,110.81,66.33,-8.9,10
0.35,-14.86,-16.2,-2.31,15.37,3.53,1.45,0.92,0.53,108.85,77.46,21.13,10
10.31,-14.35,-11.61,-2.54,19.41,1.84,1.87,0.34,0.08,212.96,99.4,-43.65,10
20.04,-7.88,5.13,-2.66,17.73,1.8,1.07,0.91,0.18,26.26,0.01,2.89,10
19.22,-10.31,5.76,-1.37,11.17,4.27,1.21,0.53,0.29,22.61,-9.27,0.37,10
20.04,0.31,9.88,-1.17,10.04,3.6,1.11,0.72,0.36,60.02,10.12,-7.18,10
12.9,1.01,17.41,-2.58,10.66,0.39,1.02,0.58,0.37,110.49,55.23,-28.01,10
2.58,0.23,13.57,-4.7,9.29,0.86,0.77,0.45,0.13,170.07,55.24,-10.73,10
-2.23,2.23,8.27,-3.21,7.29,2.78,0.73,0.61,0.08,188.35,53.04,1.21,10
-11.49,3.68,4.86,-1.37,5.8,2.39,0.69,0.46,0.12,168.85,44.61,3.18,10
-16.55,0.7,-3.45,-2.03,5.88,2.19,0.68,0.34,0.1,127.97,32.54,10.3,10
-14.98,-1.76,-6.82,-2.0,6.62,2.23,0.52,0.28,0.04,100.46,28.34,15.79,10
-11.29,-2.47,-7.33,-2.58,6.27,2.11,0.45,0.24,0.03,85.63,25.85,13.1,10
-7.68,-2.9,-7.76,-3.68,4.58,2.0,0.39,0.1,0.13,85.68,34.4,-1.2,10
-8.66,-8.39,-12.63,-5.37,2.35,2.74,0.25,0.17,0.32,90.46,39.5,-8.14,10
-6.08,-12.19,-19.92,-2.74,10.31,4.43,0.58,0.66,0.44,78.39,39.42,14.98,10
-2.86,-17.1,-20.08,4.47,20.04,9.21,1.99,0.29,0.05,212.94,120.98,-6.04,10
8.47,-10.63,-12.82,0.98,20.04,5.68,1.47,1.69,0.38,118.32,98.29,-67.3,10
