d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
0.86,9.17,3.09,-1.41,9.41,4.35,0.92,0.42,0.0,-3.17,-1.2,2.08,0
0.82,9.21,3.05,-1.56,9.45,4.51,0.93,0.42,0.01,-3.04,0.46,1.41,0
0.86,9.25,2.82,-1.64,9.53,4.04,0.93,0.42,0.01,-3.34,0.07,0.36,0
1.13,9.17,2.86,-1.64,9.53,3.8,0.93,0.41,0.01,-2.91,0.09,0.32,0
1.01,9.21,2.9,-1.6,9.49,3.92,0.93,0.42,0.0,-2.72,0.19,0.23,0
1.09,9.29,2.98,-1.72,9.57,4.0,0.93,0.41,0.0,-2.73,0.04,0.2,0
1.17,9.33,2.62,-1.76,9.61,3.8,0.93,0.41,0.0,-1.54,0.29,0.6,0
0.94,9.21,2.82,-1.72,9.57,3.8,0.93,0.42,0.0,0.82,0.74,0.78,0
1.01,9.21,2.86,-1.72,9.53,3.76,0.93,0.42,0.0,0.47,0.85,-1.07,0
1.17,9.33,2.98,-1.72,9.49,3.8,0.92,0.42,0.0,0.7,0.85,-1.65,0
1.09,9.17,2.94,-1.64,9.45,3.6,0.93,0.42,0.0,0.06,1.25,-1.75,0
1.13,9.25,2.9,-1.49,9.45,4.07,0.93,0.42,0.0,0.36,0.83,-1.46,0
1.13,9.06,3.09,-1.17,9.41,3.84,0.94,0.42,0.01,0.23,0.17,-1.2,0
1.13,9.25,3.05,-1.68,9.45,3.84,0.93,0.42,0.0,0.7,1.13,-1.65,0
1.09,9.21,2.98,-2.23,9.45,4.31,0.93,0.42,0.0,1.21,2.31,-2.22,0
1.21,9.06,3.02,-2.23,9.33,3.76,0.93,0.43,0.0,1.31,2.37,-1.85,0
1.05,9.21,3.02,-2.11,9.45,3.92,0.93,0.42,0.0,1.59,1.86,-2.1,0
1.01,9.13,3.02,-1.92,9.45,3.88,0.92,0.41,0.0,0.44,1.79,-1.78,0
0.94,9.1,3.09,-1.88,9.45,3.92,0.92,0.42,0.01,0.54,0.69,-2.14,0
0.94,9.13,3.02,-1.84,9.45,4.0,0.93,0.42,0.0,-1.9,0.59,-2.18,0
1.01,9.13,2.94,-1.64,9.45,4.19,0.92,0.42,0.0,-2.1,0.64,-1.98,0
0.98,9.1,3.21,-1.64,9.53,4.15,0.93,0.42,0.0,-2.76,0.71,-2.23,0
1.13,9.29,2.74,-1.6,9.49,4.19,0.93,0.42,0.0,-2.35,1.32,-2.23,0
1.13,9.17,2.74,-1.68,9.37,4.19,0.92,0.43,0.0,-1.57,1.56,-2.11,0
1.33,9.13,2.7,-1.68,9.37,4.27,0.93,0.43,0.0,-2.03,1.29,-2.04,0
1.17,9.17,2.7,-1.72,9.41,4.15,0.93,0.43,0.0,-1.55,1.79,-1.94,0
1.01,9.21,2.94,-1.72,9.84,4.31,0.92,0.43,0.0,0.47,2.01,-2.35,0
1.01,9.25,3.25,-1.72,9.41,4.19,0.92,0.44,0.01,0.78,2.08,-2.1,0
1.13,9.13,3.02,-1.76,9.53,4.19,0.93,0.43,0.01,-1.32,1.81,-2.24,0
1.01,9.13,2.94,-1.72,9.45,4.11,0.91,0.43,0.02,-1.5,1.69,-2.34,0
1.05,8.94,3.21,-1.76,9.41,4.15,0.92,0.43,0.02,-1.24,1.55,-2.37,0
0.98,9.21,3.29,-1.76,9.41,4.19,0.92,0.44,0.02,-1.6,0.89,-2.16,0
1.09,9.17,3.13,-1.72,9.45,4.07,0.93,0.44,0.02,-1.27,1.12,-2.75,0
1.05,9.21,3.21,-1.72,9.45,4.11,0.92,0.44,0.01,-1.16,0.8,-2.46,0
1.33,8.86,3.25,-1.72,9.45,4.07,0.93,0.45,0.03,-2.29,0.05,-1.85,0
1.17,9.21,3.09,-1.8,9.45,4.07,0.92,0.44,0.01,-2.26,0.62,-1.85,0
1.13,9.13,2.98,-1.68,9.45,3.84,0.92,0.43,0.02,-2.6,-1.01,-2.43,0
1.21,9.13,2.9,-1.84,9.45,4.07,0.91,0.45,0.02,-2.31,0.55,-2.81,0
1.17,9.21,3.02,-1.88,9.49,3.96,0.91,0.46,0.01,-2.77,0.52,-2.78,0
1.21,9.02,3.17,-1.72,9.33,4.04,0.91,0.44,0.01,0.65,0.28,-2.66,0
1.49,9.1,2.82,-1.88,9.41,4.04,0.91,0.45,0.0,1.0,0.07,0.89,0
1.25,9.17,3.05,-1.92,9.49,4.04,0.92,0.45,0.01,1.57,0.07,0.66,0
1.25,9.13,3.21,-1.92,9.49,4.04,0.92,0.46,0.01,0.91,0.66,0.62,0
1.01,9.37,3.09,-1.92,9.53,3.96,0.92,0.46,0.01,1.37,0.43,0.57,0
1.09,9.21,3.09,-2.0,9.45,3.92,0.91,0.46,0.01,2.37,0.24,0.0,0
1.05,9.41,2.94,-1.92,9.45,4.04,0.91,0.45,0.02,1.67,0.1,0.34,0
