d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
2.94,4.9,-1.88,1.72,4.7,-3.09,0.77,0.16,0.2,-40.62,-30.58,67.31,7
3.49,5.49,-1.84,-1.84,7.29,-4.51,0.72,0.13,0.11,-46.19,-28.16,54.72,7
3.25,6.11,-1.56,-2.58,9.41,-3.29,0.71,0.04,0.16,-54.89,-38.59,59.86,7
3.02,6.62,-1.25,-4.9,11.33,-2.86,0.74,0.0,0.09,-52.03,-37.53,52.9,7
2.58,7.76,-1.13,-7.13,14.67,-2.9,0.67,0.11,0.04,-61.02,-42.92,34.27,7
4.23,9.68,0.82,-11.88,18.51,0.35,0.61,0.04,0.12,-81.79,-46.19,11.69,7
5.76,11.29,0.82,-14.78,20.04,0.54,0.88,0.34,0.54,-100.43,-46.07,13.61,7
6.74,15.1,0.07,-20.08,20.04,6.08,1.19,0.14,0.87,-58.48,-4.33,27.21,7
8.94,20.04,3.45,-20.08,20.04,6.19,1.78,0.45,-1.3,-59.05,-59.62,29.21,7
8.9,20.04,4.15,-20.08,20.04,-3.25,1.57,0.5,-1.5,19.11,29.17,4.73,7
7.6,18.94,1.8,-20.08,11.96,2.86,1.66,0.38,-1.45,45.67,38.76,-24.5,7
7.02,20.04,1.72,-6.98,20.04,-1.72,1.76,0.25,-1.18,97.4,45.5,-26.45,7
3.88,17.76,0.31,-7.21,16.74,0.58,1.51,0.09,0.76,134.36,36.21,-20.52,7
4.04,12.04,-3.8,-1.6,14.51,-1.13,1.09,0.09,0.42,179.93,19.0,-18.62,7
2.51,9.02,-4.82,0.9,7.45,-2.62,0.65,0.12,0.22,184.67,15.24,-39.23,7
3.72,6.39,-3.68,-1.09,5.8,-2.11,0.56,0.04,0.19,169.34,6.83,-45.57,7
6.78,6.23,-4.23,0.35,5.68,-1.68,0.75,0.22,0.07,158.3,0.22,-39.23,7
9.17,7.21,-1.88,-1.68,7.13,-1.33,1.06,0.23,0.02,155.81,5.54,-47.72,7
14.23,8.0,0.35,-3.45,7.6,-1.09,0.91,0.13,0.02,151.27,17.24,-52.49,7
13.84,8.98,0.31,-3.88,7.37,-1.33,0.64,0.16,0.11,140.95,22.24,-49.47,7
14.2,9.68,1.17,-3.02,7.02,-1.6,0.6,0.17,0.17,140.55,28.55,-55.04,7
14.16,10.0,1.56,-3.72,6.66,-1.21,0.67,0.14,0.26,170.31,41.32,-67.49,7
13.37,10.51,0.07,-2.86,6.94,0.94,0.76,0.22,0.21,189.86,49.6,-68.62,7
14.67,9.88,0.74,-3.09,7.53,0.94,0.83,0.25,0.12,198.94,39.87,-49.96,7
14.27,9.49,0.47,-2.66,8.66,0.86,1.09,0.33,0.05,207.64,41.49,-46.93,7
15.02,8.39,-1.13,-3.49,10.74,0.43,1.07,0.26,0.0,203.92,45.09,-52.77,7
15.61,7.33,-1.17,-3.33,10.43,0.07,0.97,0.37,0.04,194.53,56.35,-49.83,7
13.21,6.0,0.78,-2.7,9.57,0.03,0.79,0.3,0.03,182.78,70.4,-47.05,7
9.92,3.76,0.74,-2.9,8.86,1.29,0.66,0.27,0.0,177.57,81.05,-52.84,7
4.82,1.52,0.39,-3.8,8.15,1.72,0.61,0.41,0.02,180.91,89.2,-54.13,7
2.66,0.23,-1.52,-3.37,8.9,2.47,0.98,0.77,0.19,167.91,89.45,-58.69,7
0.86,0.98,-1.05,-3.72,10.08,2.86,1.52,0.36,0.46,163.37,61.14,-17.55,7
-2.35,-1.49,0.62,-1.76,9.61,2.62,1.01,0.48,0.26,222.23,55.34,10.26,7
-4.0,-2.0,-1.13,-4.23,9.92,1.33,1.01,0.6,0.27,220.39,42.17,8.33,7
-5.8,-2.43,-2.94,-2.35,10.15,0.19,1.03,0.52,0.19,190.56,25.49,2.47,7
-4.9,-1.96,-3.72,-2.54,9.8,0.31,0.94,0.57,0.09,172.62,16.95,12.29,7
-4.7,-1.41,-3.88,-3.29,9.41,0.58,0.82,0.36,0.07,157.81,23.26,27.13,7
-3.13,0.39,-4.07,-3.68,8.78,0.58,0.78,0.32,0.03,134.3,18.5,44.18,7
-2.03,2.9,-3.37,-3.33,7.53,-1.09,0.81,0.44,0.05,99.59,7.54,51.48,7
0.9,6.59,-3.64,-2.9,6.43,-1.41,0.72,0.28,0.01,97.84,2.11,55.7,7
0.39,11.33,-4.66,-2.35,5.57,0.9,0.52,0.11,0.08,108.55,-4.63,66.28,7
1.21,14.43,-4.15,-1.56,3.92,-1.01,0.53,0.15,0.12,98.31,-15.28,74.37,7
3.56,17.53,-2.7,0.58,4.47,-1.05,0.52,0.03,0.25,111.37,-28.9,64.92,7
3.92,19.8,0.47,0.7,5.45,0.43,0.58,0.03,0.21,115.1,-13.39,46.21,7
6.04,20.04,0.39,-1.41,8.86,1.01,0.67,0.12,0.26,100.69,-2.67,18.12,7
17.8,20.04,1.68,-3.6,17.53,2.23,1.74,0.49,0.19,100.34,31.73,-1.3,7
20.04,20.04,16.04,-7.29,20.04,2.74,1.9,0.41,0.16,72.98,36.86,18.28,7
14.63,20.04,0.07,-5.6,20.04,5.21,1.75,0.52,0.29,-20.27,19.43,-3.53,7
20.04,20.04,3.17,-5.68,16.59,3.76,1.7,0.76,0.38,-76.34,0.07,-18.46,7
20.04,20.04,7.1,-7.76,14.86,2.58,1.67,0.54,0.15,-106.24,-6.78,-32.88,7
13.8,18.59,1.05,-10.47,17.25,3.29,1.64,0.39,0.06,-151.42,-15.97,-30.43,7
4.47,16.04,-1.64,-7.92,17.37,0.82,1.54,0.22,0.0,-160.83,-6.83,-19.81,7
2.86,12.98,-3.96,-6.23,15.8,-5.21,1.36,0.03,0.05,-182.97,-12.65,-4.44,7
-2.03,9.88,-5.49,-4.31,13.69,-8.08,0.98,0.15,0.12,-197.77,-24.45,4.16,7
0.94,5.8,-4.82,-1.84,10.39,-6.74,0.71,0.21,0.1,-213.45,-18.85,8.2,7
2.86,4.62,-3.02,-3.53,8.55,-7.68,0.53,0.25,0.16,-212.05,-15.37,23.14,7
1.6,4.86,-3.33,-5.72,8.23,-9.84,0.65,0.3,0.19,-225.36,-14.16,35.89,7
2.03,5.84,-3.25,-7.49,7.49,-11.49,0.88,0.39,0.13,-214.7,-3.6,27.88,7
2.11,7.41,-3.02,-8.39,7.25,-11.49,1.01,0.48,0.13,-206.48,11.27,0.62,7
3.05,8.31,-2.19,-9.45,6.55,-10.63,0.84,0.5,0.12,-206.57,16.34,-15.78,7
3.13,8.59,0.07,-10.0,5.6,-9.17,0.79,0.52,0.17,-220.82,10.98,-22.62,7
4.86,8.51,0.31,-9.06,4.31,-8.19,0.8,0.45,0.23,-235.7,-11.85,-26.78,7
4.19,8.74,0.07,-12.55,3.21,-8.0,0.84,0.47,0.18,-229.19,-28.04,-24.49,7
4.47,8.78,0.07,-12.78,2.19,-6.74,0.93,0.44,0.22,-213.15,-15.75,-12.81,7
3.17,9.61,0.39,-12.51,0.07,-5.49,0.86,0.49,0.19,-190.84,-14.04,-12.68,7
3.53,9.49,0.78,-12.39,0.43,-5.13,0.76,0.44,0.2,-189.15,-25.46,-27.66,7
5.06,9.49,0.5,-13.02,0.62,0.7,0.65,0.48,0.01,-199.72,-34.2,-44.44,7
4.9,8.7,0.62,-7.57,-1.05,0.03,0.59,0.51,0.0,-214.97,-50.46,-57.47,7
4.43,8.62,0.15,-2.82,-1.37,0.98,0.9,0.53,0.08,-234.91,-90.03,-45.19,7
4.55,9.13,0.07,0.94,-2.78,1.13,1.32,0.43,0.16,-219.47,-91.35,-17.37,7
4.11,8.04,-1.25,0.0,-2.78,3.09,1.05,0.42,0.05,-192.34,-75.1,21.43,7
