d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
6.08,7.13,3.84,-1.37,8.51,4.0,0.92,0.17,0.24,27.55,25.31,-23.23,4
0.94,5.72,0.19,-2.23,6.04,3.09,0.83,0.15,0.14,28.47,29.39,-23.41,4
0.66,4.19,-1.05,-3.21,5.13,3.09,0.76,0.1,0.08,27.73,26.21,-22.35,4
0.74,3.13,0.0,-4.04,4.55,2.98,0.66,0.17,0.14,33.75,23.62,-7.64,4
0.86,3.05,0.78,-3.76,4.86,3.05,0.7,0.24,0.2,44.53,16.94,11.65,4
2.54,4.66,1.45,-3.64,6.39,3.6,0.92,0.2,0.26,28.29,8.31,21.11,4
5.29,7.53,1.6,-4.9,9.29,5.33,1.16,0.18,0.26,7.26,13.56,24.77,4
7.41,11.02,0.82,-4.7,12.39,5.6,1.52,0.51,0.03,-15.91,15.85,38.76,4
4.86,13.06,0.58,-5.41,15.88,6.31,1.4,0.8,0.24,-40.96,13.83,31.92,4
2.98,14.9,2.35,-12.47,17.1,4.0,1.16,0.47,0.39,-31.31,1.26,14.45,4
1.21,12.98,3.33,-4.35,12.08,4.55,1.01,0.34,0.32,14.42,15.94,15.2,4
0.66,12.35,2.31,-4.04,10.23,3.6,1.02,0.42,0.18,29.76,26.15,-10.52,4
2.98,11.33,1.88,-1.92,8.11,3.33,0.84,0.48,0.15,6.87,3.79,-19.08,4
5.17,9.72,2.78,-3.05,7.37,2.51,0.81,0.34,0.19,-2.02,-7.11,-25.76,4
3.72,9.49,4.31,-3.8,6.31,2.07,0.82,0.24,0.22,8.75,-5.39,-18.15,4
0.86,7.13,7.92,-3.17,5.76,1.92,0.66,0.24,0.12,18.66,-4.04,-10.82,4
0.31,6.47,3.05,-3.41,5.68,1.41,0.64,0.18,0.07,28.48,-11.1,1.21,4
2.35,6.08,0.98,-4.94,6.04,1.49,0.73,0.2,0.12,12.0,-33.15,11.4,4
2.0,6.74,0.98,-3.84,6.31,0.47,0.83,0.24,0.09,2.39,-46.24,14.67,4
0.07,9.25,0.74,-2.43,7.64,0.11,1.18,0.25,0.02,4.03,-37.43,23.04,4
0.07,13.61,0.94,-3.64,11.49,0.66,1.24,0.57,0.08,-26.54,-28.53,5.99,4
1.37,15.1,1.96,-5.21,13.65,0.27,1.21,0.67,0.21,-51.17,-27.17,-9.39,4
2.19,14.35,3.88,-5.64,13.8,0.27,1.26,0.41,0.26,-41.59,-15.4,-19.14,4
0.78,12.35,5.37,-6.39,12.16,0.19,1.07,0.37,0.24,-32.43,0.02,-16.11,4
0.58,10.47,5.53,-7.13,11.14,0.19,0.92,0.36,0.18,-37.32,3.14,-18.68,4
1.05,9.17,5.57,-7.96,10.66,0.19,0.82,0.34,0.19,-47.02,0.19,-20.4,4
3.21,9.06,4.82,-6.7,10.47,0.78,0.7,0.46,0.21,-60.98,-10.88,-20.52,4
5.84,10.55,4.15,-5.02,9.92,1.41,0.67,0.48,0.29,-68.55,-27.99,-13.08,4
3.96,10.39,2.35,-3.8,9.68,2.03,0.84,0.39,0.38,-55.05,-31.91,0.77,4
2.58,6.62,1.37,-3.13,9.37,2.39,0.84,0.29,0.34,-26.35,-20.87,4.53,4
1.96,4.51,0.39,-2.27,9.17,2.47,0.79,0.4,0.39,-7.02,-13.7,-6.27,4
3.88,4.66,1.09,-2.82,10.94,2.62,0.76,0.52,0.41,-8.06,-25.46,-14.22,4
6.43,4.39,1.05,-3.96,12.12,2.82,0.95,0.39,0.26,-16.03,-47.72,-12.04,4
7.13,5.13,0.43,-2.94,12.63,2.39,1.36,0.16,0.03,7.1,-42.94,7.87,4
