d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
-20.08,-11.1,0.0,-1.49,-7.68,-4.94,0.95,0.55,0.24,0.81,3.79,5.5,6
-15.69,-7.92,2.62,5.49,-9.96,-1.56,1.25,0.52,0.14,-13.5,11.39,-15.18,6
-5.29,-7.41,-6.74,12.86,-10.78,6.35,1.06,0.5,0.04,-30.99,7.92,-22.22,6
3.6,-8.27,-8.9,4.62,-9.57,2.58,0.96,0.46,0.0,-11.24,3.47,-14.46,6
13.02,-7.45,-4.51,-2.58,-9.92,-4.47,0.78,0.31,0.06,5.42,1.11,-3.63,6
20.0,-8.62,0.62,-15.76,-8.7,-4.55,0.65,0.4,0.06,5.39,-6.26,8.7,6
14.35,-8.7,0.27,-19.22,-5.96,0.0,0.75,0.58,0.05,-17.61,-20.93,16.79,6
11.33,-8.15,-5.06,-11.8,-6.55,0.15,0.96,0.47,0.09,-27.75,-29.6,7.21,6
6.86,-6.47,-10.66,-6.19,-6.51,-4.15,1.17,0.37,0.21,-5.79,-7.09,-11.1,6
-16.98,-9.72,-6.74,0.27,-8.08,-5.02,1.13,0.54,0.0,33.07,27.44,-16.96,6
-20.08,-10.78,2.47,18.24,-12.63,4.23,1.05,0.59,0.06,31.17,19.74,-6.23,6
-10.39,-8.0,-11.25,9.29,-9.13,3.49,0.8,0.42,0.03,-4.29,-5.26,9.42,6
9.49,-8.98,-12.67,-5.41,-8.11,-1.49,0.62,0.26,0.02,-12.79,-12.88,14.2,6
19.96,-7.49,-4.0,-15.18,-6.98,-3.02,0.63,0.27,0.06,-7.7,-8.69,20.79,6
20.04,-5.96,1.45,-17.8,-5.68,1.37,0.84,0.56,0.07,0.84,-10.24,23.56,6
9.17,-6.74,-5.53,-14.08,-6.15,0.66,1.44,0.44,0.02,-4.53,3.5,8.89,6
5.96,-8.86,-12.59,-10.63,-6.82,-3.6,1.15,0.51,0.05,-12.57,12.02,-15.78,6
-6.0,-11.17,-9.45,-1.6,-9.29,-6.39,0.93,0.49,0.07,-19.84,9.98,-26.74,6
-20.08,-12.35,5.02,12.86,-13.21,0.19,0.86,0.37,0.04,-5.57,5.32,-19.9,6
-10.98,-9.21,0.03,15.18,-10.59,5.41,0.74,0.29,0.01,0.29,0.49,-2.65,6
1.8,-10.0,-4.78,-2.9,-9.68,-1.72,0.57,0.34,0.01,-6.01,-8.23,11.66,6
9.1,-8.04,-4.43,-12.23,-7.8,-2.43,0.78,0.65,0.04,-15.05,-23.1,24.86,6
