d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
4.98,2.66,10.31,-10.9,-1.09,10.59,1.21,0.39,0.17,-2.79,-20.14,28.83,9
6.94,4.94,13.06,-13.65,0.35,12.12,1.35,0.21,0.1,22.81,-3.39,17.51,9
8.9,7.84,14.47,-15.1,2.03,14.82,0.98,0.24,0.18,40.99,22.12,11.43,9
11.72,7.6,12.23,-13.41,3.76,15.41,0.9,0.29,0.16,33.39,12.43,-6.44,9
11.96,3.29,8.27,-10.04,3.68,16.04,0.97,0.17,0.12,21.62,9.69,-24.6,9
14.51,2.47,4.7,-7.53,4.47,15.61,0.91,0.09,0.14,29.07,13.94,-21.55,9
16.82,1.68,1.09,-5.8,4.74,14.23,0.78,0.22,0.11,32.97,17.89,-16.93,9
18.08,1.33,-1.88,-5.17,4.98,14.12,0.8,0.33,0.05,31.83,12.44,-16.56,9
17.84,1.64,-3.41,-4.58,4.39,11.53,1.0,0.13,0.13,36.86,15.62,-23.72,9
16.23,1.8,-3.49,-4.51,3.17,8.98,0.98,0.21,0.28,36.08,30.39,-30.33,9
13.61,1.72,-3.05,-4.0,1.8,7.53,1.02,0.36,0.37,7.97,26.44,-25.79,9
11.65,0.94,-1.68,-3.41,0.47,6.23,1.13,0.25,0.39,-7.8,31.88,-17.12,9
8.86,0.0,0.27,-2.62,-1.17,4.7,1.16,0.29,0.28,-9.75,43.57,-5.65,9
5.72,0.74,0.19,-2.7,-2.9,3.76,1.2,0.48,0.08,-25.43,33.18,10.93,9
3.76,-1.37,2.19,-2.23,-4.51,2.58,0.96,0.62,0.03,-9.08,26.95,22.01,9
1.8,-1.45,2.86,-2.47,-6.15,1.01,1.36,0.89,0.36,-23.7,7.4,29.25,9
0.35,-1.37,3.21,-4.04,-5.68,1.37,1.07,0.48,0.23,41.19,17.11,27.52,9
0.5,0.78,3.92,-3.72,-5.13,0.19,0.64,0.68,0.28,32.52,-8.33,31.97,9
0.0,0.31,6.82,-6.51,-4.43,0.11,0.7,0.47,0.04,14.65,-31.01,13.0,9
0.47,2.51,7.33,-7.84,-3.29,1.13,0.83,0.38,0.07,5.97,-28.42,-4.43,9
0.78,3.88,7.45,-7.13,-2.82,0.82,0.71,0.45,0.03,-5.4,-15.21,-14.4,9
1.13,4.94,8.82,-8.9,-2.86,2.39,0.91,0.21,0.11,-20.28,-17.7,-1.64,9
0.35,5.25,11.33,-8.9,-2.94,3.05,0.76,0.25,0.06,-5.66,-18.68,15.94,9
2.27,5.72,11.02,-10.15,-2.15,4.66,0.69,0.31,0.12,-1.38,-17.19,29.99,9
4.39,6.23,13.37,-12.16,-2.0,6.86,0.83,0.23,0.15,-5.37,-8.66,28.01,9
6.11,6.23,12.55,-14.16,0.5,10.12,1.17,0.02,0.13,13.33,0.24,33.87,9
10.08,6.31,12.51,-14.12,0.62,12.23,1.07,0.39,0.15,15.98,-7.74,43.34,9
12.43,6.43,13.41,-16.67,1.96,15.33,1.01,0.51,0.13,-7.24,-39.07,18.76,9
14.94,6.51,11.25,-15.45,3.72,18.0,1.22,0.27,0.1,-8.35,0.13,-22.52,9
