d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
7.06,9.41,1.92,-2.98,9.53,0.31,0.95,0.4,0.0,155.99,48.03,4.98,5
5.13,9.57,0.94,-3.6,8.98,0.31,0.95,0.33,0.0,179.1,59.63,11.79,5
3.8,8.82,0.27,-3.53,8.9,0.11,0.77,0.48,0.02,186.47,63.89,20.54,5
3.8,8.9,0.19,-3.6,9.76,0.66,0.69,0.51,0.08,180.34,63.98,17.84,5
5.09,9.29,0.9,-3.29,10.15,1.09,0.8,0.48,0.13,172.67,75.2,0.17,5
6.0,9.68,1.49,-2.98,10.08,1.21,0.87,0.45,0.16,175.36,88.82,-11.78,5
6.35,9.61,2.03,-3.17,10.04,1.68,0.83,0.45,0.01,175.66,95.66,-13.98,5
6.04,8.86,1.21,-3.72,9.57,2.94,0.92,0.42,0.11,186.05,103.35,-1.65,5
5.09,9.8,1.01,-3.76,10.9,2.35,1.12,0.48,0.09,218.9,119.34,25.32,5
4.23,10.51,3.09,-6.0,12.51,0.19,0.94,0.63,0.05,234.95,116.25,28.26,5
6.86,9.49,2.9,-4.39,10.47,0.82,0.77,0.8,0.02,206.64,94.92,22.69,5
8.74,10.39,1.68,-4.43,10.39,0.27,0.83,0.71,0.05,195.13,71.85,15.98,5
8.82,12.0,0.54,-4.35,9.53,-1.01,0.91,0.63,0.0,196.71,75.35,-3.43,5
7.49,11.57,0.74,-5.41,9.21,-1.96,0.87,0.67,0.03,206.78,81.23,-5.19,5
5.25,10.59,1.45,-6.11,9.37,-1.52,1.01,0.57,0.0,228.65,89.53,6.75,5
6.74,10.31,1.88,-6.15,9.02,-1.01,0.86,0.75,0.07,226.34,89.11,15.3,5
7.57,9.76,1.92,-6.11,8.27,0.86,0.82,0.73,0.09,217.15,83.95,17.29,5
7.06,9.17,2.11,-7.37,8.47,0.35,0.73,0.62,0.13,201.06,76.8,19.44,5
8.43,9.68,4.07,-8.31,8.7,1.96,0.65,0.53,0.09,175.19,58.81,9.61,5
11.1,11.61,4.82,-8.94,9.84,5.02,0.63,0.47,0.01,162.24,57.47,-7.04,5
10.63,11.72,2.82,-7.68,11.57,3.56,0.61,0.57,0.0,169.39,64.89,-7.28,5
10.86,9.8,2.03,-6.0,10.27,0.5,1.58,0.18,0.04,226.03,90.46,11.66,5
11.49,8.51,1.37,-9.1,8.04,-1.88,1.09,0.74,0.2,185.15,69.98,18.58,5
11.25,6.47,0.74,-10.86,5.21,-3.37,0.77,0.73,0.29,129.62,40.89,15.98,5
10.74,4.62,-1.8,-8.74,2.54,-3.49,0.89,0.57,0.17,122.03,40.46,8.3,5
10.39,3.56,-2.78,-7.64,0.35,-4.51,0.99,0.28,0.0,146.32,53.59,2.63,5
10.0,3.72,-4.0,-4.9,-1.13,-2.19,0.8,0.45,0.08,166.81,67.42,1.72,5
9.49,3.6,-5.02,-4.11,-1.37,-1.05,0.65,0.57,0.12,180.54,78.6,-3.49,5
9.49,4.27,-4.86,-3.96,-2.43,-2.74,0.65,0.66,0.21,159.45,76.15,0.62,5
9.17,3.92,-7.1,-2.82,-3.72,-5.57,0.86,0.56,0.11,144.16,75.7,-9.74,5
8.55,4.98,-7.68,-4.51,-4.66,-7.53,1.11,0.35,0.1,139.57,67.17,0.7,5
10.35,7.49,-7.21,-5.21,-4.74,-8.43,0.75,0.54,0.09,173.89,73.85,12.85,5
10.04,10.55,0.74,-4.74,-3.6,-6.11,0.67,0.61,0.09,168.92,79.98,18.98,5
9.64,9.13,4.11,-6.47,-2.23,-2.86,1.09,0.58,0.04,163.91,83.71,6.79,5
-10.27,-10.66,20.04,-20.08,-2.11,2.9,0.92,0.73,0.01,139.99,84.24,-4.09,5
1.37,-3.05,9.06,-8.51,5.21,-3.8,0.86,0.77,0.14,121.93,59.81,24.27,5
4.82,-3.96,5.33,-6.04,2.86,-2.31,0.91,0.44,0.18,120.03,49.6,13.46,5
2.19,0.11,2.86,-4.78,2.51,-2.66,0.9,0.46,0.05,110.99,52.72,-1.62,5
6.15,1.29,2.47,-1.49,3.84,-7.06,0.87,0.45,0.03,100.79,45.55,3.63,5
3.13,1.6,0.74,-5.25,3.56,-7.02,0.87,0.6,0.08,111.3,44.05,24.11,5
3.88,3.72,0.07,-13.49,10.23,-5.8,0.76,0.47,0.08,129.33,48.13,29.55,5
7.13,8.27,3.09,-6.59,11.06,-2.03,0.72,0.35,0.16,119.76,35.5,19.19,5
6.23,10.08,4.66,-7.88,14.47,0.94,0.76,0.49,0.15,126.54,37.35,0.8,5
4.15,13.65,5.72,-7.53,15.25,1.29,1.25,0.33,0.07,160.89,69.08,8.23,5
3.33,14.04,6.66,-8.62,17.45,1.64,1.11,0.51,0.1,183.26,71.6,15.68,5
5.76,14.35,6.47,-5.33,15.25,0.66,0.94,0.64,0.14,136.68,37.9,20.5,5
-5.53,15.49,10.31,-4.74,13.18,0.94,0.94,0.46,0.08,121.3,38.88,16.92,5
17.84,13.45,8.0,-5.88,11.45,0.9,0.93,0.31,0.11,141.23,53.71,1.65,5
6.98,10.0,3.76,-4.94,10.0,1.05,0.97,0.31,0.05,162.15,61.82,2.43,5
5.02,9.25,2.82,-4.04,9.53,1.92,0.84,0.4,0.12,166.1,63.66,1.85,5
1.8,8.98,1.68,-2.94,9.21,2.62,0.8,0.42,0.22,168.34,63.94,6.66,5
0.62,9.06,2.0,-1.96,9.06,2.94,0.82,0.41,0.21,165.58,68.97,1.3,5
1.88,9.61,2.19,-1.72,9.1,2.54,0.9,0.43,0.13,154.31,72.48,-7.62,5
2.35,9.61,2.39,-2.07,9.72,2.35,1.07,0.34,0.03,141.34,71.98,-1.3,5
3.41,10.08,2.82,-2.43,10.66,2.0,1.07,0.53,0.06,129.71,60.2,21.69,5
3.56,9.21,2.66,-3.17,10.86,2.11,0.89,0.33,0.01,144.01,62.83,18.52,5
2.82,8.94,2.23,-2.82,9.84,1.64,0.82,0.37,0.0,154.07,64.92,20.21,5
