d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
1.33,2.47,8.47,-5.6,3.33,8.51,0.94,0.4,0.01,0.84,0.99,0.21,0
1.6,2.47,8.59,-5.76,3.41,8.62,0.94,0.4,0.02,0.53,0.41,0.01,0
1.56,2.51,8.23,-5.88,3.33,8.51,0.95,0.39,0.01,0.33,0.19,0.11,0
1.52,2.54,8.27,-5.68,3.33,8.59,0.94,0.39,0.01,0.22,0.01,0.14,0
1.49,2.51,8.31,-5.68,3.37,8.59,0.93,0.41,0.02,0.39,0.28,0.29,0
1.56,2.51,8.35,-5.68,3.41,8.47,0.95,0.41,0.02,0.43,0.23,0.33,0
1.52,2.51,8.27,-5.76,3.41,8.59,0.94,0.4,0.01,0.37,0.2,0.46,0
1.45,2.54,8.27,-5.76,3.45,8.55,0.94,0.4,0.02,0.42,0.45,0.14,0
1.52,2.51,8.27,-5.72,3.45,8.47,0.94,0.4,0.01,0.51,0.87,0.44,0
1.56,2.47,8.31,-5.72,3.45,8.62,0.94,0.4,0.01,0.15,0.68,0.51,0
1.49,2.51,8.27,-5.64,3.41,8.59,0.93,0.39,0.01,0.0,0.87,0.16,0
1.49,2.47,8.23,-5.72,3.45,8.39,0.93,0.4,0.02,0.69,0.61,0.43,0
1.49,2.47,8.39,-5.64,3.37,8.55,0.94,0.39,0.02,0.57,0.64,0.46,0
1.52,2.43,8.43,-5.8,3.41,8.55,0.94,0.4,0.01,0.67,0.65,0.98,0
1.49,2.47,8.35,-5.8,3.45,8.55,0.94,0.4,0.0,0.86,0.65,-1.12,0
1.49,2.51,8.31,-5.8,3.41,8.55,0.94,0.4,0.01,0.66,0.92,0.59,0
1.56,2.39,8.43,-5.84,3.41,8.59,0.94,0.4,0.0,0.0,0.87,0.22,0
1.6,2.47,8.27,-5.76,3.41,8.47,0.94,0.4,0.01,0.09,0.76,0.13,0
1.45,2.51,8.27,-5.72,3.37,8.43,0.94,0.4,0.01,0.04,0.3,0.5,0
1.41,2.51,8.51,-5.72,3.37,8.51,0.94,0.4,0.01,0.34,0.04,0.17,0
1.49,2.43,8.35,-5.72,3.41,8.59,0.94,0.41,0.01,0.91,0.03,0.49,0
1.41,2.47,8.19,-5.72,3.45,8.66,0.94,0.41,0.01,0.14,0.01,0.24,0
1.33,2.43,8.04,-5.84,3.49,8.62,0.94,0.4,0.02,0.1,0.14,0.21,0
1.56,2.54,8.39,-5.76,3.45,8.43,0.94,0.41,0.0,0.52,0.24,0.38,0
1.45,2.58,8.31,-5.68,3.37,8.43,0.93,0.41,0.01,0.26,0.43,0.17,0
1.25,2.54,8.47,-5.76,3.41,8.55,0.93,0.39,0.01,0.1,0.5,0.29,0
1.41,2.51,8.43,-5.68,3.41,8.62,0.93,0.4,0.01,1.49,1.47,0.53,0
1.45,2.47,8.23,-5.68,3.33,8.39,0.95,0.4,0.02,1.49,1.61,0.28,0
1.41,2.47,8.39,-5.84,3.37,8.51,0.94,0.41,0.02,0.0,0.46,0.2,0
